N	2gram	Voloshinov	UchenyiS
1	и в	42	14
2	не только	28	10
3	а не	7	10
4	и не	14	8
5	прежде всего	22	8
6	то что	9	7
7	в этом	10	7
8	не может	13	7
9	может быть	13	6
10	перестает быть	1	5
11	хотя бы	18	5
12	то же	16	5
13	художественного творчества	5	5
14	в художественном	1	5
15	все это	4	5
16	художественное произведение	1	5
17	в конечном	1	4
18	с другой	1	4
19	в этой	6	4
20	конечном счете	1	4
21	конечно не	3	4
22	что такое	4	4
23	но и	16	4
24	в их	2	4
25	к сожалению	1	3
26	было бы	7	3
27	не о	1	3
28	и то	5	3
29	и т.д	21	3
30	для этого	2	3
31	очевидно что	2	3
32	это не	3	3
33	как и	12	3
34	вряд ли	3	3
35	для него	3	3
36	формы в	1	3
37	в своей	2	3
38	все же	9	3
39	в области	6	3
40	в частности	3	3
41	в то	9	3
42	не как	1	3
43	у нас	4	3
44	другой стороны	1	3
45	но в	5	3
46	же время	7	3
47	все они	1	2
48	таким образом	8	2
49	в самом	5	2
50	если не	3	2
51	материал для	2	2
52	должна была	2	2
53	его и	3	2
54	если бы	4	2
55	самом деле	5	2
56	является в	1	2
57	не в	6	2
58	ни от	1	2
59	бы и	2	2
60	для всех	2	2
61	и с	5	2
62	до сих	1	2
63	же самое	5	2
64	одним из	1	2
65	крайней мере	1	2
66	как таковой	3	2
67	но не	2	2
68	по существу	1	2
69	тем что	2	2
70	более чем	1	2
71	в себе	10	2
72	в его	6	2
73	в конце	6	2
74	т.е в	1	2
75	даже и	2	2
76	мы не	9	2
77	и роль	1	2
78	ничего не	8	2
79	всех этих	1	2
80	материала и	1	2
81	между тем	3	2
82	не есть	2	2
83	художественного произведения	1	2
84	что он	2	2
85	на каждом	1	2
86	конце концов	3	2
87	на эту	2	2
88	этом отношении	2	2
89	о чем	2	2
90	как раз	1	2
91	композиции и	1	2
92	тех или	4	2
93	наконец он	1	2
94	не могут	1	2
95	что мы	11	2
96	в том	3	2
97	это уже	1	2
98	том что	3	2
99	или иных	3	2
100	но это	2	2
