N	2gram	Propp_Morf	slovoVRo
1	и в	17	92
2	и т	62	82
3	может быть	61	59
4	и его	3	59
5	и не	16	51
6	не только	8	44
7	не может	19	41
8	но и	9	39
9	в этом	18	36
10	а не	11	34
11	во всех	6	32
12	точки зрения	7	30
13	так и	10	30
14	могут быть	21	29
15	и др	12	29
16	в пределах	3	29
17	в его	1	27
18	все это	2	25
19	как бы	6	24
20	то же	10	23
21	и на	1	22
22	в сущности	3	21
23	как в	5	21
24	не в	3	21
25	вовсе не	6	21
26	в то	4	20
27	прежде всего	14	19
28	как мы	8	19
29	как и	4	18
30	же время	1	18
31	себя в	2	18
32	или иной	1	18
33	таким образом	26	17
34	оно не	2	17
35	и даже	2	17
36	все же	9	17
37	в основе	2	17
38	все эти	5	17
39	в большинстве	3	17
40	при этом	1	16
41	в них	1	16
42	отличие от	1	16
43	но в	4	16
44	в той	1	15
45	и с	1	15
46	с точки	6	15
47	той или	1	15
48	там где	5	15
49	только в	3	14
50	в особенности	1	13
51	это не	6	13
52	с другой	9	13
53	с его	3	13
54	и для	4	13
55	и к	4	12
56	еще не	4	12
57	во всяком	2	12
58	или в	6	12
59	точек зрения	1	12
60	а в	8	12
61	отношение к	1	12
62	и наконец	1	12
63	один из	7	11
64	в этих	17	11
65	большинстве случаев	3	11
66	с ними	1	11
67	для него	2	11
68	с одной	2	11
69	на его	5	11
70	в плане	1	11
71	одной стороны	2	11
72	передачи и	2	10
73	и их	3	10
74	и все	1	10
75	уже не	4	10
76	все они	1	10
77	т д	60	10
78	может не	2	10
79	в том	10	10
80	с другими	2	10
81	она не	2	10
82	в себе	1	10
83	далеко не	5	10
84	в него	1	10
85	всех этих	1	10
86	более или	2	9
87	в своей	1	9
88	сказать что	4	9
89	этом случае	10	9
90	так как	20	9
91	его в	4	9
92	одна из	5	9
93	в их	1	9
94	или менее	2	9
95	героя и	3	9
96	он не	5	9
97	быть и	2	9
98	одним из	2	9
99	но не	8	9
100	с ее	1	9
101	к нему	3	9
102	для нас	2	8
103	не на	2	8
104	не могут	7	8
105	с этим	14	8
106	всяком случае	2	8
107	входит в	4	8
108	в одной	2	8
109	они могут	1	8
110	во всем	1	7
111	от него	2	7
112	же и	1	7
113	кроме того	3	7
114	но все	4	7
115	о нем	1	7
116	например в	2	7
117	связанные с	1	7
118	том что	7	7
119	перед нами	14	7
120	но здесь	2	7
121	и иных	2	7
122	известной степени	1	7
123	на своем	1	7
124	здесь не	3	7
125	друг друга	3	7
126	у него	2	7
127	связи с	12	7
128	в таком	1	7
129	мы уже	4	7
130	его не	1	7
131	также и	6	7
132	ту же	2	7
133	в целом	5	7
134	что в	10	6
135	и здесь	7	6
136	дело с	1	6
137	даже в	1	6
138	в одном	2	6
139	ни в	3	6
140	другой стороны	5	6
141	конечно и	1	6
142	именно в	1	6
143	одновременно и	1	6
144	роль в	2	6
145	себя и	2	6
146	можно сказать	2	6
147	в свою	1	6
148	говорить о	4	6
149	и там	1	6
150	как к	1	6
151	в качестве	8	6
152	а также	7	6
153	на этом	4	6
154	хотя бы	5	6
155	между тем	5	6
156	с различными	1	6
157	он в	1	6
158	точку зрения	1	6
159	которые в	1	6
160	ничего не	5	6
161	должна быть	2	5
162	героя в	5	5
163	и при	3	5
164	не как	1	5
165	а затем	10	5
166	в результате	8	5
167	они не	3	5
168	по отношению	7	5
169	не менее	7	5
170	о том	6	5
171	но оно	2	5
172	его и	2	5
173	не является	4	5
174	в данном	2	5
175	и более	2	5
176	мы не	8	5
177	для того	3	5
178	с помощью	1	5
179	только на	1	5
180	отношению к	7	5
181	а вовсе	2	5
182	но он	1	5
183	как такового	2	5
184	хотя и	5	5
185	этом отношении	2	5
186	и этим	7	5
187	стремится к	1	5
188	слова не	1	5
189	как его	1	5
190	в других	5	5
191	в каждом	1	5
192	данный момент	1	5
193	в быту	1	5
194	эти формы	2	5
195	не знает	2	5
196	и может	1	5
197	не с	2	5
198	почти всегда	1	5
199	форм передачи	1	5
200	характерно что	1	5
201	оно может	4	5
202	и по	3	5
203	слушателя и	1	5
204	до сих	1	4
205	по существу	13	4
206	точном смысле	1	4
207	или иные	2	4
208	обстоит дело	1	4
209	в некоторых	4	4
210	в другой	1	4
211	те же	1	4
212	его но	1	4
213	не столько	1	4
214	в виду	1	4
215	для всех	1	4
216	со всеми	1	4
217	и самая	1	4
218	если бы	3	4
219	в точном	1	4
220	отношения к	1	4
221	и другим	3	4
222	что он	5	4
223	влияния на	1	4
224	ли он	1	4
225	так же	4	4
226	которая не	1	4
227	на первый	3	4
228	к тому	5	4
229	друг с	1	4
230	дело не	2	4
231	того чтобы	4	4
232	лежат в	1	4
233	в другом	2	4
234	но эти	3	4
235	случае она	1	4
236	те или	1	4
237	именно на	1	4
238	с этой	3	4
239	в различных	2	4
240	от других	2	4
241	ни были	1	4
242	в чем	2	4
243	свою очередь	1	4
244	с этими	1	4
