N	2gram	Bakhtin_KF	Tragedij
1	и в	28	18
2	в этом	15	9
3	не только	5	8
4	и на	3	7
5	и не	28	7
6	может быть	45	7
7	и с	1	7
8	как бы	9	7
9	что он	2	6
10	же время	2	6
11	но в	5	6
12	и его	18	6
13	это не	10	5
14	несмотря на	1	5
15	что это	4	5
16	так и	2	5
17	это очень	1	5
18	все же	5	5
19	то же	5	5
20	как и	5	5
21	не может	29	5
22	в то	3	5
23	а я	1	5
24	что в	4	4
25	в себе	21	4
26	и даже	1	4
27	все это	10	4
28	прежде всего	4	4
29	и все	9	4
30	я не	6	4
31	об этом	1	4
32	еще не	5	4
33	но и	9	4
34	том что	4	4
35	то что	7	4
36	в этой	2	4
37	что я	5	4
38	я люблю	1	4
39	в нем	32	4
40	но это	6	4
41	в целом	10	4
42	и он	1	3
43	один из	2	3
44	должно быть	6	3
45	в его	42	3
46	для него	13	3
47	в своем	17	3
48	с ним	5	3
49	что за	2	3
50	и как	2	3
51	в мире	8	3
52	как в	2	3
53	никто не	1	3
54	то есть	1	3
55	при этом	4	3
56	жизнь и	2	3
57	как это	1	3
58	тем самым	4	3
59	с ее	2	3
60	мог бы	1	3
61	отнюдь не	7	3
62	все эти	11	3
63	к нему	12	3
64	в самом	1	2
65	и то	2	2
66	в душе	1	2
67	и здесь	7	2
68	со мной	7	2
69	и за	2	2
70	в том	6	2
71	это уже	2	2
72	он и	2	2
73	с тем	2	2
74	в ее	17	2
75	что и	7	2
76	ни в	12	2
77	бы и	3	2
78	но при	1	2
79	что все	1	2
80	в виде	2	2
81	его в	5	2
82	не в	13	2
83	в первом	1	2
84	но все	6	2
85	но эта	6	2
86	ничем не	1	2
87	вопрос о	2	2
88	и это	12	2
89	нет в	4	2
90	уже не	7	2
91	к тому	1	2
92	о том	3	2
93	не был	1	2
94	не имеет	6	2
95	что эти	1	2
96	и я	6	2
97	в данном	2	2
98	только к	1	2
99	что этот	3	2
100	она должна	1	2
101	раз и	2	2
102	потому что	2	2
103	ее жизни	3	2
104	он не	6	2
105	по поводу	1	2
106	в это	2	2
107	в одном	5	2
108	и до	1	2
109	я буду	3	2
110	отношение к	6	2
111	не за	1	2
112	о его	1	2
113	до конца	3	2
114	столь же	1	2
115	что она	1	2
116	одна из	1	2
117	с его	2	2
118	а как	2	2
119	не мог	1	2
120	тем что	3	2
121	не просто	1	2
122	не случайно	1	2
123	и ее	2	2
124	никогда не	5	2
125	ничего не	3	2
126	жизнью и	1	2
127	друг друга	1	2
128	любви и	1	2
129	для самого	1	1
130	все в	1	1
131	во всем	7	1
132	от него	3	1
133	утверждать что	1	1
134	могут быть	3	1
135	только не	1	1
136	проникает в	5	1
137	мы видим	1	1
138	что ему	1	1
139	и мира	1	1
140	сам же	1	1
141	например что	1	1
142	только что	1	1
143	его самого	1	1
144	местом в	1	1
145	здесь есть	1	1
146	не нужен	2	1
147	если он	1	1
148	в последней	1	1
149	знать и	1	1
150	перестает быть	1	1
151	его с	2	1
152	и практический	1	1
153	должна быть	4	1
154	к себе	2	1
155	что уже	1	1
156	ко всему	5	1
157	и должно	1	1
158	она всегда	1	1
159	дело с	2	1
