N	3gram	Propp_Morf	Russkaja
1	друг с другом	1	14
2	то же время	1	10
3	в то же	1	10
4	с точки зрения	6	9
5	в том что	4	7
6	на самом деле	4	6
7	во всяком случае	2	6
8	для того чтобы	3	6
9	до сих пор	1	5
10	в том случае	3	4
11	не может быть	9	4
12	на то что	3	4
13	более или менее	2	4
14	бы то ни	3	4
15	во что бы	1	3
16	что бы то	1	3
17	той или иной	1	3
18	можно было бы	2	3
19	в данном случае	2	3
20	в этом случае	10	3
21	том случае если	2	3
22	к вопросу о	2	3
23	при таких условиях	1	3
24	то ни стало	1	3
25	ни одна из	1	2
26	точно так же	2	2
27	в большинстве случаев	3	2
28	о том что	3	2
29	только в том	1	2
30	к тому что	4	2
31	ни к чему	2	2
32	в другом случае	1	2
33	в настоящее время	3	2
34	из которых каждый	1	2
35	том случае когда	1	1
36	со стороны их	2	1
37	прежде всего о	1	1
38	в противном случае	1	1
39	нас слишком далеко	1	1
40	главным образом как	1	1
41	и что его	1	1
42	и в некоторых	1	1
43	ни одна не	1	1
44	всех этих случаях	1	1
45	мы уже знаем	1	1
46	мы прежде всего	1	1
47	что он может	1	1
48	это завело бы	1	1
49	к чему не	2	1
50	и не так	1	1
51	до известной степени	1	1
52	тех или иных	1	1
53	между собой и	1	1
54	и таким образом	2	1
55	по отношению к	7	1
56	во всех этих	1	1
57	очевидно также и	1	1
58	а с ними	1	1
59	то что же	1	1
60	и в других	2	1
61	с самого начала	1	1
62	особое значение и	1	1
63	так как это	1	1
64	бы нас слишком	1	1
65	то ни было	2	1
66	на ряду с	1	1
67	совершенно ясно что	1	1
68	было бы показать	1	1
69	она могла бы	1	1
70	на первый взгляд	3	1
71	он не может	1	1
72	в обмен на	3	1
73	в связи с	9	1
74	может быть достигнуто	1	1
75	лишь постольку поскольку	1	1
76	тем не менее	6	1
77	но как бы	1	1
78	но все же	4	1
79	как же может	1	1
80	говорить о том	2	1
81	между прочим и	1	1
82	в этом отношении	2	1
83	вопрос о том	2	1
84	то в большинстве	1	1
85	в свою очередь	1	1
86	в применении к	1	1
87	в этом и	1	1
88	так же и	1	1
89	на этот вопрос	1	1
90	совершенно очевидно также	1	1
91	завело бы нас	1	1
92	состоит в том	3	1
93	потому что они	1	1
94	как бы то	1	1
95	друг к другу	2	1
