N	4gram	Tiupa_Hudo	Mirosoze
1	одна и та же	1	3
2	в том что он	1	3
3	так же как и	1	3
4	она не может быть	1	2
5	для себя а для	1	2
6	все более и более	1	2
7	ни в чем не	1	2
8	не для себя а	1	2
9	и тот и другой	1	2
10	о том что в	3	2
11	и в самом деле	4	1
12	в том случае если	2	1
13	с утра до вечера	1	1
14	также о том что	1	1
15	в то же время	11	1
16	в них нет ничего	1	1
17	также в значительной степени	1	1
18	том что он не	1	1
19	только о том что	1	1
20	а между тем в	1	1
21	и по отношению к	1	1
22	не несет в себе	1	1
