N	3gram	Nazirov_Tv	EvropaiE
1	в то же	19	15
2	то же время	18	14
3	в отношении к	1	12
4	и в то	3	8
5	с одной стороны	1	8
6	в том что	8	6
7	так же как	1	5
8	того или иного	1	4
9	той или иной	1	4
10	не только в	2	4
11	то ни было	1	4
12	бы то ни	1	4
13	и в этом	1	4
14	в применении к	1	3
15	можно было бы	1	3
16	же как и	1	3
17	заключает в себе	1	3
18	хотя бы и	1	3
19	ту или иную	1	3
20	во всяком случае	2	3
21	можно сказать что	2	3
22	и прежде всего	1	3
23	в известном смысле	2	3
24	так и в	2	2
25	в одном из	2	2
26	каких бы то	1	2
27	нам кажется что	1	2
28	но в то	5	2
29	не может быть	2	2
30	в данном случае	2	2
31	по себе не	1	2
32	заключается в том	1	2
33	имеет место в	1	2
34	сплошь и рядом	1	2
35	то что в	1	2
36	в свою очередь	2	2
37	с другой стороны	2	2
38	по нашему мнению	9	2
39	в частности в	1	2
40	и т д	10	1
41	хотя и не	1	1
42	в одной из	4	1
43	но тем самым	1	1
44	то что может	1	1
45	в этот период	1	1
46	начале xx века	1	1
47	именно потому что	1	1
48	не означает что	2	1
49	и xix век	1	1
50	отметить что в	1	1
51	и та же	2	1
52	чуть ли не	1	1
53	и будущего в	1	1
54	дело в том	4	1
55	мы находим у	1	1
56	связанного с этим	1	1
57	не сводится к	1	1
58	настоящего и будущего	1	1
59	отказаться от своей	1	1
60	то или иное	1	1
61	он сам в	1	1
62	мы не находим	1	1
63	же время для	1	1
64	к тому что	1	1
65	том числе и	1	1
66	отнюдь не означает	1	1
67	как и всякая	1	1
68	к ней в	1	1
69	в соответствии с	7	1
70	и ту же	1	1
71	в начале xx	1	1
72	в отличие от	2	1
73	оставим в стороне	1	1
74	еще далеко не	1	1
75	что оно не	1	1
76	как и его	1	1
77	что как бы	1	1
78	и того же	1	1
79	не могут быть	2	1
80	то и другое	1	1
81	не может не	1	1
82	оставляя открытым вопрос	1	1
83	одну и ту	1	1
84	отцов и детей	1	1
85	что же касается	1	1
86	на то чтобы	1	1
87	в связи с	2	1
88	мы видим как	1	1
89	в том же	3	1
90	только в качестве	1	1
91	в том числе	1	1
92	и поэтому в	1	1
93	в стороне от	1	1
94	это значит что	1	1
95	в нем и	1	1
96	говорить о том	1	1
97	мысль о возможности	1	1
98	на этот вопрос	2	1
99	к тому же	1	1
100	одна и та	1	1
101	одного и того	1	1
