N	3gram	Berdyaev_O	Myslijsy
1	в том что	1	47
2	не может быть	2	19
3	заключает в себе	1	19
4	сам по себе	1	14
5	само по себе	1	14
6	не в том	1	13
7	от того что	1	13
8	смысле этого слова	1	12
9	и в этом	2	12
10	во всяком случае	1	12
11	для того чтобы	3	11
12	потому что в	1	9
13	на то что	1	9
14	но и в	2	9
15	о том что	1	9
16	не могут быть	2	9
17	с тем что	2	8
18	и в том	1	7
19	как и в	1	7
20	в одно время	1	6
21	после того как	1	6
22	может быть назван	1	5
23	в том случае	1	5
24	то что в	1	5
25	и то что	1	5
26	или лучше сказать	1	4
27	и в самом	1	4
28	в этом отношении	1	4
29	это было бы	2	4
30	было для него	1	3
31	а не в	2	3
32	есть одно из	1	3
33	это потому что	1	3
34	о том как	1	2
35	к нему как	1	2
36	и все это	1	2
37	в человеческой душе	1	2
38	и все что	1	2
39	хотя бы даже	1	2
40	даже и в	1	2
41	не было и	1	2
42	человека и все	1	2
43	и не может	1	2
44	в этих словах	1	2
45	друг к другу	1	2
46	в том только	1	2
47	и не в	1	2
48	том случае если	1	2
49	ошибочно было бы	1	1
50	так что для	1	1
51	в самом деле	1	1
52	вообще но и	1	1
53	бы он ни	1	1
54	в которой нет	1	1
55	это должно быть	1	1
56	в духовную жизнь	1	1
57	нет ничего кроме	2	1
58	как художник но	1	1
59	по сравнению с	1	1
60	того что человек	1	1
61	он ни был	1	1
62	есть не только	1	1
63	ни с какими	1	1
64	не могут и	1	1
65	у него в	5	1
66	в строгом смысле	1	1
67	приходит в голову	1	1
68	тем что у	1	1
69	природы но и	3	1
70	всего что есть	1	1
71	и состоит чтобы	1	1
72	бросается в глаза	1	1
73	между этими двумя	1	1
74	в каждом из	1	1
75	ясно видно что	1	1
76	мысль о любви	1	1
77	чтобы иметь право	1	1
78	человеческой природы и	2	1
79	и формы человеческой	1	1
80	в силу чего	1	1
81	от человека к	1	1
82	то он должен	1	1
83	который в них	1	1
84	что у него	2	1
85	может быть что	1	1
86	и вопрос о	1	1
87	хотя и не	1	1
88	по себе есть	1	1
89	прежде всего он	1	1
90	строгом смысле этого	1	1
91	как это часто	1	1
92	никто не имеет	1	1
93	друг с другом	1	1
94	искать не в	2	1
95	остается и в	1	1
96	нет ничего легче	1	1
97	и в душе	1	1
98	не так как	1	1
99	и в самой	2	1
100	не в силах	1	1
101	ничего легче как	1	1
102	науки о человеке	1	1
103	и к нему	1	1
104	но в этой	1	1
105	никто не может	1	1
106	это так что	1	1
107	все что есть	1	1
108	того чтобы сделать	1	1
109	еще ничего но	1	1
110	и в ее	1	1
111	и все же	1	1
112	в человеке но	1	1
113	что не все	1	1
