N	2gram	Berdyaev_O	BTomashe
1	у нас	1	3
2	все это	6	2
3	в ней	1	2
4	можно было	1	2
5	и не	13	2
6	видеть в	1	2
7	вопрос о	10	1
8	и о	2	1
9	было и	1	1
10	и нет	2	1
11	не только	11	1
12	всего в	2	1
13	не было	9	1
14	в эпоху	1	1
15	прежде всего	9	1
16	и в	19	1
17	на самом	1	1
18	так и	2	1
19	в своей	2	1
20	во всяком	1	1
21	и потому	2	1
22	же не	1	1
23	как будто	1	1
24	совершенно не	1	1
25	всяком случае	1	1
26	что опять-таки	1	1
27	было бы	3	1
28	и ее	3	1
29	чем на	3	1
30	должна быть	1	1
31	не вполне	1	1
32	полно не	1	1
33	и более	1	1
34	что все	2	1
35	не все	2	1
36	его не	2	1
37	будто бы	1	1
38	а не	11	1
39	до конца	7	1
40	и на	2	1
41	еще не	3	1
42	к ней	2	1
43	все же	2	1
44	что в	4	1
