N	2gram	Vygotskiy_	Stilisti
1	и в	65	42
2	как бы	29	30
3	не только	16	28
4	прежде всего	2	22
5	хотя бы	3	18
6	то же	17	16
7	но и	6	16
8	и не	20	14
9	может быть	33	13
10	не может	17	13
11	как и	12	12
12	что мы	6	11
13	мы уже	12	11
14	точки зрения	19	11
15	в этом	37	10
16	в себе	9	10
17	и как	10	10
18	мы должны	3	10
19	как мы	12	10
20	отнюдь не	2	10
21	мы не	7	9
22	при этом	10	9
23	все же	10	9
24	язык и	1	9
25	эти слова	5	9
26	то что	61	9
27	для того	18	9
28	в то	5	9
29	таким образом	21	8
30	так как	13	8
31	с тем	14	8
32	и это	13	8
33	в ней	23	8
34	тем самым	4	8
35	что же	3	8
36	с его	2	8
37	ничего не	4	8
38	и на	7	7
39	так и	3	7
40	слов и	2	7
41	мы можем	12	7
42	только в	9	7
43	в которой	8	7
44	зависимости от	1	7
45	и его	8	7
46	потому что	26	7
47	того чтобы	21	7
48	другими словами	1	7
49	и тем	4	7
50	было бы	22	7
51	и той	4	7
52	той же	6	7
53	и от	1	7
54	в зависимости	1	7
55	а не	11	7
56	никогда не	9	7
57	во всех	4	6
58	в его	11	6
59	не в	12	6
60	в нем	8	6
61	в конце	5	6
62	и так	4	6
63	на его	2	6
64	бы в	3	6
65	в свою	6	6
66	одно и	4	6
67	в форме	1	6
68	или как	2	6
69	когда мы	5	6
70	в этой	20	6
71	точку зрения	1	6
72	слова в	1	6
73	мы будем	4	6
74	в той	8	5
75	в самом	41	5
76	то есть	30	5
77	уже в	1	5
78	и их	2	5
79	с точки	11	5
80	те же	2	5
81	не является	2	5
82	все время	36	5
83	самом деле	33	5
84	но все	2	5
85	и с	4	5
86	но в	5	5
87	тому что	10	5
88	мы никогда	1	5
89	вместе с	10	5
90	своей жизни	2	5
91	того или	2	5
92	а с	4	5
93	мы увидим	14	5
94	и следовательно	2	5
95	слова и	3	5
96	как это	13	5
97	и является	1	5
98	а в	9	5
99	у которого	1	5
100	же самое	14	5
101	и то	10	5
102	же мы	2	5
103	или иного	2	5
104	независимо от	2	5
105	и наконец	2	5
106	мы видели	7	5
107	одной и	4	4
108	всего в	1	4
109	были бы	5	4
110	и к	5	4
111	мы видим	15	4
112	один из	7	4
113	выбор слов	1	4
114	слов в	2	4
115	что это	19	4
116	на него	3	4
117	что такое	2	4
118	все это	12	4
119	в качестве	2	4
120	в одном	9	4
121	его в	5	4
122	слова как	3	4
123	если бы	22	4
124	и все	14	4
125	с самого	10	4
126	в слове	1	4
127	так сказать	6	4
128	к своему	2	4
129	у нас	4	4
130	в словах	2	4
131	да и	1	4
132	как только	4	4
133	уже не	2	4
134	к тому	18	4
135	о том	17	4
136	и без	2	4
137	самого начала	10	4
138	можно сказать	2	4
139	если мы	19	4
140	было в	1	4
141	так называемой	4	4
142	о своей	1	4
143	так называемые	1	4
144	заключает в	1	4
145	не что	1	4
146	можно было	7	4
147	свою очередь	3	4
148	или иное	1	4
149	в обществе	1	4
150	на это	6	4
151	так же	12	4
152	в целом	8	4
153	себя в	1	4
154	тем же	1	4
155	не знаем	2	4
156	что именно	3	4
157	само собой	3	4
158	не просто	7	4
159	то или	1	4
160	которой мы	4	4
161	того что	9	4
162	не к	5	4
163	построения и	2	3
164	представить себе	2	3
165	не так	4	3
166	этом случае	1	3
167	ответ на	1	3
168	видели что	2	3
169	что оно	5	3
170	и здесь	9	3
171	та же	6	3
172	что у	7	3
173	зрения на	1	3
174	что эти	5	3
175	совершенно не	8	3
176	что слова	1	3
177	если он	5	3
178	для нас	14	3
179	и вот	6	3
180	иметь дело	3	3
181	в том	46	3
182	отношения к	3	3
183	несмотря на	7	3
184	для него	4	3
185	не имеем	1	3
186	хотя и	1	3
187	ни на	1	3
188	в ее	9	3
189	из которых	6	3
190	мы в	4	3
191	этих слов	1	3
192	то мы	2	3
193	на самом	3	3
194	и уже	5	3
195	что и	7	3
196	в виду	6	3
197	общий смысл	1	3
198	долгое время	1	3
199	между ними	1	3
200	но что	3	3
201	связи с	2	3
202	и даже	4	3
203	нам в	3	3
204	здесь мы	6	3
205	в основе	5	3
206	содержание и	1	3
207	допустим что	1	3
208	но для	1	3
209	все эти	7	3
210	как в	8	3
211	по своему	6	3
212	том что	28	3
213	бы мы	1	3
214	роль в	2	3
215	об этом	4	3
216	слова о	1	3
217	перед нами	12	3
218	еще не	3	3
219	до того	1	3
220	но при	2	3
221	его и	1	3
222	а к	2	3
223	в котором	7	3
224	что всякое	2	3
225	если не	1	3
226	этом мы	1	3
227	и поэтому	3	3
228	между тем	10	3
229	во второй	1	3
230	в частности	3	3
231	только на	3	3
232	не с	2	3
233	в тех	5	3
234	в начале	1	3
235	целый ряд	6	3
236	конечно не	6	3
237	уже видели	1	3
238	от того	1	3
239	перед ним	1	3
240	их в	4	3
241	заметить что	2	3
242	нет и	1	3
243	когда личность	1	3
244	не будет	2	3
245	сказать что	14	3
246	главным образом	6	3
247	может показаться	1	3
248	будем говорить	1	3
249	жизни и	6	3
250	чаще всего	1	3
251	этого слова	5	3
252	и эта	3	3
253	к той	1	3
254	у них	2	3
255	не мог	4	3
256	и для	4	3
257	это не	7	3
258	из них	10	3
259	он должен	2	3
260	находятся в	2	2
261	для всех	2	2
262	нашего исследования	2	2
263	в душе	1	2
264	и он	5	2
265	очевидно что	4	2
266	мы найдем	2	2
267	и этот	6	2
268	точном смысле	3	2
269	и конечно	3	2
270	мы как	1	2
271	ничем не	3	2
272	уяснить себе	2	2
273	что иное	1	2
274	как с	2	2
275	же самая	4	2
276	оно означает	1	2
277	должно быть	1	2
278	нас не	1	2
279	увидим что	11	2
280	зависит от	2	2
281	в языке	1	2
282	был бы	4	2
283	и при	1	2
284	и потому	1	2
285	каждый из	3	2
286	мы имеем	2	2
287	еще более	2	2
288	ни к	1	2
289	происходит как	1	2
290	этом отношении	1	2
291	с ним	6	2
292	и указывает	1	2
293	кроме того	2	2
294	о чем	1	2
295	одном и	1	2
296	что то	1	2
297	приходится иметь	2	2
298	но как	3	2
299	для них	1	2
300	в отношении	1	2
301	с другими	1	2
302	это слово	1	2
303	даже на	1	2
304	смысле этого	5	2
305	но это	6	2
306	в их	3	2
307	а на	2	2
308	к рассмотрению	1	2
309	связь с	5	2
310	в своих	6	2
311	не было	4	2
312	на этот	2	2
313	все то	15	2
314	или в	6	2
315	из двух	4	2
316	к чему	6	2
317	с ней	1	2
318	равно как	1	2
319	но эта	3	2
320	быть ее	1	2
321	от нашего	1	2
322	или несколько	1	2
