N	2gram	Bakhtin_Fr	Marksizm
1	точки зрения	10	69
2	может быть	11	64
3	и в	105	63
4	и не	34	55
5	как бы	33	53
6	не может	9	47
7	с точки	6	46
8	и пр	5	42
9	и его	24	41
10	в этом	22	39
11	таким образом	5	38
12	в процессе	2	33
13	как мы	12	32
14	языка и	1	31
15	в пределах	3	31
16	лишь в	4	30
17	не только	24	29
18	то же	6	28
19	в нем	16	28
20	но и	20	27
21	в языке	1	26
22	связи с	5	25
23	речи и	2	25
24	самом деле	3	25
25	в самом	7	24
26	как и	15	24
27	прежде всего	26	24
28	только в	16	23
29	так и	16	23
30	и т.п	26	23
31	в том	17	22
32	то что	7	22
33	а не	1	22
34	при этом	10	20
35	так сказать	5	20
36	для него	12	20
37	не в	4	19
38	если бы	1	19
39	том что	9	19
40	в его	24	19
41	в ее	5	18
42	и для	3	18
43	но в	16	18
44	вовсе не	25	18
45	все же	10	17
46	в сущности	20	17
47	по отношению	2	16
48	речевого общения	3	16
49	слова и	1	16
50	и как	2	16
51	в то	5	16
52	с помощью	1	15
53	во всех	13	15
54	в связи	2	15
55	что он	5	15
56	же время	5	15
57	отношению к	2	15
58	хотя бы	2	14
59	в контексте	1	14
60	в смысле	2	14
61	в своей	8	13
62	так же	2	13
63	речи мы	1	13
64	что в	4	13
65	и здесь	4	13
66	не является	4	13
67	во французском	2	13
68	того чтобы	3	13
69	было бы	4	13
70	ничего не	3	13
71	мы не	1	13
72	для того	2	12
73	того же	1	12
74	в результате	1	12
75	выражение в	5	12
76	между тем	5	12
77	он не	3	12
78	в основе	8	12
79	является не	1	12
80	а в	4	12
81	не столько	1	11
82	на материале	3	11
83	к нему	5	11
84	мы уже	18	11
85	и от	3	11
86	до сих	7	11
87	и на	25	11
88	и все	7	11
89	как в	6	11
90	еще не	8	11
91	друг друга	3	11
92	так как	11	11
93	на самом	6	11
94	все эти	15	11
95	в ней	7	11
96	сих пор	7	11
97	именно в	6	10
98	во всяком	2	10
99	с другой	3	10
100	сказать что	12	10
101	к этому	2	10
102	никогда не	11	10
103	в своем	11	10
104	его в	7	10
105	в таком	2	10
106	одна из	5	10
107	в основном	4	10
108	здесь мы	2	10
109	в большинстве	2	10
110	совершенно не	5	10
111	конечно не	2	10
112	в отличие	4	10
113	с его	9	10
114	здесь в	14	10
115	и потому	14	10
116	с самого	1	10
117	отличие от	5	10
118	бытия в	1	10
119	более того	3	10
120	к тому	3	9
121	только на	3	9
122	в нашем	3	9
123	точка зрения	3	9
124	в себе	7	9
125	лишь на	1	9
126	большинстве случаев	2	9
127	рядом с	9	9
128	и следовательно	3	9
129	и это	3	9
