N	3gram	Nazirov_Tv	Hudozhes
1	по отношению к	3	10
2	не сводится к	1	9
3	в том что	8	8
4	в то же	19	7
5	в отличие от	2	7
6	то же время	18	7
7	с другой стороны	2	6
8	той или иной	1	5
9	в конечном счете	4	5
10	того или иного	1	4
11	не может быть	2	4
12	мы имеем в	1	3
13	имеем в виду	1	3
14	и в самом	1	3
15	в том числе	1	3
16	тем не менее	2	3
17	можно сказать что	2	3
18	одного и того	1	3
19	и того же	1	3
20	по сути дела	5	3
21	в связи с	2	3
22	с одной стороны	1	3
23	войне и мире	2	2
24	в свою очередь	2	2
25	бы то ни	1	2
26	и прежде всего	1	2
27	а на деле	1	2
28	в русской литературе	2	2
29	это своего рода	1	2
30	ту или иную	1	2
31	в самом деле	2	2
32	в таком случае	2	2
33	в войне и	1	2
34	в отношении к	1	2
35	том числе и	1	2
36	и в то	3	2
37	а с другой	1	2
38	то ни было	1	2
39	на наших глазах	1	2
40	как уже говорилось	1	2
41	к тому что	1	2
42	в известном смысле	2	2
43	точно так же	3	1
44	что он не	1	1
45	жизни то есть	1	1
46	что приводит к	1	1
47	в литературе в	1	1
48	может быть определен	1	1
49	и как бы	1	1
50	может быть назван	2	1
51	за пределами текста	1	1
52	и потому что	1	1
53	те и другие	1	1
54	он еще не	2	1
55	человека и его	2	1
56	преступлении и наказании	9	1
57	является как бы	1	1
58	по себе а	1	1
59	свое я в	1	1
60	в соответствии с	7	1
61	заключает в себе	1	1
62	по крайней мере	4	1
63	заключается в том	1	1
64	и со всеми	1	1
65	ту же самую	1	1
66	толпы так и	1	1
67	но в таком	1	1
68	при этом что	1	1
69	о том что	6	1
70	в xix веке	3	1
71	то или иное	1	1
72	добро и зло	1	1
73	мы говорим о	1	1
74	дело не в	1	1
75	в каждом человеке	2	1
76	как и в	2	1
77	и те и	1	1
78	таком случае это	1	1
79	как один из	1	1
80	перед тем как	1	1
81	в центр художественного	1	1
82	в основе всех	1	1
83	в настоящее время	1	1
84	у достоевского в	5	1
85	отношений между людьми	1	1
86	в творческом процессе	4	1
87	именно в этом	1	1
88	в одной из	4	1
89	между собой например	1	1
90	то что может	1	1
91	именно потому что	1	1
92	не что иное	1	1
93	таким образом и	1	1
94	но в то	5	1
95	первой части романа	1	1
96	так же как	1	1
97	от всех и	1	1
98	мы видим в	1	1
99	то есть его	1	1
100	в поле зрения	1	1
101	если он не	1	1
102	к тому же	1	1
103	с самим собой	1	1
104	в первую очередь	1	1
105	не могут быть	2	1
106	в частности в	1	1
107	в романе достоевского	5	1
108	на первый взгляд	1	1
109	то же самое	1	1
110	но только не	1	1
111	что иное как	1	1
112	к вопросу о	1	1
113	только то что	1	1
114	видим в нем	1	1
115	же время они	1	1
116	едва ли не	2	1
117	становится самим собой	1	1
118	является одним из	3	1
119	это и есть	1	1
120	в виду что	1	1
121	и в том	1	1
122	в преступлении и	10	1
