N	4gram	Losev_Vesc	formyVre
1	в то же время	4	18
2	одного и того же	1	9
3	и в то же	3	8
4	с одной стороны и	1	5
5	одно и то же	5	5
6	в то время как	4	4
7	в нем нет ничего	1	3
8	но в то же	1	3
9	дело в том что	4	2
10	не может быть и	1	2
11	может быть и речи	1	2
12	ни с чем не	1	2
13	с этой точки зрения	3	1
14	не было бы и	1	1
15	есть все то что	1	1
16	друг с другом они	1	1
17	и как бы ни	1	1
18	с самим собою в	1	1
19	и вместе с тем	1	1
20	то время как другие	1	1
21	в его отношении к	1	1
22	только в том что	1	1
23	том что он не	1	1
24	или что то же	2	1
25	одном и том же	1	1
26	в том что он	2	1
27	с точки зрения этого	1	1
28	в одном и том	1	1
29	о том как его	1	1
30	и в этом отношении	1	1
31	но это значит что	1	1
