N	3gram	Tiupa_Narr	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	до сих пор	3	3
4	не может быть	6	3
5	в большинстве случаев	1	3
6	в чем не	1	3
7	по крайней мере	1	3
8	в этом смысле	1	3
9	по сравнению с	1	3
10	во всяком случае	2	3
11	можно сказать что	5	3
12	ни в чем	1	3
13	в конечном счете	4	2
14	так же как	1	2
15	по аналогии с	1	2
16	во всех его	1	2
17	о том что	3	2
18	в самом деле	3	2
19	нет никаких оснований	1	2
20	друг на друга	2	2
21	так и в	1	1
22	в том что	11	1
23	друг с другом	1	1
24	для него уже	1	1
25	а то и	1	1
26	мы не можем	1	1
27	и столь же	1	1
28	всей моей жизни	1	1
29	и та же	1	1
30	что иное как	1	1
31	в этом и	3	1
32	дело в том	2	1
33	мы узнаем о	1	1
34	той или иной	6	1
35	в другом человеке	1	1
36	мы уже знаем	1	1
37	подобно тому как	4	1
38	можно ли признать	1	1
39	если они становятся	1	1
40	можно было бы	1	1
41	каждого из этих	1	1
42	еще в году	1	1
43	в данном случае	12	1
44	в постель к	1	1
45	обратим внимание на	2	1
46	в том смысле	1	1
47	как это было	1	1
48	ничего не говорит	1	1
49	не говорит и	1	1
50	самом деле в	1	1
51	чем иным как	2	1
52	разных местах и	1	1
53	не может иметь	1	1
54	же как и	1	1
55	то ни было	1	1
56	и того же	2	1
57	и даже чисто	1	1
58	и т.п и	2	1
59	этой точки зрения	1	1
60	смысле они не	1	1
61	одна и та	1	1
62	на первый взгляд	1	1
63	с этой точки	1	1
64	то же самое	3	1
65	она может быть	1	1
66	все эти столь	1	1
67	а потому не	1	1
68	как один из	1	1
69	для того чтобы	4	1
70	по его мнению	1	1
71	всех без исключения	1	1
72	а с другой	2	1
73	как это делает	1	1
74	с одной стороны	5	1
75	то что я	1	1
76	именно то что	1	1
77	говорили что на	1	1
78	при всей ее	1	1
79	в этом отношении	5	1
80	связи с этим	1	1
81	сих пор еще	1	1
82	бы то ни	1	1
83	как со стороны	1	1
84	имеем дело с	4	1
85	одного и того	2	1
86	в связи с	3	1
87	может быть только	1	1
