N	2gram	Medvedev_F	NovoeSre
1	а не	11	17
2	не может	26	16
3	и в	54	16
4	совсем не	2	12
5	и не	34	11
6	и есть	1	10
7	что в	10	9
8	в эпоху	2	9
9	в том	17	8
10	как не	1	8
11	жизни и	10	8
12	он не	8	8
13	в этом	39	7
14	может быть	30	7
15	не будет	2	7
16	культуры и	3	7
17	как и	18	7
18	к новому	3	7
19	воля к	1	6
20	ни в	3	6
21	не знает	1	6
22	не в	16	6
23	лишь в	15	6
24	высшей степени	4	6
25	с его	12	6
26	но это	4	6
27	в высшей	4	6
28	никогда не	6	6
29	и к	7	5
30	не только	14	5
31	в ней	15	5
32	все это	11	5
33	xix века	1	5
34	в жизни	3	5
35	в нем	25	5
36	с ее	7	5
37	должен быть	5	5
38	культуры в	1	5
39	перестает быть	3	4
40	и потому	9	4
41	по своему	1	4
42	не во	1	4
43	со всех	1	4
44	должно быть	13	4
45	потому что	2	4
46	это не	4	4
47	прежде всего	34	4
48	в них	4	4
49	то что	14	4
50	не было	7	4
51	новое время	1	4
52	есть лишь	3	4
53	и все	9	4
54	всех сторон	1	4
55	не менее	12	4
56	не имеет	2	4
57	значит что	1	4
58	и для	5	4
59	эпохи и	2	4
60	о том	1	4
61	во всех	9	3
62	вопрос о	3	3
63	и пр	30	3
64	должна быть	11	3
65	она не	8	3
66	в ее	10	3
67	эти формы	2	3
68	смысле слова	1	3
69	что такое	2	3
70	к реальному	1	3
71	за пределы	2	3
72	конечно не	5	3
73	в истории	10	3
74	не существует	1	3
75	в новое	2	3
76	в духе	1	3
77	с другой	8	3
78	в основе	7	3
79	в россии	4	3
80	сказать что	3	3
81	наряду с	1	3
82	всех сферах	1	3
83	с тем	11	3
84	не значит	1	3
85	не есть	4	3
86	в своей	16	3
87	в мире	4	3
88	как в	12	3
89	жизни в	2	3
90	перейти к	3	3
91	история в	1	3
92	но и	18	3
93	это было	3	3
94	начало нового	1	3
95	жизни не	2	3
96	к тому	6	3
97	еще не	6	3
98	от всякого	2	2
99	с этим	6	2
100	все они	1	2
101	центр тяжести	1	2
102	более не	1	2
103	и от	9	2
104	это и	7	2
105	ни к	1	2
106	и индивидуальности	1	2
107	стремиться к	1	2
108	силы и	1	2
109	и что	2	2
110	возвращается к	1	2
111	не могли	2	2
112	должна стать	1	2
113	зависит от	2	2
114	и заключается	2	2
115	самый процесс	1	2
116	познания и	4	2
117	с одной	5	2
118	хотя бы	10	2
119	такого рода	1	2
120	мы не	6	2
121	того чтобы	4	2
122	вот почему	1	2
123	заключается что	1	2
124	хотя и	3	2
125	в нашу	1	2
126	которых не	1	2
127	так и	24	2
128	нашего времени	1	2
129	как это	8	2
130	самой жизни	1	2
