N	4gram	Bakhtin_Pr	Russkaja
1	в то же время	13	10
2	во что бы то	1	3
3	что бы то ни	1	3
4	бы то ни стало	1	3
5	о котором идет речь	1	2
6	и в другом случае	1	2
7	в том и в	1	2
8	и в том и	1	2
9	том и в другом	1	2
10	друг с другом как	1	1
11	бы то ни было	2	1
12	здесь мы подходим к	1	1
13	дело в том что	1	1
14	по себе еще не	4	1
15	что в большинстве случаев	2	1
16	одну и ту же	1	1
17	сойтись друг с другом	1	1
18	заключается в том что	1	1
19	а в том что	1	1
20	но в то же	7	1
21	что с точки зрения	1	1
22	в том числе и	1	1
23	в данном случае и	1	1
24	во всяком случае не	1	1
25	и во всяком случае	1	1
26	и не может быть	1	1
27	но на самом деле	1	1
28	сама по себе еще	1	1
