N	2gram	Losev_Prob	BTomashe
1	у нас	17	3
2	все это	8	2
3	в ней	4	2
4	можно было	4	2
5	не то	4	2
6	больше чем	2	2
7	и не	29	2
8	следовало бы	1	1
9	вопрос о	2	1
10	творчества и	1	1
11	и о	9	1
12	было и	1	1
13	и нет	4	1
14	не только	28	1
15	остановиться на	2	1
16	а о	1	1
17	всего в	1	1
18	нас еще	1	1
19	таким образом	20	1
20	не было	4	1
21	в эпоху	5	1
22	прежде всего	15	1
23	бы только	1	1
24	и в	48	1
25	на самом	2	1
26	так и	15	1
27	можно в	1	1
28	в своей	29	1
29	иначе не	1	1
30	во всяком	7	1
31	и потому	4	1
32	и во	2	1
33	также что	1	1
34	за пределы	1	1
35	говорить об	1	1
36	же не	4	1
37	по крайней	8	1
38	с другой	8	1
39	об этом	11	1
40	художественного произведения	1	1
41	своей книге	1	1
42	как будто	9	1
43	точке зрения	2	1
44	этой книги	2	1
45	совершенно не	1	1
46	не о	2	1
47	другой стороны	8	1
48	крайней мере	8	1
49	всяком случае	6	1
50	кроме того	5	1
51	было бы	12	1
52	стоит на	1	1
53	и ее	2	1
54	одной из	5	1
55	в значительной	3	1
56	в данном	6	1
57	теории литературы	1	1
58	в области	3	1
59	далеко не	6	1
60	тем более	2	1
61	говорить не	1	1
62	не вполне	2	1
63	и более	3	1
64	что все	1	1
65	не все	3	1
66	никак не	10	1
67	его не	3	1
68	будто бы	5	1
69	более подробно	1	1
70	также не	1	1
71	а не	7	1
72	как некоторого	1	1
73	отнюдь не	14	1
74	до конца	4	1
75	представляется нам	1	1
76	сейчас в	1	1
77	и на	9	1
78	еще не	4	1
79	к ней	2	1
80	все же	12	1
81	что в	12	1
