N	3gram	Trubetskoy	Tragedij
1	то же время	2	5
2	в то же	2	5
3	в том что	16	2
4	между этими двумя	2	2
5	точно так же	1	2
6	в данном случае	3	2
7	и в дальнейшем	1	2
8	о том что	4	2
9	но все же	2	2
10	я в то	1	1
11	не только по	1	1
12	том что он	2	1
13	друг друга и	1	1
14	а между тем	8	1
15	за то что	1	1
16	может быть не	1	1
17	все эти черты	1	1
18	смысле этого слова	1	1
19	в конце концов	4	1
20	это может быть	1	1
21	это должно быть	1	1
22	мысль о том	1	1
23	с тем и	1	1
24	вместо того чтобы	1	1
25	а это было	1	1
26	не может быть	4	1
27	что в таком	1	1
28	но при этом	1	1
29	в этом случае	4	1
30	по сравнению с	5	1
31	с самого начала	1	1
32	в самой природе	1	1
33	и то что	3	1
34	как и все	2	1
35	не только не	1	1
36	в высшей степени	2	1
37	как и в	2	1
38	в связи с	3	1
39	и все же	1	1
40	в самом деле	5	1
41	во всяком случае	2	1
42	к тому что	1	1
43	но и ко	1	1
44	тем не менее	4	1
45	несмотря на все	1	1
46	несмотря на всю	1	1
47	вместе с ними	1	1
48	в борьбе за	1	1
49	бы может быть	1	1
50	все же являются	1	1
51	все же не	3	1
52	никакой роли в	1	1
53	и не может	1	1
