N	3gram	Bakhtin_fo	Sotsiolo
1	по отношению к	3	2
2	только в этом	1	2
3	в том что	4	2
4	в конце концов	1	2
5	именно на этот	1	1
6	и в то	7	1
7	конечно не в	1	1
8	в то же	10	1
9	друг от друга	2	1
10	ровно ничего не	1	1
11	выходит за пределы	1	1
12	с одной стороны	3	1
13	в связи с	12	1
14	то же самое	1	1
15	на первый план	2	1
16	их между собой	1	1
17	то что в	1	1
18	главным образом в	1	1
19	о том как	2	1
20	то же время	13	1
21	как то что	1	1
22	бы он ни	2	1
23	сама по себе	1	1
24	и только для	1	1
25	это вовсе не	1	1
26	во всяком случае	1	1
27	и наконец в	1	1
28	вступает в свои	1	1
29	и в этом	2	1
30	в свои права	1	1
31	не может не	1	1
32	именно в том	1	1
33	не выходит за	1	1
34	тем более не	1	1
