N	2gram	Medvedev_B	Freidism
1	таким образом	1	34
2	и не	2	34
3	и в	1	28
4	прежде всего	1	26
5	в своей	1	14
6	так и	1	14
7	все это	2	12
8	и потому	1	12
9	не только	1	10
10	за пределы	1	10
11	и на	1	9
12	во всяком	1	9
13	совершенно не	1	9
14	а не	1	9
15	все же	1	8
16	еще не	1	8
17	было бы	1	8
18	в ней	2	8
19	всяком случае	1	8
20	что в	1	7
21	до конца	1	7
22	что все	1	7
23	об этом	1	7
24	и ее	1	7
25	на самом	1	6
26	в пределах	1	6
27	и о	1	6
28	говорить о	1	5
29	между ними	1	5
30	не было	1	5
31	далеко не	1	5
32	отнюдь не	1	5
33	в данном	1	4
34	к ней	1	4
35	в области	1	4
36	о них	1	3
37	у нас	3	3
38	представляется нам	1	3
39	свести к	1	3
40	в эпоху	1	3
41	должна быть	1	2
42	меньшей мере	1	2
43	вопрос о	1	2
44	с другой	1	2
45	и во	1	2
46	по меньшей	1	2
47	выходит за	1	2
48	на которой	1	2
49	выпадает из	1	2
50	будто бы	1	2
51	не то	2	2
52	не укладывается	1	2
53	его не	1	2
54	не следует	1	2
55	в книге	1	2
56	говорить об	1	2
57	никак не	1	1
58	остановиться на	1	1
59	творчества и	1	1
60	со всем	1	1
61	по крайней	1	1
62	и нет	1	1
63	работа по	1	1
64	как часть	1	1
65	не склонен	1	1
66	говорить не	1	1
67	точно и	1	1
68	точке зрения	1	1
69	одной из	1	1
70	является только	1	1
71	крайней мере	1	1
72	чем на	1	1
73	стр в	1	1
74	же не	1	1
75	по теории	1	1
76	г стр	1	1
77	нельзя не	1	1
78	тем более	1	1
79	не все	1	1
80	можно было	2	1
81	теоретической и	1	1
82	как будто	1	1
