N	2gram	Bakhtin_KF	Freidism
1	и не	28	34
2	точки зрения	13	31
3	не может	29	30
4	и пр	3	29
5	в этом	15	28
6	может быть	45	28
7	и в	28	28
8	прежде всего	4	26
9	в его	42	25
10	и его	18	22
11	мы можем	1	20
12	как бы	9	19
13	как мы	1	18
14	то что	7	17
15	вовсе не	7	16
16	с точки	10	15
17	все эти	11	15
18	так как	1	15
19	с ним	5	14
20	в своей	11	14
21	так и	2	14
22	самом деле	3	14
23	в душе	1	13
24	и все	9	13
25	как и	5	13
26	по отношению	26	13
27	но в	5	13
28	во всех	11	13
29	в самом	1	12
30	то же	5	12
31	ни в	12	12
32	что он	2	12
33	том что	4	12
34	для него	13	12
35	все это	10	12
36	и потому	2	12
37	и наконец	1	12
38	только в	18	11
39	отношению к	22	11
40	его в	5	11
41	все что	1	10
42	один из	2	10
43	не только	5	10
44	и с	1	10
45	но и	9	10
46	конечно не	7	10
47	тот же	3	10
48	никогда не	5	10
49	в том	6	10
50	мы уже	1	10
51	он не	6	10
52	не в	13	10
53	и на	3	9
54	уже не	7	9
55	во всяком	1	9
56	совершенно не	7	9
57	мы не	3	9
58	с его	2	9
59	к этому	2	9
60	к нему	12	9
61	в чем	4	9
62	а не	17	9
63	культурного творчества	1	9
64	мы должны	1	9
65	и др	1	9
66	могут быть	3	9
67	при этом	4	8
68	все же	5	8
69	еще не	5	8
70	с этим	1	8
71	было бы	8	8
72	а в	5	8
73	на этом	1	8
74	в ней	3	8
75	всяком случае	1	8
76	что в	4	7
77	и к	1	7
78	связь с	1	7
79	в жизни	2	7
80	его жизни	3	7
81	хотя бы	5	7
82	в каком	4	7
83	если мы	1	7
84	до конца	3	7
85	что все	1	7
86	и для	10	7
87	того что	3	7
88	не является	1	7
89	но не	12	7
90	я и	5	7
91	об этом	1	7
92	в нем	32	7
93	быть и	3	7
94	в этой	2	7
95	отношение к	6	7
96	в себе	21	7
97	жизни и	8	7
98	в то	3	7
99	и ее	2	7
100	в человеке	1	6
101	одно из	1	6
102	если он	1	6
103	в корне	3	6
104	не менее	3	6
105	но мы	1	6
106	к тому	1	6
107	можно сказать	1	6
108	в основе	5	6
109	в свою	3	6
110	для того	3	6
111	же время	2	6
112	мы имеем	5	6
113	ни о	1	6
114	как раз	1	6
115	на самом	3	6
116	здесь в	1	6
117	сознания и	3	6
118	большинстве случаев	1	6
119	она не	2	6
120	совсем не	2	6
121	человека и	3	6
122	и о	1	6
123	и только	7	6
124	для этого	2	6
125	всех этих	3	6
126	которой мы	1	6
127	не можем	1	6
128	что это	4	5
129	со всеми	2	5
130	в своих	4	5
131	ее в	1	5
132	конечно и	1	5
133	в процессе	2	5
134	с ними	4	5
135	вместе с	1	5
136	со стороны	8	5
137	т.е в	1	5
138	того чтобы	2	5
139	возврат в	1	5
140	говорить о	2	5
141	и до	1	5
142	чем не	4	5
143	что она	1	5
144	по поводу	1	5
145	той же	1	5
146	это не	10	5
147	в ее	17	5
148	что и	7	5
149	в которой	1	5
150	тому что	2	5
151	между ними	1	5
152	в этих	1	5
153	в себя	8	5
154	и по	1	5
155	таким путем	1	5
156	не было	8	5
157	другими словами	1	5
158	во второй	1	5
159	не знает	5	5
160	как это	1	5
161	от того	3	5
162	в большинстве	1	5
163	что может	1	5
164	ничего не	3	5
165	отнюдь не	7	5
166	в последнем	1	4
167	как с	1	4
168	смысле слова	1	4
169	мысли и	1	4
170	характер и	1	4
171	в виду	3	4
172	сводится к	2	4
173	по себе	2	4
174	если бы	8	4
175	именно в	5	4
176	может стать	1	4
177	подхода к	2	4
178	как в	2	4
179	себя и	5	4
180	зависимости от	1	4
181	ничего общего	2	4
182	жизнь человека	1	4
183	это и	3	4
184	в данном	2	4
185	в котором	24	4
186	потому что	2	4
187	только как	4	4
188	это только	2	4
189	и оно	1	4
190	в этот	1	4
191	и т.п	1	4
192	слова и	1	4
193	только на	1	4
194	в мир	2	4
195	а только	1	4
196	в истории	1	4
197	свою очередь	1	4
198	связанных с	1	4
199	нет и	3	4
200	в своем	17	4
201	нигде не	3	4
202	одна из	1	4
203	только с	3	4
204	но это	6	4
205	едва ли	2	4
206	всех своих	4	4
207	этот процесс	1	4
208	и за	2	4
209	тем не	2	4
210	ее целом	3	4
211	не существует	1	4
212	в зависимости	1	4
213	но ведь	5	4
214	я не	6	4
215	по своему	3	4
216	между собой	1	4
217	нисколько не	4	4
218	войти в	3	4
219	на язык	3	4
220	в основных	1	4
221	не дает	3	4
222	не тот	1	4
223	то ни	2	4
224	и может	3	4
225	должны быть	1	4
226	в другом	3	4
227	к ней	1	4
228	главным образом	1	4
229	в области	2	4
230	его к	2	4
231	с ее	2	4
232	в целом	10	4
233	во втором	1	3
234	до сих	1	3
235	и очень	1	3
236	на почве	1	3
237	освободиться от	1	3
238	это уже	2	3
239	в результате	1	3
240	нет никакого	1	3
241	и тот	3	3
242	не сможет	1	3
243	оно не	2	3
244	и даже	1	3
245	их в	1	3
246	это содержание	1	3
247	не делает	1	3
248	конечном счете	1	3
249	к его	1	3
250	жизни в	5	3
251	приводит к	1	3
252	и смерть	1	3
253	где оно	1	3
254	современной философии	7	3
255	что мы	1	3
256	раз и	2	3
257	ни на	1	3
258	на основе	7	3
259	и содержание	5	3
260	сознания в	2	3
261	имеет дело	1	3
262	в одном	5	3
263	можно ли	2	3
264	тем же	1	3
265	в нашем	1	3
266	находится в	1	3
267	о том	3	3
268	во всей	4	3
269	в сознании	2	3
270	единства и	2	3
271	а следовательно	3	3
272	из него	4	3
273	того же	1	3
274	не найдем	1	3
275	бы то	2	3
276	только не	1	3
277	и то	2	3
278	действительно ли	2	3
279	мы видим	1	3
280	мир в	12	3
281	они не	1	3
282	к человеку	1	3
283	к себе	2	3
284	не будем	1	3
285	сознания это	1	3
286	и этим	3	3
287	в конечном	1	3
288	его совершенно	1	3
289	этого не	1	3
290	он пытается	1	3
291	но для	3	3
292	такой же	1	3
293	не остается	2	3
294	и как	2	3
295	и она	2	3
296	согласиться с	1	3
297	есть только	1	3
298	на все	1	3
299	один и	3	3
300	представляется нам	1	3
301	себе и	3	3
302	которой он	2	3
303	единство и	1	3
304	и таким	1	3
305	сих пор	1	3
306	сказать и	1	3
307	остается в	1	3
308	ни один	1	3
309	между тем	4	3
310	в какой	1	3
