N	3gram	Voloshinov	Marksizm
1	с точки зрения	1	46
2	не может быть	1	25
3	то же время	1	15
4	в то же	1	15
5	и не может	1	12
6	к тому что	1	5
7	социального общения и	2	3
8	русского литературного языка	1	2
9	и в особенности	1	2
10	нет и не	1	2
11	во второй части	1	1
12	предпосылки рационалистического и	1	1
13	истории русского литературного	1	1
14	так называемая женевская	1	1
15	направления абстрактного объективизма	1	1
16	и механистического мировоззрения	1	1
17	рационалистического и механистического	1	1
18	в школе фосслера	1	1
