N	4gram	Ircho_Kome	Formalny
1	в то же время	5	20
2	бы то ни было	4	7
3	в связи с этим	1	5
4	и т п в	1	4
5	и во всяком случае	1	3
6	в том числе и	1	3
7	во всяком случае в	1	3
8	с этой точки зрения	1	2
9	одних и тех же	1	2
10	только в связи с	1	2
11	не говоря уже о	4	2
12	т п т е	1	1
13	же как мы видели	1	1
14	не что иное как	1	1
15	независимо друг от друга	1	1
16	в том случае если	1	1
17	в той же мере	1	1
18	только в том случае	1	1
19	связи с этим же	1	1
20	ни в одной из	1	1
21	ни в чем не	1	1
22	с другой стороны в	1	1
23	может быть даже и	1	1
24	ни в коем случае	1	1
25	в том что они	1	1
26	к тому что и	1	1
27	и т п т	1	1
28	в нашу задачу не	1	1
29	и в конце концов	1	1
30	можно сделать вывод что	1	1
31	нашу задачу не входит	1	1
32	как и во всех	1	1
33	о которых идет речь	1	1
