N	3gram	Medvedev_S	Marksizm
1	по отношению к	2	15
2	то же время	1	15
3	в то же	1	15
4	в том что	2	14
5	в связи с	1	14
6	в настоящее время	1	8
7	то же самое	1	8
8	во всяком случае	1	6
9	с одной стороны	1	6
10	в конце концов	2	3
11	и в этом	1	3
12	на первый план	1	3
13	не было бы	1	3
14	именно в том	1	3
15	друг от друга	1	2
16	а между тем	1	2
17	сама по себе	1	2
18	чуть ли не	1	2
19	по крайней мере	1	2
20	в марксистской литературе	1	2
21	только в этом	2	2
22	в противном случае	1	2
23	это и есть	1	2
24	но ведь это	2	1
25	благодаря тому что	1	1
26	бы он ни	1	1
27	том что это	1	1
28	в конечном счете	1	1
29	что в них	1	1
30	между собой не	1	1
31	как бы он	1	1
32	а с другой	1	1
33	а в том	1	1
34	в наше время	1	1
35	это вовсе не	1	1
36	применения социологического метода	1	1
37	то что в	1	1
38	конечно не в	1	1
39	марксизма в его	1	1
40	мы переходим к	1	1
41	в лучшем случае	1	1
42	не дает никаких	1	1
43	бы они ни	1	1
44	они ни были	1	1
45	между тем именно	1	1
46	выходит за пределы	1	1
47	как бы они	1	1
48	не выходит за	1	1
49	не должна быть	1	1
50	ровно ничего не	1	1
