N	2gram	Berdyaev_N	Morfolog
1	может быть	7	61
2	и пр	3	45
3	могут быть	2	21
4	так как	1	20
5	не может	16	19
6	в этом	7	18
7	в этих	1	17
8	и в	16	17
9	и не	11	16
10	с этим	2	14
11	прежде всего	4	14
12	по существу	2	13
13	а не	17	11
14	что в	9	10
15	вопрос о	3	10
16	не всегда	1	10
17	но если	1	10
18	в том	8	10
19	так и	2	10
20	то что	4	10
21	с другой	3	9
22	но и	3	9
23	не только	5	8
24	мы не	2	8
25	но не	2	8
26	а в	2	8
27	не могут	1	7
28	не менее	4	7
29	том что	2	7
30	потому что	4	7
31	наряду с	3	7
32	как это	2	7
33	а также	1	7
34	подобно тому	3	6
35	о том	4	6
36	но это	6	6
37	это не	4	6
38	в образе	1	6
39	во всех	3	6
40	во время	1	6
41	другой стороны	2	5
42	что он	1	5
43	как в	3	5
44	то это	1	5
45	хотя бы	2	5
46	было бы	1	5
47	к тому	3	5
48	хотя и	2	5
49	все эти	2	5
50	одна из	2	5
51	тому как	3	5
52	он не	8	5
53	раньше чем	1	5
54	и к	5	4
55	смысле слова	3	4
56	есть и	1	4
57	как и	7	4
58	но все	1	4
59	ни одна	2	4
60	тем что	1	4
61	уже не	2	4
62	еще не	3	4
63	того чтобы	2	4
64	говорить о	1	4
65	так же	2	4
66	сказать что	3	4
67	и для	4	4
68	из них	1	4
69	но в	2	4
70	что его	1	4
71	в то	2	4
72	мы уже	1	4
73	можно было	2	4
74	от того	1	4
75	оно может	1	4
76	значит что	4	4
77	то время	1	3
78	это уже	1	3
79	в сущности	1	3
80	о формах	1	3
81	одному из	1	3
82	ни в	6	3
83	с собой	1	3
84	только в	1	3
85	время как	2	3
86	можно назвать	2	3
87	не существует	3	3
88	и что	2	3
89	связана с	2	3
90	для того	1	3
91	или не	1	3
92	а во	1	3
93	с его	6	3
94	к нему	1	3
95	они не	1	3
96	что такое	3	3
97	у нас	1	3
98	это и	2	3
99	и есть	10	3
100	а на	1	3
101	к чему	1	3
102	но для	2	3
103	большинстве случаев	1	3
104	это было	3	3
105	и у	1	3
106	вопроса о	1	3
107	том случае	1	3
108	совсем не	12	3
109	друг друга	1	3
110	мы должны	1	3
111	не в	6	3
112	в которой	1	3
113	на нем	1	3
114	а по	1	3
115	и их	1	3
116	в большинстве	1	3
117	значение и	1	3
118	в этой	1	3
119	к ней	1	3
120	приводит к	1	3
121	не значит	3	3
122	все еще	1	3
123	и его	1	3
124	и только	1	3
125	и этот	1	2
126	должна быть	3	2
127	вопросу о	1	2
128	не с	1	2
129	или нет	1	2
130	он действует	1	2
131	лишь на	1	2
132	не на	1	2
133	оно не	1	2
134	в россии	3	2
135	с тем	3	2
136	их в	1	2
137	себя и	1	2
138	только для	1	2
139	не имеет	4	2
140	роль в	2	2
141	в каком	1	2
142	но оно	1	2
143	во всяком	1	2
144	можно сказать	1	2
145	в основе	3	2
146	и более	1	2
147	он требует	1	2
148	что этот	1	2
149	что мы	1	2
150	как например	1	2
151	одной стороны	2	2
152	можно лишь	1	2
153	в каких	1	2
154	к себе	1	2
155	особое место	1	2
156	и когда	1	2
157	от других	1	2
158	превращается в	1	2
159	что она	2	2
160	он может	1	2
161	который в	2	2
162	всяком случае	1	2
163	себя в	2	2
164	не означает	3	2
165	то они	1	2
166	ничем не	1	2
167	в основу	1	2
168	с одной	2	2
169	ни к	2	2
170	все это	5	2
171	с другими	1	2
172	не знает	6	2
173	этого не	1	2
174	будто не	1	2
175	путь на	1	2
176	этого нельзя	1	2
177	вообще не	1	2
178	у него	2	2
179	перейти к	3	2
180	по своему	4	2
181	к вопросу	1	2
182	в чем	1	2
183	случае если	1	2
184	в наши	3	2
185	и даже	2	2
186	она не	3	2
187	не по	1	2
188	эти формы	3	2
189	из этих	1	2
190	должны быть	1	2
191	в нее	1	2
192	от вопроса	1	2
193	огромное значение	1	2
194	как будто	2	2
195	в одну	2	2
196	совершается в	1	2
197	в той	1	1
198	во всем	1	1
199	все что	1	1
200	нет они	1	1
201	хочет его	1	1
202	для всех	1	1
203	труд и	1	1
204	до сих	1	1
205	и на	2	1
206	но наряду	1	1
207	наши дни	3	1
208	же и	1	1
209	было так	1	1
210	она с	1	1
211	влияния совершенно	1	1
212	на западе	1	1
213	на ее	1	1
214	большую роль	4	1
215	от неба	1	1
216	это значит	1	1
217	в нашу	2	1
218	но ведь	1	1
219	будет сама	1	1
220	не достигается	1	1
221	обреченный на	1	1
222	не столько	1	1
223	это одна	1	1
224	к ложным	1	1
225	под этим	1	1
226	она становится	1	1
227	в них	4	1
228	до этого	1	1
229	и с	2	1
230	равно как	2	1
231	и все	4	1
232	более широкого	1	1
233	оно есть	1	1
234	еще в	1	1
235	и начала	2	1
236	лишь к	1	1
237	к таким	1	1
238	те формы	1	1
239	как не	8	1
240	самая постановка	1	1
241	духа в	2	1
242	и очень	1	1
243	это время	1	1
244	в своей	3	1
245	которые могут	1	1
246	отнесены к	1	1
247	ли он	1	1
248	в это	1	1
249	нет в	1	1
250	к созданию	2	1
251	огромную роль	1	1
252	и нет	1	1
253	все они	2	1
254	в дальний	1	1
255	во все	1	1
256	к этой	1	1
257	в котором	1	1
258	мы переходим	1	1
259	что никаких	1	1
260	и погоня	1	1
261	она могла	1	1
262	в свою	1	1
263	не должно	1	1
264	своему строению	1	1
265	но во	1	1
266	в этот	1	1
267	в новой	7	1
268	она создает	1	1
269	значение для	1	1
270	вступает в	1	1
271	говорит что	1	1
272	не будет	7	1
273	и до	1	1
274	и а	1	1
275	как на	1	1
276	установить что	1	1
277	он в	1	1
278	бы сказать	1	1
279	в эти	1	1
280	в ее	3	1
281	проходит через	1	1
282	высшей степени	6	1
283	всякое значение	2	1
284	в себе	2	1
285	с большим	1	1
286	должно быть	4	1
287	еще до	2	1
288	в состоянии	1	1
289	в его	1	1
290	всего мира	1	1
291	даны лишь	1	1
292	который можно	1	1
293	в формах	1	1
294	стремится к	3	1
295	слова а	1	1
296	что все	2	1
297	мы вновь	1	1
298	от своих	1	1
299	как ни	1	1
300	в виду	1	1
301	и начинается	2	1
302	что не	1	1
303	то нет	1	1
304	и обнаруживается	1	1
305	тоской по	1	1
306	нас к	1	1
307	и она	1	1
308	помнить что	2	1
309	есть в	2	1
310	не есть	3	1
311	в мире	3	1
312	для решения	1	1
313	он узнает	1	1
314	становится все	1	1
315	уже давно	1	1
316	лишь для	1	1
317	и это	2	1
318	в эту	1	1
319	сих пор	1	1
320	как результат	1	1
321	людей в	1	1
322	и хочет	1	1
323	но можно	1	1
324	может иметь	1	1
325	бы к	1	1
326	возвращается к	2	1
327	ее он	1	1
328	отличие от	1	1
329	она должна	1	1
330	века тогда	1	1
331	царь или	1	1
332	может идти	1	1
333	одну из	1	1
334	но он	1	1
335	мы опять	1	1
336	есть всегда	1	1
337	к тем	1	1
338	но она	2	1
339	много ли	2	1
340	поставлен вопрос	1	1
341	часто не	1	1
342	думать что	2	1
343	когда мы	2	1
344	на это	1	1
345	быть не	1	1
346	возможно что	1	1
347	нужно помнить	1	1
348	бы он	1	1
349	слишком далеко	1	1
350	них не	1	1
351	эту мысль	1	1
352	в силу	1	1
353	такой же	2	1
354	начала которые	1	1
355	не свободен	1	1
356	в области	1	1
357	все более	1	1
358	все другие	1	1
359	для чего	2	1
360	ведь и	2	1
361	в высшей	6	1
362	не удалось	1	1
363	до начала	1	1
364	с ее	5	1
