N	2gram	Vygotskiy_	UchenyiS
1	и в	33	14
2	не только	28	10
3	а не	14	10
4	и не	18	8
5	прежде всего	5	8
6	то что	48	7
7	вот почему	3	7
8	в этом	43	7
9	не может	31	7
10	может быть	15	6
11	хотя бы	5	5
12	то же	12	5
13	и только	4	5
14	все это	2	5
15	с другой	11	4
16	в этой	8	4
17	что такое	6	4
18	но и	14	4
19	в их	4	4
20	бы то	2	3
21	было бы	18	3
22	и то	9	3
23	и формы	1	3
24	по нашему	1	3
25	только к	4	3
26	и т.д	6	3
27	этой области	3	3
28	для этого	3	3
29	очевидно что	2	3
30	это не	8	3
31	как и	13	3
32	то ни	1	3
33	для него	9	3
34	формы в	1	3
35	в своей	5	3
36	все же	5	3
37	ни было	1	3
38	в области	19	3
39	в частности	9	3
40	в то	5	3
41	не как	3	3
42	у нас	4	3
43	другой стороны	9	3
44	но в	9	3
45	нашему мнению	1	3
46	таким образом	30	2
47	в самом	10	2
48	если не	3	2
49	не приходится	1	2
50	могли бы	15	2
51	его и	4	2
52	если бы	13	2
53	самом деле	9	2
54	могут быть	7	2
55	является в	2	2
56	не в	10	2
57	это было	1	2
58	для всех	2	2
59	и с	7	2
60	до сих	3	2
61	их и	2	2
62	же самое	7	2
63	думается что	5	2
64	одним из	4	2
65	как таковой	2	2
66	но не	13	2
67	по существу	5	2
68	мы и	6	2
69	тем что	12	2
70	более чем	1	2
71	в себе	4	2
72	в его	15	2
73	в конце	3	2
74	т.е в	1	2
75	приходится признать	1	2
76	должна быть	7	2
77	мы не	6	2
78	мы получаем	1	2
79	ничего не	6	2
80	всех этих	1	2
81	между тем	5	2
82	приемов и	1	2
83	что она	3	2
84	не есть	4	2
85	что он	40	2
86	на каждом	3	2
87	в широком	1	2
88	конце концов	2	2
89	на эту	1	2
90	при таком	1	2
91	этом отношении	7	2
92	о чем	3	2
93	как раз	5	2
94	каждом шагу	3	2
95	тех или	2	2
96	не могут	7	2
97	а как	1	2
98	что мы	11	2
99	сводится к	1	2
100	в том	44	2
101	представляется нам	4	2
102	том что	41	2
103	или иных	2	2
104	с проблемой	2	2
105	но это	4	2
106	этом смысле	5	2
107	и для	3	2
108	в системе	4	2
109	и является	6	2
110	что и	11	2
111	не столько	3	2
112	а между	1	2
