N	3gram	Propp_Russ	EvropaiC
1	в том что	27	16
2	по отношению к	1	11
3	друг с другом	1	9
4	с точки зрения	3	8
5	более или менее	1	8
6	а между тем	1	8
7	на то что	2	7
8	для того чтобы	6	7
9	на самом деле	1	7
10	не может быть	1	4
11	о том что	6	4
12	тем не менее	3	4
13	в этом случае	9	4
14	может быть и	3	4
15	вместе с тем	10	3
16	в целом ряде	1	3
17	в том же	1	3
18	в настоящее время	3	3
19	таким образом в	1	3
20	все же не	2	3
21	одного и того	1	3
22	так же как	5	3
23	в данном случае	7	3
24	и того же	1	3
25	не может не	1	3
26	в связи с	4	3
27	время от времени	1	2
28	в свою очередь	2	2
29	но вместе с	3	2
30	во всяком случае	1	2
31	во всех этих	1	2
32	каждый из этих	2	2
33	не более как	1	2
34	как и в	1	2
35	а следовательно и	1	2
36	в то время	3	2
37	ничего общего с	1	2
38	но все же	2	2
39	с одной стороны	1	2
40	о том чтобы	1	2
41	но так как	1	2
42	и в том	2	2
43	друг к другу	2	2
44	мы видели что	1	1
45	это имеет место	3	1
46	не только по	2	1
47	к таким народам	1	1
48	в научной литературе	1	1
49	а может быть	1	1
50	и у нас	2	1
51	между тем такие	1	1
52	только по отношению	1	1
53	по этому поводу	3	1
54	так и у	1	1
55	мы уже знаем	2	1
56	только одно из	1	1
57	менее похожи на	1	1
58	мы видим что	1	1
59	одним из самых	1	1
60	может рассматриваться как	1	1
61	как мы знаем	1	1
62	сливаются в одно	1	1
63	быть потому что	1	1
64	и все другие	1	1
65	и в дальнейшем	1	1
66	по существу совершенно	1	1
67	в одно целое	1	1
68	из них в	1	1
69	еще далеко не	2	1
70	свой народ и	2	1
71	в себе и	1	1
72	на основании этих	1	1
73	могут рассматриваться как	1	1
74	если стремление к	1	1
75	точно так же	1	1
76	если присмотреться к	1	1
77	быть и не	1	1
78	что при этом	1	1
79	что для этого	1	1
80	и все это	1	1
81	в этом и	1	1
82	при этом не	1	1
83	тем более что	1	1
84	независимо от того	1	1
85	между прочим в	1	1
86	более высокой ступени	1	1
87	и другим народам	1	1
88	состоит в том	16	1
89	во многих отношениях	2	1
90	хотя и не	1	1
91	и некоторые другие	2	1
92	решить этот вопрос	2	1
93	одно из непременных	1	1
94	того же явления	1	1
95	ни одна из	2	1
96	ничего не говорить	1	1
97	и что следовательно	1	1
98	иметь в виду	2	1
99	о том кто	1	1
100	очень много и	1	1
101	как мы видели	1	1
102	с тем и	3	1
103	можно было бы	2	1
104	в один из	1	1
105	целом ряде других	1	1
106	и таким образом	1	1
107	и это не	1	1
108	из приведенных выше	1	1
109	не может признать	1	1
110	может быть потому	2	1
111	в разные стороны	1	1
112	и в нашем	1	1
113	русских но и	1	1
114	так что в	1	1
115	другим народам на	1	1
116	стоит в связи	2	1
117	тех случаях когда	2	1
118	и другие народы	1	1
119	из этих элементов	1	1
120	том что они	1	1
121	на первый взгляд	1	1
122	деле это не	1	1
123	по этому вопросу	1	1
124	а так как	1	1
125	к тому что	4	1
126	по его мнению	1	1
127	сущность его состоит	1	1
128	можно рассматривать как	1	1
129	правильнее было бы	1	1
130	том что до	1	1
131	несмотря на все	1	1
132	не принадлежат к	1	1
133	его состоит в	2	1
134	из того что	1	1
135	во всем этом	1	1
136	то увидим что	1	1
137	никак не может	1	1
138	приводит к тому	1	1
139	только тогда когда	3	1
140	для этой цели	2	1
141	то время как	1	1
142	пока еще не	1	1
143	от своих предшественников	1	1
144	в тех случаях	2	1
