N	2gram	Tiupa_Hudo	Russkaja
1	не может	9	22
2	и не	16	19
3	в этом	12	17
4	в том	20	17
5	и в	23	14
6	то что	5	13
7	самим собой	5	12
8	таким образом	3	11
9	то же	12	11
10	точки зрения	11	11
11	но и	14	10
12	же время	7	10
13	в то	8	10
14	не только	20	9
15	с точки	3	9
16	том что	9	9
17	может быть	19	9
18	в себе	13	9
19	прежде всего	5	8
20	того чтобы	5	8
21	не будет	3	7
22	ни к	2	7
23	самом деле	2	7
24	к тому	4	7
25	о том	2	7
26	в данном	4	7
27	отнюдь не	2	7
28	и к	3	6
29	для всех	1	6
30	если в	1	6
31	для него	5	6
32	все это	2	6
33	в своих	1	6
34	если бы	3	6
35	и для	3	6
36	что он	5	6
37	для того	5	6
38	в своем	4	6
39	и на	3	5
40	из которых	2	5
41	только в	7	5
42	или иной	9	5
43	в своей	7	5
44	в последние	1	5
45	жизни в	2	5
46	себя и	3	5
47	между собой	2	5
48	во всех	3	5
49	потому что	3	5
50	в нем	6	5
51	между тем	4	5
52	он не	4	5
53	а в	13	5
54	при этом	19	5
55	было бы	1	5
56	на то	1	5
57	он должен	3	5
58	никогда не	2	5
59	что в	7	4
60	бы то	2	4
61	и то	4	4
62	все что	1	4
63	когда они	1	4
64	так как	1	4
65	в его	11	4
66	не могут	1	4
67	его в	4	4
68	более или	6	4
69	не в	9	4
70	вместе с	1	4
71	как и	3	4
72	на земле	1	4
73	в мире	24	4
74	все же	1	4
75	приводит к	6	4
76	в их	5	4
77	к вопросу	1	4
78	со стороны	5	4
79	себе и	1	4
80	или менее	6	4
81	том случае	1	4
82	то ни	2	4
83	в совершенно	1	4
84	и т.д	4	4
85	как бы	11	4
86	путь к	1	4
87	в этой	2	4
88	себя в	8	4
89	жизни и	1	4
90	но не	13	4
91	в самом	7	3
92	то в	2	3
93	что они	1	3
94	этом случае	1	3
95	может не	1	3
96	должно быть	1	3
97	несмотря на	2	3
98	вопросу о	1	3
99	что это	1	3
100	в качестве	31	3
101	что и	2	3
102	сводится к	11	3
103	что может	2	3
104	не было	1	3
105	связи с	3	3
106	или в	2	3
107	тем что	1	3
108	именно в	2	3
109	в конце	1	3
110	и как	4	3
111	да и	1	3
112	о котором	1	3
113	не есть	1	3
114	но если	1	3
115	но мы	1	3
116	культуры в	3	3
117	той или	5	3
118	еще не	4	3
119	все они	1	3
120	и потому	2	3
121	только к	1	3
122	при условии	2	3
123	случае если	1	3
124	в лучшем	1	3
125	одна из	2	3
126	в значительной	2	3
127	в другом	4	3
128	лучшем случае	1	3
129	говорить о	4	3
130	лишь в	7	3
131	она может	1	3
132	что для	1	3
133	при котором	2	3
134	одной из	2	3
135	с нею	1	3
136	что все	1	3
137	в сознании	1	3
138	из этого	2	3
139	и по	2	3
140	друг друга	1	3
141	из этих	3	3
142	для этого	1	3
143	из них	1	3
144	того что	5	3
145	представить себе	1	2
146	на почве	4	2
147	к такому	1	2
148	не так	1	2
149	от него	1	2
150	что такое	2	2
151	зависит от	1	2
152	в единое	3	2
153	сама по	2	2
154	время в	1	2
155	для себя	4	2
156	с самим	2	2
157	проявляется в	1	2
158	от нас	1	2
159	с ним	2	2
160	меру его	1	2
161	для нас	1	2
162	одному из	1	2
163	на которой	1	2
164	ни в	5	2
165	в результате	1	2
166	противоречие с	1	2
167	том и	2	2
168	в этих	4	2
169	у него	2	2
170	по себе	2	2
171	чтобы в	1	2
172	и даже	1	2
173	если не	1	2
174	бы для	1	2
175	от друга	1	2
176	ее в	2	2
177	а во-вторых	1	2
178	к чему	1	2
179	все эти	2	2
180	но для	1	2
181	том же	1	2
182	в таком	3	2
183	принадлежат к	1	2
184	отношения к	4	2
185	тому что	2	2
186	не подлежит	1	2
187	их в	3	2
188	в порядке	2	2
189	является не	1	2
190	только для	1	2
191	отличается от	2	2
192	так же	2	2
193	друг от	1	2
194	тогда как	15	2
195	уже не	6	2
196	деятельности и	1	2
197	с этим	1	2
198	того или	4	2
199	а с	2	2
200	и более	2	2
201	в таких	1	2
202	в котором	1	2
203	и состоит	3	2
204	другом и	1	2
205	это разумеется	1	2
206	во многих	1	2
207	и тем	4	2
208	быть и	2	2
209	в частности	18	2
210	а не	13	2
211	но она	2	2
212	только на	1	2
213	отношении к	3	2
214	в противоречие	1	2
215	речь идет	2	2
216	ни от	1	2
217	в силу	4	2
218	и является	1	2
219	точно так	1	2
220	и что	4	2
221	на основании	1	2
222	говоря о	3	2
223	по отношению	10	2
224	тем самым	5	2
225	и те	1	2
226	от своей	1	2
227	состоит в	20	2
228	на это	1	2
229	настоящее время	1	2
230	друг другу	1	2
231	приводят к	1	2
232	этом и	1	2
233	и от	1	2
234	но в	10	2
235	и есть	1	2
236	по этому	1	2
237	место в	5	2
238	так что	1	2
239	и о	4	2
240	как будто	1	2
241	всех людей	1	2
242	бы ни	1	2
243	в области	8	2
244	или иного	4	2
245	не просто	2	2
246	в настоящее	1	2
247	к нему	3	2
248	подход к	1	1
249	тем не	3	1
250	всего в	1	1
251	культура есть	1	1
252	иначе говоря	5	1
253	себе самом	1	1
254	русской культуре	1	1
255	том чем	1	1
256	однако и	1	1
257	к общему	1	1
258	только не	1	1
259	никак нельзя	1	1
260	жизни но	2	1
261	как это	7	1
262	что его	1	1
263	этой внутренней	1	1
264	один из	2	1
265	человеческой жизни	3	1
266	человека к	3	1
267	узко и	1	1
268	за ним	1	1
269	и конечно	1	1
270	не поддается	1	1
271	в принципе	8	1
272	же и	1	1
273	они не	1	1
274	практически не	1	1
275	себя только	1	1
276	не во	1	1
277	то есть	26	1
278	но из	1	1
279	а по	1	1
280	которая в	1	1
281	время и	1	1
282	отношению к	10	1
283	из нового	1	1
284	собой в	1	1
285	том числе	3	1
286	на ее	1	1
287	это особенно	1	1
288	в состоянии	1	1
289	связи между	1	1
290	с этой	3	1
291	это не	4	1
292	в себя	4	1
293	начале этой	1	1
294	на роль	1	1
295	можно назвать	1	1
296	даже в	3	1
297	была бы	3	1
298	не всякий	1	1
299	не для	1	1
300	ни было	2	1
301	означала бы	1	1
302	на деле	3	1
303	о себе	2	1
304	внутренней и	2	1
305	в сущности	1	1
306	в ее	6	1
307	на отдельные	1	1
308	души и	1	1
309	так и	12	1
310	привести к	1	1
311	те же	1	1
312	как элемент	1	1
313	в область	1	1
314	существенное изменение	1	1
315	по образцу	1	1
316	схемы и	1	1
317	не столько	7	1
318	о целесообразности	1	1
319	с другими	5	1
320	в подобном	1	1
321	не признает	2	1
322	быть может	1	1
323	в состав	6	1
324	духовной культуры	2	1
325	противоречие между	1	1
326	в русском	1	1
327	но на	2	1
328	не на	5	1
329	однако при	3	1
330	когда же	1	1
331	тому же	1	1
332	от своих	1	1
333	не была	1	1
334	а на	5	1
335	особенно если	1	1
336	или для	1	1
337	которому принадлежит	1	1
338	по пути	4	1
339	здесь мы	1	1
340	в которой	3	1
341	заключает в	1	1
342	и некоторые	2	1
343	общественном сознании	2	1
344	в собственном	1	1
345	как видно	1	1
346	различных людей	1	1
347	деятельности в	4	1
348	образом всякий	1	1
349	что по	1	1
350	заключается в	2	1
351	русского языка	1	1
352	на свою	2	1
353	дело в	1	1
354	мысль о	1	1
355	которое в	1	1
356	нами не	1	1
357	что не	1	1
358	отношение человека	1	1
359	тоже является	1	1
360	окрашено в	1	1
361	из всего	1	1
362	и будет	1	1
363	и действительно	1	1
364	превращается в	2	1
365	если он	1	1
366	в жизни	3	1
367	случае не	2	1
368	тем же	1	1
369	из тех	2	1
370	и без	1	1
371	их никто	1	1
372	в связи	3	1
373	самоопределения в	1	1
374	к самому	1	1
375	к его	3	1
376	с ними	2	1
377	общими для	1	1
378	и внутренне	1	1
379	же как	1	1
380	или даже	3	1
381	только то	1	1
382	между прочим	1	1
383	тому назад	1	1
384	в одно	2	1
385	при таком	1	1
386	однако это	1	1
387	противном случае	2	1
388	роль в	2	1
389	не менее	5	1
390	и религии	1	1
391	этого слова	2	1
392	перед собой	1	1
393	такой культуры	1	1
394	быть назван	1	1
395	участвовать в	1	1
396	без ее	1	1
397	от этого	1	1
398	по своему	3	1
399	того и	1	1
400	бы не	2	1
401	в истории	1	1
402	в такой	1	1
403	обе эти	1	1
404	со своей	4	1
405	этой соотносительности	1	1
406	по своим	1	1
407	существующая в	1	1
408	вследствие этого	2	1
409	и это	2	1
410	в сторону	2	1
411	а только	4	1
412	числе и	2	1
413	об этом	2	1
414	должен быть	2	1
415	своей жизни	2	1
416	вовсе не	2	1
417	искусство и	1	1
418	на первый	1	1
419	в одной	1	1
420	этом состоит	1	1
421	тем более	2	1
422	по крайней	1	1
423	следует подчеркнуть	3	1
424	перед нами	1	1
425	казалось бы	1	1
426	и другого	1	1
427	как сказано	1	1
428	природы этой	1	1
429	ведет нас	1	1
430	бы в	1	1
431	на них	1	1
432	образцу и	1	1
433	первый взгляд	1	1
434	если с	1	1
435	что хотя	1	1
436	ею как	1	1
437	к одному	1	1
438	и пути	1	1
439	и того	3	1
440	тем в	1	1
441	это и	2	1
442	еще и	2	1
443	может иметь	1	1
444	можно сказать	6	1
445	полной мере	1	1
446	но как	2	1
447	не является	5	1
448	в полной	1	1
449	в основе	7	1
450	каждая из	2	1
451	в такое	1	1
452	языка и	1	1
453	что высшей	1	1
454	данный момент	2	1
455	его жизни	1	1
456	своей собственной	1	1
457	эти последние	1	1
458	тех же	1	1
459	единое целое	2	1
460	себя если	1	1
461	свое место	1	1
462	действительно является	1	1
463	то и	1	1
464	чему не	1	1
465	она могла	1	1
466	зрения в	1	1
467	в свою	3	1
468	входит в	4	1
469	говоря только	1	1
470	можно лишь	1	1
471	также и	1	1
472	ту же	1	1
473	однако если	3	1
474	личности и	3	1
475	силе и	1	1
476	не по	1	1
477	быть не	1	1
478	не быть	1	1
479	ибо всякое	1	1
480	внутри себя	1	1
481	вступление в	1	1
482	а после	1	1
483	не всегда	2	1
484	относится не	1	1
485	с собственным	1	1
486	на чем	1	1
487	имеет в	1	1
488	и теперь	1	1
489	себя не	1	1
490	что касается	1	1
491	к такой	2	1
492	не могло	2	1
493	другим и	2	1
494	или иных	2	1
495	на его	1	1
496	не об	1	1
497	в различных	1	1
498	не могла	1	1
499	для данного	1	1
500	но только	2	1
501	также может	1	1
502	иметь в	1	1
503	перестанет быть	1	1
504	не следует	4	1
505	значительной степени	2	1
506	стороны и	1	1
507	от своего	2	1
508	из нас	1	1
509	по своей	7	1
510	человека с	3	1
511	этих случаях	1	1
512	свою очередь	2	1
513	следует признать	1	1
514	представляются в	1	1
515	людьми для	1	1
516	между несколькими	1	1
517	на свое	1	1
518	идет о	2	1
519	он еще	1	1
520	могла бы	2	1
521	с ее	6	1
522	с другой	9	1
523	как мы	1	1
524	в прошлом	1	1
525	известной степени	3	1
526	вытекающей из	1	1
527	из нее	1	1
528	эту ценность	1	1
529	к ним	1	1
530	же самое	1	1
531	такого взаимодействия	1	1
532	тот или	3	1
533	двух других	1	1
534	ее не	1	1
535	в сфере	1	1
536	если мы	2	1
537	та или	1	1
538	крайней мере	1	1
539	тот кто	2	1
540	индивидуальный характер	1	1
541	мог бы	3	1
542	каждый человек	1	1
543	его личности	1	1
544	могут быть	5	1
545	одного и	3	1
546	именно так	1	1
547	игру в	1	1
548	реальная возможность	1	1
549	до конца	1	1
550	основе его	1	1
551	к которому	4	1
552	это отношение	3	1
553	может оказаться	2	1
554	только при	1	1
555	т.д эта	1	1
556	означало бы	1	1
557	личности к	2	1
558	в новую	1	1
559	в каждый	1	1
560	с которым	1	1
561	в зависимости	1	1
562	теми же	1	1
563	самопознания и	1	1
564	столь же	2	1
565	бытия и	1	1
566	исходит из	1	1
567	культуры ибо	1	1
