N	3gram	Voloshinov	Analitik
1	в том что	9	25
2	не может быть	23	19
3	по отношению к	9	18
4	в то же	7	16
5	о том что	2	15
6	в отличие от	7	14
7	то же время	7	14
8	той или иной	5	14
9	к тому же	2	13
10	в конечном счете	1	11
11	того или иного	2	9
12	с другой стороны	6	9
13	в свою очередь	5	9
14	по крайней мере	1	9
15	подобно тому как	1	9
16	с одной стороны	2	9
17	с точки зрения	31	8
18	как и в	1	8
19	не только в	2	8
20	в этом отношении	4	8
21	в таком случае	5	7
22	во всяком случае	4	7
23	что иное как	1	7
24	тем не менее	3	6
25	по природе своей	1	6
26	одного и того	9	6
27	так или иначе	2	6
28	и того же	9	6
29	не что иное	1	6
30	в той или	3	5
31	не только не	1	5
32	но и в	3	5
33	в русской литературе	1	5
34	во времени и	1	5
35	в этом случае	3	5
36	в нашем случае	1	4
37	до известной степени	2	4
38	в самом деле	13	4
39	для того чтобы	7	4
40	не сводится к	1	4
41	в соответствии с	1	4
42	в равной степени	1	4
43	и не может	11	4
44	большей или меньшей	1	4
45	и не в	3	4
46	в этом смысле	2	4
47	с той или	1	4
48	в значительной степени	3	4
49	том что он	3	4
50	сама по себе	2	4
51	в основе своей	1	4
52	быть не может	1	3
53	и тот же	3	3
54	и как бы	1	3
55	одни и те	5	3
56	хотя бы и	1	3
57	в том числе	3	3
58	как бы не	1	3
59	сами по себе	1	3
60	бы то ни	11	3
61	всех без исключения	5	3
62	в первом случае	3	3
63	в зависимости от	2	3
64	а в том	1	3
65	то ни было	11	3
66	а не в	3	3
67	в связи с	12	3
68	то же самое	8	3
69	при этом как	1	3
70	и те же	5	3
71	и в самом	1	3
72	можно сказать что	4	3
73	и той же	2	3
74	может быть признано	1	3
75	в противном случае	2	3
76	дело в том	1	3
77	одной и той	2	3
78	не могут быть	3	3
79	в результате чего	1	3
80	тот или иной	2	3
81	выходит далеко за	1	2
82	в применении к	1	2
83	в коем случае	2	2
84	отнюдь не является	5	2
85	этого слова как	1	2
86	в данном контексте	3	2
87	и отличается от	1	2
88	и тогда когда	1	2
89	внутреннего и внешнего	4	2
90	с этой точки	1	2
91	более или менее	3	2
92	можно было бы	2	2
93	во втором случае	1	2
94	друг с другом	2	2
95	в широком смысле	2	2
96	до сих пор	10	2
97	смысле этого слова	6	2
98	ни в коем	2	2
99	в особенности же	1	2
100	текста но и	1	2
101	и прежде всего	4	2
102	тому или иному	1	2
103	и то же	3	2
104	как если бы	6	2
105	о чем речь	1	2
106	к тому что	4	2
107	же время они	1	2
108	а не только	1	2
109	могли бы быть	1	2
110	коем случае не	1	2
111	во многих отношениях	1	2
112	и в сущности	1	2
113	на то что	2	2
114	в частности как	1	2
115	в противоречие с	1	2
116	в данный момент	2	2
117	один и тот	3	2
118	здесь как и	1	2
119	этой точки зрения	1	2
120	какой бы то	3	2
121	место лишь в	1	2
122	есть в сущности	1	2
123	а между тем	1	2
124	до тех пор	2	2
125	не должен быть	1	2
126	на этот вопрос	3	2
127	не говоря уже	1	2
128	со всех сторон	2	2
129	в одной из	1	2
130	нашего времени не	1	2
131	одно и то	3	2
132	но в то	6	2
133	в отрыве от	1	2
134	но отнюдь не	1	2
135	в нашем понимании	1	2
136	в себе не	1	2
137	тем или иным	1	2
138	и его внешней	1	2
139	в переносном смысле	1	2
140	не есть вещь	2	2
141	говоря уже о	1	2
142	что же касается	1	2
143	прежде всего в	1	2
144	нет и не	2	2
145	внутренней и внешней	1	2
146	если бы он	3	2
147	из виду что	1	1
148	в целом ряде	1	1
149	тех пор пока	2	1
150	совпадая со своей	1	1
151	и он сам	1	1
152	как и во	1	1
153	в статье о	1	1
154	этого слова в	1	1
155	это далеко не	1	1
156	в действительности и	1	1
157	а не к	2	1
158	она получает в	1	1
159	в той же	1	1
160	было не так	1	1
161	который мог бы	1	1
162	к другому в	1	1
163	пор совершенно не	1	1
164	во всех этих	1	1
165	к сказанному и	1	1
166	не менее чем	1	1
167	к субъекту и	1	1
168	несмотря на то	1	1
169	единицы внутренней речи	1	1
170	имеется в виду	1	1
171	то или иное	1	1
172	лишь одной из	1	1
173	ничего не доказывает	1	1
174	та и другая	1	1
175	или иной форме	1	1
176	далеко за пределы	2	1
177	отношению к которым	1	1
178	точки зрения в	1	1
179	там и тогда	1	1
180	в гораздо более	1	1
181	ни к каким	1	1
182	в системе языка	3	1
183	они не могут	1	1
184	дело и в	1	1
185	по отношению ко	1	1
186	друг от друга	1	1
187	не совпадает с	1	1
188	тот же самый	1	1
189	высказывания как целого	2	1
190	но они не	1	1
191	в достаточной мере	1	1
192	и даже из	1	1
193	начало и конец	1	1
194	не рассчитан на	1	1
195	бы независимо от	1	1
196	продукт социального взаимодействия	1	1
197	в отношении к	7	1
198	в конце концов	3	1
199	функции и не	1	1
200	между собой и	1	1
201	там и здесь	1	1
202	но в результате	1	1
203	бы это было	1	1
204	может быть сведена	1	1
205	может быть осуществлено	1	1
206	может быть ничего	2	1
207	само по себе	2	1
208	именно здесь в	2	1
209	определяется не только	2	1
210	нет ничего что	2	1
211	по ту сторону	1	1
212	таким образом в	1	1
213	моего существования и	1	1
214	чем иным как	1	1
215	может быть как	1	1
216	и та и	1	1
217	и тем же	2	1
218	искусства и религии	1	1
219	может служить знаком	1	1
220	ни к какой	1	1
221	мы увидим далее	1	1
222	выходит за пределы	1	1
223	обращаясь к нему	1	1
224	каждом из них	1	1
225	не нуждается в	1	1
226	все же не	1	1
227	лицом к лицу	1	1
228	на самом же	5	1
229	субъективного сознания к	1	1
230	хотя бы с	1	1
231	или во всяком	1	1
232	и т.п все	1	1
233	с ними в	1	1
234	все без исключения	3	1
235	и в том	1	1
236	и т.п в	3	1
237	же самое что	1	1
238	внешней и внутренней	1	1
239	ничего не означает	1	1
240	в этом последнем	2	1
241	не только по	1	1
242	в данной сфере	1	1
243	части работы мы	1	1
244	собственном смысле слова	2	1
245	в науке о	3	1
246	и на тех	1	1
247	а как бы	1	1
248	в основном соответствует	1	1
249	но он не	1	1
250	является не только	4	1
251	так как если	2	1
252	языка и в	2	1
253	и должно быть	1	1
254	бы он и	1	1
255	идет об одном	1	1
256	к чему не	1	1
257	самом же деле	5	1
258	в большинстве случаев	7	1
259	в качестве фактора	1	1
260	но при этом	2	1
261	речь идет об	1	1
262	конечно далеко не	1	1
263	имеет место лишь	1	1
264	слова как и	2	1
265	выходят за пределы	3	1
266	таким образом с	1	1
267	оно ни было	4	1
268	акт воли и	1	1
269	бы он был	2	1
270	обстоит дело и	1	1
271	той же самой	1	1
272	ту или иную	1	1
273	во внутренней речи	2	1
274	в сущности это	1	1
275	быть сведена к	1	1
276	как автор своих	1	1
277	и так сказать	2	1
278	всего было бы	1	1
279	в слове как	1	1
280	в новейшее время	1	1
281	во всех своих	1	1
282	и та же	1	1
283	в большей или	1	1
284	свою очередь оказывает	1	1
285	части нашей работы	1	1
286	вопрос о том	2	1
287	то что они	1	1
288	свою очередь является	1	1
289	и в разных	1	1
290	равно как и	1	1
291	отношения между элементами	1	1
292	приводит к тому	1	1
293	таком случае это	2	1
294	на самом деле	5	1
295	к тому или	1	1
296	при этом она	1	1
297	но уже в	1	1
298	ни одна из	1	1
299	и здесь мы	3	1
300	одним и тем	2	1
301	мог бы стать	1	1
302	которого только и	1	1
303	всех этих случаях	1	1
304	это было не	1	1
305	что было бы	2	1
306	не ощущается как	1	1
307	в душевной жизни	1	1
308	как бы ни	1	1
309	в этом качестве	1	1
310	всего может быть	1	1
311	же слова часто	1	1
312	не менее в	1	1
313	в пределах одного	2	1
314	в первой части	1	1
315	в первую очередь	1	1
316	к этому же	1	1
317	же как и	2	1
318	в процессе его	2	1
319	в собственном смысле	2	1
320	жизни в ее	1	1
321	как мы увидим	2	1
322	так и в	2	1
323	одна и та	1	1
324	или хотя бы	2	1
325	ни к чему	1	1
326	другой стороны и	1	1
327	между прочим и	1	1
328	мы уже говорили	1	1
329	по аналогии с	1	1
330	бы оно ни	1	1
331	может быть достаточно	1	1
332	том числе и	3	1
333	оно может быть	1	1
334	приводит его к	1	1
335	все это делает	1	1
336	и там и	1	1
337	среда в которой	1	1
338	с установкой на	2	1
