N	2gram	Bakhtin_fo	UchenyiS
1	и в	84	14
2	не только	16	10
3	а не	7	10
4	и не	19	8
5	прежде всего	28	8
6	то что	13	7
7	в этом	41	7
8	не может	8	7
9	может быть	18	6
10	в искусстве	1	6
11	перестает быть	1	5
12	хотя бы	2	5
13	то же	18	5
14	и только	3	5
15	все это	10	5
16	с другой	4	4
17	в этой	3	4
18	конечно не	7	4
19	но и	14	4
20	в их	9	4
21	было бы	2	3
22	не о	2	3
23	и то	5	3
24	и формы	1	3
25	только к	3	3
26	истории литературы	1	3
27	как такового	1	3
28	и т.д	2	3
29	это не	8	3
30	как и	15	3
31	для него	5	3
32	формы в	1	3
33	в своей	2	3
34	все же	12	3
35	в области	1	3
36	в частности	11	3
37	в то	13	3
38	не как	2	3
39	у нас	2	3
40	другой стороны	1	3
41	не следует	1	3
42	но в	16	3
43	же время	13	3
44	и основного	1	2
45	все они	4	2
46	таким образом	14	2
47	в самом	9	2
48	если не	3	2
49	не приходится	1	2
50	могли бы	1	2
51	его и	2	2
52	если бы	6	2
53	самом деле	2	2
54	могут быть	7	2
55	не в	10	2
56	это было	2	2
57	бы и	1	2
58	для всех	3	2
59	и с	10	2
60	до сих	4	2
61	их и	3	2
62	же самое	2	2
63	одним из	1	2
64	но не	9	2
65	по существу	17	2
66	тем менее	1	2
67	мы и	4	2
68	тем что	4	2
69	в себе	7	2
70	в его	19	2
71	в конце	11	2
72	должна быть	1	2
73	мы не	4	2
74	для поэзии	1	2
75	сколько угодно	2	2
76	именно как	4	2
77	ничего не	9	2
78	всех этих	9	2
79	между тем	1	2
80	что он	2	2
81	на каждом	1	2
82	в широком	3	2
83	конце концов	1	2
84	этом отношении	5	2
85	о чем	4	2
86	как раз	13	2
87	в некоторых	4	2
88	не могут	4	2
89	а как	3	2
90	что мы	2	2
91	сводится к	1	2
92	в буквальном	2	2
93	в том	16	2
94	это уже	1	2
95	том что	7	2
96	и через	1	2
97	надо было	1	2
98	нас в	3	2
99	но это	1	2
100	и для	12	2
101	в системе	1	2
102	и является	2	2
103	что и	5	2
104	не столько	2	2
105	смысле этого	1	2
106	с его	10	2
107	и у	8	2
108	на первый	2	2
109	сих пор	4	2
110	только в	12	2
111	формы и	4	2
112	по себе	3	2
113	что все	4	2
114	но конечно	3	2
115	еще один	1	1
116	в той	5	1
117	литературы в	3	1
118	было и	4	1
119	что было	6	1
120	все в	3	1
121	что в	9	1
122	была уже	2	1
123	ряда и	1	1
124	не было	8	1
125	вне его	2	1
126	и даже	5	1
127	связанных с	3	1
128	первый план	2	1
129	этого и	1	1
130	и потому	4	1
131	столько же	1	1
132	буквальном смысле	2	1
133	но он	4	1
134	этом случае	1	1
135	или просто	1	1
136	в которой	3	1
137	имеем в	3	1
138	можно сказать	2	1
139	но идея	1	1
140	и дается	2	1
141	оформления материала	1	1
142	мы можем	2	1
143	у стерна	1	1
144	которой все	1	1
145	и единого	1	1
146	отлична от	1	1
147	в данном	4	1
148	целого но	2	1
149	все его	7	1
150	что ему	1	1
151	много в	2	1
152	при построении	1	1
153	больше чем	1	1
154	представляется чрезвычайно	1	1
155	быть по	1	1
156	нет и	4	1
157	как на	2	1
158	равно как	4	1
159	цельного и	1	1
160	вообще в	1	1
161	со своими	1	1
162	и все	10	1
163	что этот	1	1
164	весь и	1	1
165	в точном	3	1
166	из самых	3	1
167	состоит из	1	1
168	вы убедитесь	1	1
169	же как	2	1
170	к простому	1	1
171	но нам	1	1
172	сказать что	4	1
173	и эта	2	1
174	время на	1	1
175	в процессе	4	1
176	данном случае	2	1
177	речи в	2	1
178	его как	1	1
179	него не	1	1
180	но для	2	1
181	и строится	1	1
182	то есть	42	1
183	и всей	2	1
184	этот процесс	5	1
185	и др	13	1
186	в совокупности	1	1
187	не делает	1	1
188	и действительно	1	1
189	очень часто	1	1
190	переходит в	1	1
191	точном смысле	3	1
192	общего и	1	1
193	отсюда и	3	1
194	в таком	4	1
195	но прежде	1	1
196	тех кто	1	1
197	то и	1	1
198	для изучения	1	1
199	так много	1	1
200	которое мы	1	1
201	смысл того	1	1
202	и разнообразие	1	1
203	она не	2	1
204	степени и	1	1
205	в произведении	1	1
206	смысле и	1	1
207	в течение	2	1
208	до конца	5	1
209	является только	1	1
210	приобретает характер	1	1
211	в своем	8	1
212	тогда когда	2	1
213	с тем	5	1
214	в значительной	3	1
215	входит в	3	1
216	для себя	8	1
217	стороны в	1	1
218	его на	3	1
219	одной стороны	3	1
220	широком и	1	1
221	именно к	1	1
222	он становится	2	1
223	время не	2	1
224	мы имеем	2	1
225	не без	2	1
226	для читателя	1	1
227	какие мы	1	1
228	этой же	1	1
229	принципах построения	1	1
230	в отдельности	1	1
231	что по	1	1
232	не связанных	1	1
233	их в	6	1
234	же в	6	1
235	не для	3	1
236	он может	1	1
237	с самим	6	1
238	в ней	4	1
239	но по	2	1
240	или даже	1	1
241	частности с	2	1
242	но что	1	1
243	в порядке	4	1
244	в данное	1	1
245	на одно	1	1
246	даже не	2	1
247	и так	2	1
248	это для	1	1
249	и прежде	4	1
250	объясняется и	1	1
251	это значит	3	1
252	является целью	1	1
253	место и	3	1
254	и сплошь	1	1
255	а это	1	1
256	в этот	5	1
257	единства и	2	1
258	связанные с	5	1
259	значительной мере	2	1
260	не вполне	1	1
261	дан в	3	1
262	на то	1	1
263	он и	1	1
264	природе и	1	1
265	которой и	2	1
266	образ живого	1	1
267	строго говоря	2	1
268	это же	1	1
269	бы ни	1	1
270	не значит	1	1
271	только для	2	1
272	не входит	2	1
273	не столь	2	1
274	сюда же	2	1
275	в которых	4	1
276	к этому	5	1
277	так и	17	1
278	это то	2	1
279	из которых	1	1
280	где бы	1	1
281	друг с	5	1
282	момент является	1	1
283	ее в	2	1
284	отнюдь не	7	1
285	о которой	1	1
286	на значение	1	1
287	находящихся в	1	1
288	находятся в	1	1
289	в качестве	6	1
290	в нем	28	1
291	он не	6	1
292	быть тем	1	1
293	независимо от	1	1
294	все что	2	1
295	и слово	1	1
296	на его	1	1
297	и что	1	1
298	одно из	3	1
299	форма в	3	1
300	и единственно	1	1
301	и это	5	1
302	в различных	2	1
303	с одной	5	1
304	с другом	5	1
305	он был	2	1
306	и историческая	1	1
307	на своем	1	1
308	и литературного	1	1
309	за пределы	1	1
310	и делает	1	1
311	должно быть	6	1
312	об этом	3	1
313	не обладает	1	1
314	которых так	1	1
315	себя на	1	1
316	правда не	2	1
317	в виду	5	1
318	и искусства	1	1
319	широком смысле	3	1
320	к созданию	1	1
321	в пределах	8	1
322	тот же	4	1
323	искусство и	1	1
324	уже не	5	1
325	и вне	3	1
326	о том	4	1
327	слагается из	2	1
328	по его	1	1
329	далеко не	3	1
330	тем более	4	1
331	эта работа	1	1
332	формы как	1	1
333	того что	5	1
334	что еще	1	1
335	определяется не	2	1
336	у него	8	1
337	в словах	1	1
338	друг другу	4	1
339	жанра в	1	1
340	заключенных в	1	1
341	и бытовых	1	1
342	в котором	8	1
343	не существует	1	1
344	ряда но	1	1
345	бы в	1	1
346	ее к	2	1
347	в виде	1	1
348	существование в	1	1
349	той же	2	1
350	приводит к	1	1
351	никогда не	8	1
352	человека и	15	1
353	к построению	1	1
