N	2gram	Vygotskiy_	NovoeSre
1	а не	7	17
2	не может	23	16
3	и в	47	16
4	совсем не	2	12
5	и не	27	11
6	и есть	4	10
7	что в	23	9
8	в том	38	8
9	как не	1	8
10	он не	5	8
11	в этом	47	7
12	может быть	20	7
13	в новой	4	7
14	это есть	6	7
15	как и	19	7
16	общественной жизни	1	6
17	ни в	3	6
18	не знает	3	6
19	не в	7	6
20	лишь в	3	6
21	высшей степени	1	6
22	с его	1	6
23	но это	4	6
24	в высшей	3	6
25	никогда не	7	6
26	и к	11	5
27	не только	36	5
28	в ней	5	5
29	все это	5	5
30	в нем	6	5
31	с ее	2	5
32	должен быть	1	5
33	культуры в	1	5
34	перестает быть	1	4
35	и потому	3	4
36	и мы	1	4
37	по своему	11	4
38	быть может	1	4
39	должно быть	3	4
40	потому что	26	4
41	это не	6	4
42	прежде всего	9	4
43	в них	3	4
44	то что	40	4
45	не было	1	4
46	и все	5	4
47	не менее	6	4
48	не имеет	6	4
49	значит что	1	4
50	и для	5	4
51	о том	5	4
52	во всех	9	3
53	возвращение к	1	3
54	вопрос о	9	3
55	не означает	4	3
56	в наше	1	3
57	и пр	1	3
58	она не	7	3
59	тому как	2	3
60	в ее	7	3
61	смысле слова	1	3
62	что такое	2	3
63	в прошлом	1	3
64	за пределы	2	3
65	конечно не	2	3
66	подобно тому	2	3
67	в истории	1	3
68	не существует	1	3
69	с другой	7	3
70	в основе	5	3
71	к ним	1	3
72	сказать что	18	3
73	наряду с	2	3
74	с тем	8	3
75	перейти от	1	3
76	не есть	4	3
77	в своей	4	3
78	как в	7	3
79	перейти к	6	3
80	но и	19	3
81	это было	2	3
82	к ее	1	3
83	начало нового	1	3
84	к тому	13	3
85	еще не	5	3
86	от всякого	1	2
87	с этим	5	2
88	все они	1	2
89	и большая	1	2
90	и от	6	2
91	будет с	1	2
92	еще до	1	2
93	и весь	3	2
94	это и	7	2
95	ни к	1	2
96	в центре	2	2
97	и что	14	2
98	не могли	5	2
99	движение от	7	2
100	переходе от	8	2
101	что она	8	2
102	ли это	1	2
103	борьба и	1	2
104	зависит от	3	2
105	и заключается	3	2
106	с одной	7	2
107	мы не	10	2
108	того чтобы	26	2
109	вот почему	3	2
110	заключается что	1	2
111	хотя и	4	2
112	переход к	4	2
113	природе и	2	2
114	так и	8	2
115	как это	7	2
116	но она	1	2
117	думать что	1	2
118	одной стороны	7	2
119	не могла	2	2
120	можно было	7	2
121	и должно	1	2
122	другой стороны	3	2
123	времени и	1	2
124	из ее	3	2
125	с их	2	2
126	этом смысле	2	2
127	том и	3	2
128	у него	2	2
129	место в	1	2
130	к самой	1	2
131	а в	3	2
132	в будущем	1	2
133	все время	3	2
134	когда мы	2	2
135	и даже	3	2
136	и с	5	2
137	мы говорим	2	2
138	связана с	4	2
139	по существу	2	2
140	для этого	4	2
141	нет и	4	2
142	могут быть	7	2
143	в себе	14	2
144	том чтобы	1	2
145	и на	4	2
146	быть в	1	2
147	уже не	1	2
148	я не	3	2
149	что все	6	2
150	время как	7	2
151	все эти	7	2
152	есть в	5	2
153	же как	14	2
154	такой же	4	2
155	вместе с	19	2
156	но я	1	2
157	который в	1	2
158	одна из	2	2
159	в употреблении	1	2
160	как будто	1	2
161	но не	13	2
162	в то	10	2
163	должно было	2	2
164	в новом	2	2
165	том что	28	2
166	так же	26	2
167	и это	2	2
168	в смысле	9	2
169	но для	2	2
170	в одну	2	2
171	но в	9	2
172	мысли в	12	2
173	мысли и	13	2
174	может уже	1	2
175	формы и	1	2
176	обращение к	1	2
177	не к	1	2
178	к более	3	2
179	в той	7	1
180	вопрос об	1	1
181	к внутренней	7	1
182	в самом	15	1
183	ближе к	2	1
184	во всем	4	1
185	к одному	1	1
186	уже во	1	1
187	они являются	1	1
188	ее на	1	1
189	и того	3	1
190	неизбежно должна	1	1
191	от нее	3	1
192	что совершается	1	1
193	и каждой	1	1
194	до этого	1	1
195	во внешних	1	1
196	привело к	3	1
197	можно сказать	9	1
198	и мысли	1	1
199	все что	7	1
200	человека в	1	1
201	возникают не	1	1
202	начинается в	3	1
203	но оно	1	1
204	для всех	2	1
205	в более	1	1
206	себе если	1	1
207	до сих	6	1
208	же процесса	1	1
209	а к	1	1
210	как ни	1	1
211	и более	2	1
212	бы он	1	1
213	и этот	1	1
214	в котором	6	1
215	внутреннего единства	1	1
216	по природе	2	1
217	значение в	3	1
218	и всех	1	1
219	ее он	1	1
220	ничем не	1	1
221	что этот	6	1
222	отличие от	4	1
223	по всем	1	1
224	приблизиться к	1	1
225	рода и	2	1
226	все ее	1	1
227	главной задачей	1	1
228	отнести к	1	1
229	нельзя сказать	2	1
230	они не	2	1
231	из них	2	1
232	к ней	2	1
233	она должна	2	1
234	она с	1	1
235	также что	1	1
236	о человеке	2	1
237	времени совершенно	1	1
238	высшего и	2	1
239	мы уже	5	1
240	нас и	2	1
241	жизни а	1	1
242	своей природе	8	1
243	этого она	1	1
244	в высшем	2	1
245	уже в	3	1
246	и природа	1	1
247	мы особенно	1	1
248	эти слова	1	1
249	на ее	2	1
250	в свою	3	1
251	в значительной	3	1
252	есть прежде	1	1
253	в состоянии	4	1
254	для себя	24	1
255	из этих	6	1
256	во всяком	2	1
257	том числе	2	1
258	процесс в	2	1
259	не хочу	1	1
260	не должно	1	1
261	своему строению	7	1
262	одну из	2	1
263	но также	3	1
264	для того	24	1
265	в глубину	1	1
266	в каких	1	1
267	он часто	1	1
268	не по	7	1
269	мы всегда	3	1
270	быть не	1	1
271	процессы которые	1	1
272	не для	2	1
273	моментом в	1	1
274	предметного содержания	1	1
275	же мере	5	1
276	имеет более	1	1
277	и небытия	1	1
278	своем развитии	1	1
279	это значит	1	1
280	а это	2	1
281	в этот	3	1
282	движение мысли	2	1
283	он и	1	1
284	должны перейти	1	1
285	было бы	12	1
286	мы должны	7	1
287	и из	2	1
288	в сущности	16	1
289	в недрах	1	1
290	который есть	1	1
291	формальной логики	2	1
292	в его	7	1
293	это показывает	1	1
294	значительной степени	1	1
295	переходит от	2	1
296	мы в	3	1
297	но ведь	1	1
298	значение для	2	1
299	должны быть	5	1
300	могли не	1	1
301	и через	1	1
302	и их	7	1
303	иллюзией и	1	1
304	говорить о	1	1
305	не с	3	1
306	бытия и	1	1
307	не были	1	1
308	есть и	1	1
309	может остаться	2	1
310	этот переход	1	1
311	совершенно невозможно	1	1
312	у нас	3	1
313	не достигается	1	1
314	время когда	1	1
315	для них	1	1
316	к ночи	1	1
317	совершенно так	1	1
318	освобождение от	2	1
319	никогда еще	1	1
320	с другими	5	1
321	и целиком	1	1
322	было то	1	1
323	говорит что	3	1
324	они будут	2	1
325	не через	1	1
326	вопроса о	2	1
327	ни одно	1	1
328	в виду	5	1
329	еще в	3	1
330	и до	3	1
331	к общности	1	1
332	с собой	3	1
333	оказывается совершенно	1	1
334	привела к	1	1
335	только в	24	1
336	движения в	3	1
337	не могут	9	1
338	по своей	12	1
339	все понятия	2	1
340	от того	6	1
341	в нее	1	1
342	от других	1	1
343	чего он	1	1
344	разными путями	1	1
345	она становится	1	1
346	и означает	1	1
347	в зависимости	6	1
348	в большинстве	2	1
349	а во	1	1
350	оно не	3	1
351	потребность в	1	1
352	мышления не	3	1
353	как например	1	1
354	о природе	9	1
355	особого рода	1	1
356	это должно	1	1
357	но он	3	1
358	нашей мысли	3	1
359	значение и	2	1
360	в которой	16	1
361	заключает в	2	1
362	в этой	7	1
363	этого не	1	1
364	числе и	2	1
365	к чему	1	1
366	во взаимной	1	1
367	а по	4	1
368	и еще	1	1
369	что его	2	1
370	новая же	1	1
371	как на	8	1
372	установить что	4	1
373	в отличие	4	1
374	про себя	2	1
375	он в	1	1
376	него и	1	1
377	формальной и	1	1
378	на путь	1	1
379	оно есть	5	1
380	переход от	5	1
381	сам собой	1	1
382	с окончанием	1	1
383	себя а	1	1
384	из всех	5	1
385	этого нельзя	1	1
386	менее всего	3	1
387	что не	2	1
388	но все	2	1
389	привел к	1	1
390	легче чем	1	1
391	во внешней	4	1
392	тем что	14	1
393	отмирают и	1	1
394	и во	5	1
395	к этой	2	1
396	быть понят	2	1
397	то время	8	1
398	это привело	2	1
399	возможны только	4	1
400	с большим	2	1
401	истории но	1	1
402	в конце	5	1
403	вообще не	6	1
404	в основу	1	1
405	слишком большой	1	1
406	так много	1	1
407	так как	25	1
408	к которому	3	1
409	в своем	3	1
410	их место	1	1
411	я могу	2	1
412	эту мысль	3	1
413	нас к	10	1
414	сих пор	6	1
415	что он	13	1
416	бы сказать	4	1
417	известном смысле	2	1
418	самая постановка	1	1
419	и она	2	1
420	показал что	2	1
421	их в	2	1
422	в силу	21	1
423	и очень	1	1
424	он может	1	1
425	большинстве случаев	2	1
426	всей нашей	1	1
427	труда для	1	1
428	которые могут	1	1
429	не та	1	1
430	перестать быть	2	1
431	что мы	14	1
432	и вместе	2	1
433	и которые	3	1
434	человека на	1	1
435	два пути	1	1
436	в этих	2	1
437	в период	2	1
438	есть такой	2	1
439	для решения	2	1
440	том смысле	2	1
441	но если	5	1
442	я давно	1	1
443	по себе	5	1
444	приводит к	10	1
445	только для	1	1
446	оно может	2	1
447	на место	1	1
448	в области	5	1
449	делается в	3	1
450	того и	2	1
451	внутри которого	1	1
452	к новой	2	1
453	в такой	6	1
454	все более	2	1
455	нуждается в	5	1
456	с ним	5	1
457	для другого	1	1
458	мыслей и	2	1
459	и только	7	1
460	есть только	3	1
461	себя все	1	1
462	к той	1	1
463	всяком случае	1	1
464	это скорее	1	1
465	обречен на	1	1
466	речи о	4	1
467	и оно	1	1
468	зависимости от	6	1
469	во время	2	1
470	она могла	1	1
471	друг друга	9	1
472	идей и	1	1
473	только потому	3	1
474	в эти	1	1
475	будет в	2	1
476	связанный с	1	1
477	в это	1	1
478	того же	7	1
479	в известном	2	1
480	в каком-то	1	1
481	в чем	5	1
482	положительное значение	1	1
483	в каком	2	1
484	формах и	1	1
485	ничего нет	1	1
486	не был	1	1
487	движения и	1	1
488	в какие	1	1
489	если взять	1	1
490	что будущее	1	1
491	и его	14	1
492	и особенно	2	1
493	этих союзов	1	1
494	более элементарным	1	1
495	слова в	7	1
496	и у	1	1
497	одного и	3	1
498	на это	1	1
499	но до	1	1
500	прогресса в	1	1
501	но сама	1	1
502	не удалось	1	1
503	скрывается в	1	1
504	себе и	2	1
505	за его	1	1
506	проходит через	1	1
507	огромную роль	1	1
508	раньше чем	2	1
509	человека не	1	1
510	говорят об	1	1
511	гораздо больше	3	1
512	лишь по	1	1
513	совершается в	5	1
514	связано с	4	1
515	от этого	3	1
516	обратиться к	1	1
517	этой системы	1	1
518	себя и	2	1
519	человека может	2	1
520	к нему	5	1
521	становится в	1	1
522	чтобы понять	1	1
523	на них	1	1
