N	3gram	Bakhtin_sl	Tvorches
1	в романах достоевского	1	29
2	в то же	15	25
3	то же время	15	24
4	и т д	7	17
5	в том что	4	11
6	о том что	2	8
7	и в то	6	7
8	не может быть	11	6
9	но в то	6	6
10	и т п	49	5
11	в его романах	2	5
12	по отношению к	2	5
13	до сих пор	4	4
14	по крайней мере	1	4
15	с точки зрения	11	4
16	дело в том	1	4
17	с самого начала	1	4
18	сами по себе	1	3
19	том что в	1	3
20	в отличие от	12	3
21	во всяком случае	7	3
22	как и в	2	3
23	с другой стороны	5	3
24	хотя и не	1	3
25	и не может	2	3
26	что он не	1	2
27	ивана карамазова и	1	2
28	человеку как к	1	2
29	у него есть	1	2
30	это не значит	2	2
31	он еще не	1	2
32	в данном случае	3	2
33	в в виноградов	1	2
34	и в другом	2	2
35	влечет за собой	1	2
36	для того чтобы	1	2
37	в том числе	1	2
38	тем не менее	2	2
39	то есть не	2	2
40	так и в	5	2
41	том числе и	1	2
42	не могут быть	3	2
43	в известном смысле	2	2
44	но это не	1	2
45	в связи с	2	2
46	в одном из	1	2
47	в свою очередь	3	2
48	но прежде всего	1	2
49	человека и его	2	2
50	же время он	1	2
51	можно сказать что	1	2
52	роман xix века	1	2
53	не только в	3	2
54	как бы ни	2	2
55	как и у	1	2
56	мы уже говорили	1	2
57	на протяжении всего	1	2
58	на этой почве	1	1
59	человек может не	1	1
60	при этом с	1	1
61	в романе в	6	1
62	в создании образа	1	1
63	романа заключается в	1	1
64	и даже не	1	1
65	по себе а	1	1
66	здесь лишь на	1	1
67	мы все время	1	1
68	во всей ее	1	1
69	в применении к	1	1
70	и наконец в	2	1
71	между настоящим и	1	1
72	лишь одна из	1	1
73	то или иное	1	1
74	мы говорим о	1	1
75	и даже как	1	1
76	в первый раз	1	1
77	хотя бы и	5	1
78	необходимо отметить что	2	1
79	стерна и жан-поля	1	1
80	всего произведения в	1	1
81	и вследствие этого	1	1
82	так что они	1	1
83	в частности в	1	1
84	героя в романе	1	1
85	как бы не	1	1
86	автора или рассказчика	1	1
87	настоящим и прошлым	1	1
88	идет уже не	1	1
89	начале xx века	1	1
90	собой в его	1	1
91	именно потому что	1	1
92	в творческом сознании	1	1
93	и способы его	1	1
94	а между тем	2	1
95	в нем самом	1	1
96	в один ряд	1	1
97	язык и стиль	1	1
98	и прежде всего	1	1
99	в чем не	1	1
100	все же и	1	1
101	целом ряде случаев	1	1
102	а затем и	1	1
103	и как мы	1	1
104	не лежит в	1	1
105	языка и стиля	1	1
106	этой проблемы в	1	1
107	то ни было	1	1
108	нужно сказать что	1	1
109	в основном путем	1	1
110	к тому что	2	1
111	при этом на	1	1
112	в романе мы	1	1
113	не может не	5	1
114	в стороне от	1	1
115	на самом же	1	1
116	не только на	2	1
117	бы то ни	1	1
118	или во всяком	2	1
119	и в том	2	1
120	он живет и	1	1
121	и в этом	2	1
122	может и не	1	1
123	у ивана карамазова	1	1
124	в том и	2	1
125	неразрывно связано с	1	1
126	а как бы	1	1
127	того или иного	2	1
128	и в романе	2	1
129	из вильгельма мейстера	1	1
130	той или иной	13	1
131	в основе этой	1	1
132	отношение автора к	1	1
133	равно как и	1	1
134	о нем и	3	1
135	и особенно в	1	1
136	самом же деле	1	1
137	новый свет на	1	1
138	на мир и	1	1
139	но и в	2	1
140	в чем же	1	1
141	со всеми его	1	1
142	в мировой литературе	2	1
143	имеем в виду	1	1
144	но в нем	1	1
145	гоголя и достоевского	1	1
146	в своей книге	1	1
147	в целом ряде	1	1
148	все более и	1	1
149	и не в	1	1
150	из них он	1	1
151	которые играют в	1	1
152	как один из	1	1
153	с одной стороны	7	1
154	и не было	1	1
155	не был бы	1	1
156	не с точки	1	1
157	да и в	1	1
158	в то время	2	1
159	более и более	1	1
160	еще более резко	1	1
161	мир и на	1	1
162	таким образом в	4	1
163	но все это	1	1
164	со всех сторон	1	1
165	как бы две	1	1
166	в идеологической сфере	1	1
167	в его понимании	1	1
168	между прочим в	1	1
169	в роман и	3	1
170	далеко не все	1	1
171	в отношении к	9	1
172	но и на	1	1
173	можно было бы	2	1
174	с установкой на	4	1
175	мы имеем в	1	1
176	в начале xx	1	1
177	то есть его	1	1
178	в этом случае	4	1
179	еще далеко не	1	1
180	лишь там где	1	1
181	со своим собственным	1	1
182	в этом его	1	1
183	между автором и	2	1
184	в романе не	2	1
185	по преимуществу в	1	1
186	что в романе	1	1
187	и в истории	1	1
188	и до конца	1	1
189	в нем и	1	1
190	человек и его	12	1
191	и нет ничего	1	1
192	до конца и	3	1
193	ни в чем	1	1
194	мы не можем	1	1
