N	2gram	Propp_Russ	StatiiOP
1	в и	19	145
2	и в	59	103
3	в том	33	89
4	том что	33	77
5	в этом	18	76
6	что в	35	74
7	не только	28	60
8	и т	13	51
9	о том	14	47
10	но и	20	46
11	то что	10	44
12	что он	2	42
13	в его	3	42
14	и не	6	41
15	может быть	14	38
16	т е	41	33
17	было бы	3	32
18	т д	12	32
19	в этой	4	31
20	тем что	7	29
21	все это	12	29
22	таким образом	10	28
23	в г	6	28
24	а в	16	27
25	а не	3	27
26	но в	5	26
27	что это	4	25
28	так и	8	25
29	этом отношении	1	24
30	и его	2	24
31	все же	7	23
32	точки зрения	3	23
33	не в	2	23
34	так что	4	23
35	потому что	15	23
36	для того	6	22
37	в которой	3	22
38	как в	10	22
39	того что	6	22
40	прежде всего	2	22
41	у нас	11	22
42	в области	3	22
43	и пр	4	21
44	того чтобы	6	21
45	это не	14	20
46	в своей	1	19
47	г в	5	19
48	т п	1	19
49	в то	3	19
50	только в	4	19
51	в котором	2	18
52	с другой	1	18
53	он не	1	18
54	об этом	11	18
55	не может	6	18
56	в году	5	17
57	как на	2	17
58	между прочим	2	17
59	в русской	1	17
60	самом деле	1	17
61	в россии	4	17
62	как бы	18	17
63	в данном	7	17
64	в этих	3	16
65	с этим	4	16
66	сказать что	1	16
67	можно было	3	16
68	если бы	1	16
69	в ней	3	16
70	с тем	14	15
71	как и	19	15
72	по поводу	1	15
73	из этих	6	15
74	у него	2	15
75	и на	14	15
76	например в	3	15
77	как раз	1	15
78	для него	1	15
79	также и	1	15
80	то же	6	14
81	но все	3	14
82	так например	7	14
83	к тому	4	14
84	с точки	3	14
85	между тем	9	14
86	и что	8	14
87	в течение	7	14
88	в той	1	13
89	именно в	3	13
90	во всяком	1	13
91	в своем	3	13
92	из них	12	13
93	в качестве	5	13
94	а с	6	13
95	в конце	1	13
96	в нем	3	13
97	вместе с	16	13
98	всяком случае	1	13
99	но это	5	13
100	дело в	1	13
101	что касается	1	13
102	жизни и	1	13
103	тому что	4	13
104	в своих	3	12
105	не менее	3	12
106	что у	3	12
107	в первой	1	12
108	ни в	1	12
109	как например	6	12
110	так как	25	12
111	что они	8	12
112	в тексте	1	12
113	того времени	1	12
114	в них	10	11
115	в другом	1	11
116	должна была	6	11
117	никогда не	1	11
118	не было	3	11
119	и с	12	11
120	и по	10	11
121	своего рода	3	11
122	того как	6	11
123	вопрос о	4	11
124	все эти	5	11
125	на то	2	11
126	кроме того	3	10
127	не столько	3	10
128	в виду	3	10
129	связь с	1	10
130	так же	7	10
131	в целом	2	10
132	что и	8	10
133	это слово	1	10
134	но он	3	10
135	во всех	6	10
136	а как	1	10
137	в истории	1	10
138	ничего не	4	10
139	ответ на	2	10
140	на самом	3	10
141	но не	7	10
142	во второй	1	10
143	в частности	2	10
144	в начале	1	10
145	и к	3	9
146	с этой	2	9
147	говорит о	3	9
148	можно сказать	1	9
149	он был	2	9
150	в одном	4	9
151	внимание на	1	9
152	несмотря на	4	9
153	и это	2	9
154	в чем	1	9
155	в каждом	2	9
156	и тем	1	9
157	что эта	1	9
158	во время	23	9
159	вряд ли	2	9
160	не является	2	9
161	и для	3	9
162	для нас	12	9
163	что мы	1	9
164	там где	3	9
165	по этому	4	9
166	место в	2	9
167	и даже	1	8
168	связано с	3	8
169	по его	2	8
170	к которому	1	8
171	что она	4	8
172	к этому	7	8
173	связи с	6	8
174	одним из	2	8
175	и др	4	8
176	могут быть	3	8
177	в общем	1	8
178	к сожалению	1	8
179	должен был	3	8
180	в которых	8	8
181	не имеет	9	8
182	тем не	3	8
183	и более	3	8
184	мы имеем	7	8
185	до конца	5	8
186	в их	5	8
187	а также	6	8
188	в какой	3	8
189	дело не	2	8
190	п в	25	8
191	отношение к	1	8
192	и о	4	8
193	такой же	3	8
194	это в	1	8
195	с которыми	1	7
196	и очень	1	7
197	о чем	7	7
198	года в	2	7
199	представление о	5	7
200	в это	4	7
201	а а	33	7
202	точка зрения	1	7
203	не просто	3	7
204	того же	1	7
205	на почве	1	7
206	что все	2	7
207	в эту	3	7
208	как это	11	7
209	что для	4	7
210	из этого	1	7
211	раньше чем	2	7
212	во втором	1	7
213	и то	2	7
214	xix в	16	7
215	то время	3	7
216	можно назвать	1	7
217	еще не	7	7
218	еще и	1	7
219	что здесь	4	7
220	на этот	3	7
221	нас нет	1	7
222	данном случае	8	7
223	уже в	2	7
224	в виде	10	7
225	что этот	4	7
226	тем более	1	7
227	не все	4	7
228	этому поводу	3	7
229	отношению к	1	7
230	вплоть до	4	7
231	же и	1	6
232	в некоторых	11	6
233	одно из	6	6
234	вот что	1	6
235	и сам	1	6
236	в жизни	2	6
237	говорить о	2	6
238	несколько примеров	1	6
239	по отношению	1	6
240	в отдельных	1	6
241	к нему	3	6
242	время как	1	6
243	же как	5	6
244	одном из	1	6
245	должно было	5	6
246	этот вопрос	4	6
247	его как	2	6
248	в себе	1	6
249	в особенности	3	6
250	и здесь	3	6
251	из которых	2	6
252	и все	4	6
253	в в	3	6
254	в значении	1	6
255	обратить внимание	1	6
256	тем же	1	6
257	и во	2	6
258	что я	1	6
259	с его	1	6
260	что с	2	6
261	мы не	11	6
262	и за	2	6
263	независимо от	3	6
264	по существу	7	6
265	должен быть	2	6
266	в одной	1	6
267	и вообще	1	6
268	еще до	2	6
269	что на	5	6
270	нас не	3	5
271	при этом	11	5
272	не как	1	5
273	далее в	2	5
274	по пути	1	5
275	в духе	1	5
276	целый ряд	1	5
277	в числе	2	5
278	на эту	1	5
279	уже не	9	5
280	то это	1	5
281	и такие	1	5
282	одной стороны	1	5
283	во многих	14	5
284	но они	4	5
285	себе целью	1	5
286	до того	3	5
287	без всякого	1	5
288	том чтобы	3	5
289	что именно	3	5
290	что эти	2	5
291	после того	3	5
292	с одной	1	5
293	хотя и	3	5
294	его в	9	5
295	не была	1	5
296	не о	1	5
297	на себя	4	5
298	что не	1	5
299	даже не	1	5
300	в двух	2	5
301	не был	3	5
302	если не	1	5
303	не приходится	1	5
304	в тех	5	5
305	в москве	4	5
306	возможно что	2	5
307	всех этих	2	5
308	не так	1	5
309	один из	10	5
310	по форме	1	5
311	и который	1	5
312	должна быть	1	5
313	для себя	1	5
314	не на	2	5
315	оно не	2	5
316	что ему	2	5
317	судить по	2	5
318	большое значение	1	5
319	не знали	2	5
320	ни с	1	5
321	думать что	3	5
322	в очень	1	5
323	не могло	1	5
324	не потому	1	5
325	нет и	1	5
326	не совсем	6	5
327	том же	6	5
328	ее в	7	5
