N	2gram	Medvedev_I	Myshleni
1	в этом	2	167
2	и в	1	162
3	что в	2	119
4	того что	1	109
5	того чтобы	1	91
6	для того	1	78
7	и не	2	78
8	в целом	1	74
9	в основе	1	58
10	тем что	1	48
11	понятий и	1	47
12	если бы	1	46
13	по отношению	1	45
14	с другой	1	45
15	отношению к	1	42
16	никогда не	1	39
17	так и	1	39
18	все эти	1	36
19	того же	1	35
20	он не	2	35
21	только что	1	27
22	другой стороны	1	27
23	и с	3	27
24	для него	1	26
25	все это	1	25
26	бы в	1	23
27	а в	1	20
28	по существу	1	20
29	а с	1	19
30	для других	1	19
31	я не	1	17
32	то и	1	17
33	по поводу	1	16
34	в них	1	15
35	что при	1	15
36	от этого	1	15
37	со всеми	1	15
38	ничего не	2	15
39	очевидно что	1	14
40	что для	1	14
41	первую очередь	1	14
42	в первую	1	14
43	и тот	1	13
44	на котором	1	11
45	бы что	2	10
46	а по	1	9
47	только для	1	9
48	как только	1	9
49	говорить о	1	9
50	должен быть	2	9
51	в эту	1	8
52	от нее	1	8
53	и др	1	8
54	нисколько не	1	8
55	и сам	1	7
56	в значительной	1	7
57	следующим образом	1	7
58	а также	1	7
59	не остается	1	6
60	могло бы	1	6
61	тех же	1	6
62	это было	1	6
63	и о	1	6
64	своего исследования	1	5
65	не дает	1	5
66	утверждает что	1	5
67	самого себя	2	5
68	бы все	1	5
69	есть только	1	5
70	себя в	1	5
71	видит в	1	5
72	без этого	1	5
73	и та	1	4
74	комплекс не	1	4
75	и со	1	4
76	с любым	1	4
77	нам в	1	4
78	как о	1	4
79	доказательство того	1	4
80	жизни и	1	4
81	факты и	1	3
82	и еще	1	3
83	а для	1	3
84	не так	1	3
85	же это	1	3
86	он с	1	3
87	доказать что	1	3
88	значительной мере	1	3
89	точно и	1	3
90	и ничего	1	3
91	к нам	1	3
92	и без	1	3
93	стало быть	1	3
94	но когда	1	2
95	при такой	1	2
96	более чем	1	2
97	его личности	1	2
98	вплоть до	1	2
99	и очень	1	2
100	так то	1	2
101	оказывается для	1	2
102	в руки	1	2
103	когда его	1	2
104	следовательно в	1	2
105	а если	1	2
106	автора и	1	2
107	гипотеза и	1	2
108	стороны он	1	2
109	нее и	1	2
110	цель и	1	2
111	знать и	1	1
112	весь очерк	1	1
113	та и	1	1
114	и чрезвычайно	1	1
115	этом человеке	1	1
116	этим и	1	1
117	и дети	1	1
118	стр и	7	1
119	них не	1	1
120	не случайно	1	1
121	дает и	1	1
122	и многое	1	1
123	с а	1	1
124	всего творчества	1	1
125	не утверждал	2	1
126	др он	1	1
127	еще одной	1	1
128	введение в	1	1
129	было не	1	1
130	ибо и	1	1
131	причина того	1	1
132	о ней	1	1
133	комплекс в	1	1
134	бы его	1	1
135	то она	1	1
136	животных у	1	1
137	она ничего	1	1
