N	4gram	Medvedev_V	Formalny
1	исследованием внутренних законов его	1	1
2	политикой трестов а только	1	1
3	законам связанным с физиологией	1	1
4	одно и то же	1	1
5	словесным законам связанным с	1	1
6	если провести заводскую параллель	1	1
7	с физиологией речи и	1	1
8	связанным с физиологией речи	1	1
9	слово вещь и изменяется	1	1
10	заводскую параллель то я	1	1
11	я интересуюсь не положением	1	1
12	только номерами пряжи и	1	1
13	и способами ее ткать	1	1
14	дело в том что	1	1
15	провести заводскую параллель то	1	1
16	литературы исследованием внутренних законов	1	1
17	язык находится под влиянием	1	1
18	не политикой трестов а	1	1
19	законов его языка если	1	1
20	трестов а только номерами	1	1
21	внутренних законов его языка	1	1
22	его языка если провести	1	1
23	что язык находится под	1	1
24	под влиянием социальных отношений	1	1
25	параллель то я интересуюсь	1	1
26	вещь и изменяется слово	1	1
27	номерами пряжи и способами	1	1
28	по своим словесным законам	1	1
29	своим словесным законам связанным	1	1
30	пряжи и способами ее	1	1
31	теории литературы исследованием внутренних	1	1
32	я занимаюсь в теории	1	1
33	и изменяется слово по	1	1
34	слово по своим словесным	1	1
35	в теории литературы исследованием	1	1
36	а только номерами пряжи	1	1
37	занимаюсь в теории литературы	1	1
38	находится под влиянием социальных	1	1
39	изменяется слово по своим	1	1
40	то я интересуюсь не	1	1
41	интересуюсь не положением мирового	1	1
42	рынка не политикой трестов	1	1
43	языка если провести заводскую	1	1
44	в значительной степени уже	1	1
