N	3gram	Savitsky_E	VerxiiNi
1	с одной стороны	8	7
2	с точки зрения	16	6
3	во всяком случае	3	6
4	друг с другом	3	5
5	для того чтобы	5	5
6	в том числе	1	5
7	более или менее	1	5
8	том числе и	1	4
9	к тому же	1	4
10	в том что	6	3
11	так же как	5	3
12	в связи с	1	3
13	с течением времени	2	3
14	и для того	1	2
15	той или иной	4	2
16	в значительной мере	1	2
17	на то что	2	2
18	то или иное	1	2
19	то ни было	4	2
20	этой точки зрения	5	2
21	заключает в себе	3	2
22	по сравнению с	2	2
23	можно сказать что	3	2
24	бы то ни	4	2
25	в этом отношении	3	2
26	то же время	14	2
27	в то же	15	2
28	с этой точки	5	2
29	но и для	1	2
30	и в этом	4	2
31	как бы то	1	2
32	может быть и	1	2
33	мы видели что	1	1
34	тем с точки	1	1
35	так и в	2	1
36	нельзя сказать чтобы	1	1
37	народов земного шара	2	1
38	в силу этого	1	1
39	в этот период	1	1
40	именно потому что	1	1
41	хотя бы с	1	1
42	сказать что в	2	1
43	есть ли это	1	1
44	в свою очередь	2	1
45	и тот же	1	1
46	что в течение	1	1
47	по своему характеру	2	1
48	чуть ли не	1	1
49	на одну доску	1	1
50	смысле этого слова	1	1
51	и связанного с	1	1
52	но если в	1	1
53	русской жизни и	1	1
54	но в то	2	1
55	речь идет о	1	1
56	являются не только	1	1
57	в соответствии с	1	1
58	и только в	2	1
59	не может быть	2	1
60	и далее в	1	1
61	поскольку они являются	1	1
62	и в то	8	1
63	в данном случае	2	1
64	что в таком	1	1
65	в отличие от	1	1
66	в процессе исторической	1	1
67	до настоящего времени	1	1
68	в себе не	1	1
69	в эту эпоху	1	1
70	которые по своему	1	1
71	что в этом	1	1
72	и того же	1	1
73	процессе исторической эволюции	1	1
74	один и тот	1	1
75	не более как	1	1
76	не может не	1	1
77	с тем что	1	1
78	что начиная с	1	1
79	в смысле завершения	1	1
80	весьма вероятно что	1	1
81	на этот раз	1	1
82	в одном из	2	1
83	в этом процессе	1	1
84	что мы знаем	1	1
85	с другой стороны	2	1
86	поворот к востоку	1	1
87	несмотря на его	1	1
88	что в области	1	1
89	в отношении их	1	1
90	в то время	1	1
91	только тогда когда	1	1
92	между тем с	1	1
93	более низкую чем	1	1
94	одного и того	1	1
95	друг к другу	1	1
