N	4gram	Medvedev_F	EvropaiC
1	в том случае если	1	4
2	бы то ни было	1	3
3	лишь в том случае	1	2
4	но вместе с тем	1	2
5	в то же время	13	2
6	не только с точки	1	1
7	той так и для	1	1
8	с этой точки зрения	1	1
9	и до сих пор	2	1
10	что в данном случае	1	1
11	только с точки зрения	1	1
12	но и с точки	1	1
13	как для той так	1	1
14	мы уже знаем что	1	1
15	в широком смысле слова	1	1
16	не говоря уже о	1	1
17	не в том что	1	1
18	и ко всем вообще	1	1
19	вместе с тем и	2	1
20	для той так и	1	1
21	может быть и не	2	1
22	но и ко всем	1	1
23	и с точки зрения	1	1
24	и не может быть	4	1
25	и для другой стороны	1	1
26	и в конце концов	1	1
27	только в том случае	1	1
28	в том числе и	1	1
29	нет и не может	2	1
30	в самом деле ведь	1	1
31	так и для другой	1	1
32	тем не менее в	1	1
33	в том или ином	1	1
