N	4gram	Losev_Prob	Psycholo
1	заключается в том что	2	23
2	и в самом деле	1	19
3	в то время как	2	13
4	одной и той же	1	12
5	указывает на то что	3	11
6	одно и то же	1	7
7	в том случае если	1	7
8	только в том случае	2	6
9	не что иное как	5	6
10	один и тот же	1	5
11	сводится к тому что	1	5
12	все больше и больше	1	5
13	так же как и	1	5
14	а с другой стороны	1	4
15	одним и тем же	2	4
16	в том что в	1	4
17	одного и того же	2	4
18	ни в какой мере	1	4
19	то же самое и	1	4
20	в самом деле если	1	4
21	в самом деле когда	1	3
22	несмотря на то что	1	3
23	о которых мы говорили	1	3
24	и то что в	1	3
25	мысль о том что	2	3
26	значит ли это что	1	3
27	случае не может быть	1	3
28	дело в том что	3	3
29	в том или ином	1	3
30	ни в каком случае	6	2
31	не только то что	1	2
32	в том что всякое	1	2
33	и так как они	1	2
34	т д все это	1	2
35	и если мы хотим	2	2
36	которых мы говорили выше	1	2
37	с одной стороны это	1	2
38	с одной стороны и	2	2
39	о котором мы говорили	1	2
40	все дело в том	1	2
41	точно так же и	3	2
42	на то что в	1	2
43	и не может быть	1	2
44	в какой мере не	1	2
45	а на самом деле	1	2
46	вовсе не для того	1	2
47	же самое и в	1	2
48	и т д все	1	2
49	и тем не менее	8	2
50	и т д и	4	2
51	т д и т	3	2
52	мы никогда не можем	1	2
53	представление о том что	1	2
54	и что в нем	2	2
55	что в конце концов	2	2
56	и в этом отношении	1	2
57	д и т д	2	2
58	есть не что иное	5	2
59	и с точки зрения	1	1
60	то что мы выше	2	1
61	себя того или иного	1	1
62	с нашей точки зрения	1	1
63	а не только в	1	1
64	взятые сами по себе	4	1
65	во что бы то	2	1
66	по себе никак не	1	1
67	вступает в свои права	1	1
68	не для того чтобы	1	1
69	то это значит что	2	1
70	уже с самого начала	2	1
71	образом свидетельствует о том	1	1
72	но все дело в	1	1
73	во всяком случае так	1	1
74	именно то что он	1	1
75	между тем и другим	1	1
76	если оставить в стороне	1	1
77	и до наших дней	1	1
78	в таком случае в	1	1
79	что в настоящее время	1	1
80	вне и независимо от	2	1
81	каком случае не может	3	1
82	указание на то что	1	1
83	в связи с этим	2	1
84	и ни о каких	1	1
85	и даже больше того	1	1
86	х годов прошлого века	1	1
87	о том что это	2	1
88	как мы увидим ниже	2	1
89	мы и хотели бы	2	1
90	ничего общего с тем	2	1
91	о том что и	1	1
92	свой смысл и свое	1	1
93	вопрос о том что	1	1
94	одного автора который бы	1	1
95	могут и не быть	1	1
96	мы указали только на	1	1
97	если иметь в виду	1	1
98	придется говорить о том	1	1
99	по одному тому что	1	1
100	не имеют никакого отношения	1	1
101	в том случае когда	1	1
102	для нас не существует	1	1
103	если бы не было	3	1
104	сказать что она есть	1	1
105	всегда одним и тем	1	1
106	что имел в виду	1	1
107	о том что такое	1	1
108	в том что все	1	1
109	но как только мы	1	1
110	о которой мы говорили	1	1
111	не имеют ничего общего	4	1
112	остается одной и той	1	1
113	мы на самом деле	1	1
114	но для того чтобы	1	1
115	то же самое мы	1	1
116	взятый сам по себе	1	1
117	что бы то ни	2	1
118	но и в этом	1	1
119	в самом точном смысле	1	1
120	если мы скажем что	2	1
121	сама по себе и	2	1
122	вовсе не то что	1	1
123	в каком случае не	4	1
124	имеют никакого отношения к	1	1
125	и тот же предмет	1	1
126	одной точки к другой	1	1
127	к тому или иному	1	1
128	по крайней мере в	2	1
129	в том числе и	2	1
130	для того чтобы мы	1	1
131	уже во всяком случае	2	1
132	одна из самых важных	1	1
133	как только мы пытаемся	1	1
134	именно на то что	1	1
135	не только ничего не	1	1
136	но в таком случае	7	1
137	имеют ничего общего с	1	1
138	с тем что в	1	1
139	ни одного автора который	1	1
140	на то что она	1	1
141	и уже одно это	1	1
142	иметь в виду то	1	1
143	свидетельствует о том что	3	1
144	если же мы возьмем	1	1
145	что мы выше назвали	1	1
146	от одной точки к	1	1
147	в таком случае не	1	1
148	бы то ни стало	2	1
149	то что мы хотели	1	1
150	и то что мы	1	1
151	самом деле когда мы	1	1
