N	2gram	Losev_Prob	Narrotol
1	не только	37	62
2	и не	63	50
3	при этом	8	47
4	но и	23	45
5	а не	21	38
6	в качестве	3	35
7	в частности	5	31
8	может быть	29	30
9	и в	64	30
10	в том	19	29
11	в этом	30	28
12	том что	26	28
13	а в	7	27
14	такого рода	20	26
15	представляет собой	2	25
16	только в	19	25
17	в данном	16	24
18	как и	7	24
19	не в	6	23
20	то что	72	23
21	то есть	61	22
22	не может	18	20
23	в себе	16	17
24	данном случае	10	17
25	так и	17	17
26	а также	6	17
27	у чехова	2	16
28	со стороны	2	16
29	в его	12	16
30	к тому	5	15
31	можно сказать	9	15
32	но в	19	15
33	в жизни	3	14
34	и его	3	14
35	то же	10	13
36	в своей	8	13
37	уже не	9	13
38	о том	25	13
39	в своем	7	13
40	времени и	1	13
41	все же	7	12
42	на протяжении	1	12
43	сводится к	3	12
44	как в	5	12
45	перед нами	7	12
46	как бы	18	12
47	прежде всего	17	12
48	об этом	10	11
49	хотя и	8	11
50	если бы	8	11
51	и тем	16	11
52	в этой	14	11
53	в нем	14	11
54	тем самым	11	11
55	один из	7	10
56	никогда не	8	10
57	тому же	1	10
58	точки зрения	5	10
59	между тем	3	10
60	как это	7	10
61	в то	7	10
62	и все	9	10
63	не является	12	10
64	жизни и	1	10
65	с его	3	10
66	ничего не	20	10
67	того что	18	10
68	но не	13	10
69	как раз	20	9
70	тем не	25	9
71	той или	10	9
72	не сводится	1	9
73	столь же	1	9
74	отнюдь не	15	9
75	что в	21	9
76	с ним	4	9
77	что он	11	9
78	еще не	18	9
79	потому что	24	9
80	для него	2	9
81	далеко не	9	9
82	в рамках	1	9
83	в той	2	8
84	и к	2	8
85	в самом	10	8
86	в таком	18	8
87	о чем	11	8
88	не менее	26	8
89	не мог	1	8
90	одна из	4	8
91	он не	5	8
92	действующих лиц	2	8
93	самом деле	10	8
94	того чтобы	10	8
95	внимание на	4	8
96	мы имеем	3	8
97	и для	10	8
98	этом отношении	2	8
99	в литературе	4	8
100	у нас	31	8
101	но при	2	8
102	или иной	8	8
103	мира в	2	8
104	имеет место	1	7
105	при всей	1	7
106	в котором	5	7
107	с другой	8	7
108	пока еще	12	7
109	едва ли	10	7
110	в ее	3	7
111	на себя	2	7
112	в конце	13	7
113	в чем	3	7
114	в силу	2	7
115	и на	11	7
116	же в	5	7
117	это не	7	7
118	в глазах	1	7
119	или в	5	7
120	также и	22	7
121	в ней	1	7
122	одного из	2	7
123	в целом	1	7
124	все что	2	6
125	в результате	6	6
126	например в	2	6
127	сказать что	33	6
128	в нашем	3	6
129	имеем дело	1	6
130	то в	6	6
131	что у	1	6
132	с одной	4	6
133	человеческого опыта	1	6
134	что и	2	6
135	могло бы	1	6
136	на другой	1	6
137	в случае	5	6
138	не могла	1	6
139	известном смысле	1	6
140	однако в	2	6
141	однако и	4	6
142	во втором	1	6
143	таким образом	9	6
144	никак не	13	6
145	к его	2	6
146	в слове	1	6
147	в известном	1	6
148	то и	7	6
149	из этих	5	6
150	в сознании	5	6
151	здесь не	9	6
152	они не	1	6
153	о нем	3	6
154	слова в	1	6
155	одной стороны	4	6
156	событие и	1	6
157	на то	12	6
158	вплоть до	1	6
159	только что	2	5
160	и конца	1	5
161	в своих	3	5
162	и даже	19	5
163	и сам	3	5
164	именно в	5	5
165	а именно	16	5
166	мира и	1	5
167	и того	5	5
168	в другом	2	5
169	для того	10	5
170	о них	3	5
171	он сам	2	5
172	себя в	1	5
173	из них	3	5
174	к нему	5	5
175	от его	1	5
176	начала и	1	5
177	бы и	5	5
178	не было	7	5
179	или не	5	5
180	но для	3	5
181	я не	1	5
182	человек в	1	5
183	так сказать	1	5
184	между собой	5	5
185	его жизни	1	5
186	а для	1	5
187	по поводу	6	5
188	и от	3	5
189	с ее	1	5
190	и здесь	8	5
191	что это	4	5
192	подобно тому	2	5
193	если не	6	5
194	их в	6	5
195	о любви	2	5
196	да и	11	5
197	о котором	4	5
198	том как	2	5
199	было бы	16	5
200	и уже	4	5
201	для нее	1	5
202	и то	15	5
203	свидетельствует о	5	5
204	мы не	6	5
205	на самом	9	5
206	в какой	1	5
207	тем более	13	5
208	тому как	3	5
209	в начале	1	5
210	еще в	2	5
211	в пределах	2	5
212	не случайно	1	5
213	и о	11	5
214	место в	2	5
215	как будто	6	5
216	в душе	1	4
217	даже в	2	4
218	не являются	8	4
219	от этих	1	4
220	в виду	10	4
221	по себе	20	4
222	в них	8	4
223	в первом	2	4
224	и с	12	4
225	не вполне	4	4
226	роль в	2	4
227	он является	2	4
228	не существует	12	4
229	которой он	4	4
230	хотя бы	15	4
231	только на	13	4
232	обратим внимание	2	4
233	который в	1	4
234	к этому	1	4
235	представить себе	1	4
236	что они	5	4
237	жизни так	1	4
238	на том	5	4
239	несмотря на	6	4
240	в третьем	1	4
241	и притом	6	4
242	не о	7	4
243	не говорит	1	4
244	тому что	6	4
245	встрече с	1	4
246	не будет	11	4
247	но зато	3	4
248	по своей	1	4
249	и по	3	4
250	и ее	9	4
251	на ее	1	4
252	для себя	9	4
253	о которой	1	4
254	нового времени	1	4
255	не на	4	4
256	со всеми	2	4
257	оно не	6	4
258	о своей	1	4
259	вместе с	4	4
260	не имеет	8	4
261	которая не	1	4
262	в аспекте	1	4
263	в москве	2	4
264	в основе	4	4
265	могла бы	1	4
266	в сфере	1	4
267	мог бы	1	4
268	начиная с	1	4
