N	2gram	Losev_Dial	EvropaiE
1	и в	34	37
2	в отношении	1	32
3	в пределах	1	25
4	точки зрения	43	23
5	что в	12	21
6	не только	35	18
7	с точки	25	17
8	в то	9	16
9	то же	9	15
10	хотя бы	9	15
11	отношении к	1	15
12	в качестве	1	14
13	и не	50	14
14	но и	14	14
15	же время	5	14
16	в своем	7	14
17	но в	3	14
18	в этом	14	12
19	в том	17	11
20	в их	2	11
21	с и	1	10
22	так и	11	10
23	в себе	8	9
24	т е	72	9
25	прежде всего	20	9
26	только в	10	9
27	в смысле	4	9
28	так же	7	9
29	не может	29	9
30	отнюдь не	16	9
31	с одной	4	8
32	в ее	5	8
33	в своей	4	8
34	одной стороны	3	8
35	было бы	13	8
36	думать что	3	8
37	к тому	4	8
38	так как	12	7
39	того что	22	7
40	как и	14	7
41	по своему	2	7
42	также и	6	7
43	с другой	5	7
44	то есть	1	6
45	с этой	7	6
46	и даже	21	6
47	вслед за	1	6
48	и на	6	6
49	том что	18	6
50	вовсе не	18	6
51	во всех	2	6
52	может быть	30	6
53	того чтобы	1	6
54	для того	4	6
55	стороны и	1	6
56	то что	25	6
57	как бы	19	6
58	на то	5	6
59	тем самым	3	5
60	в виде	11	5
61	этой точки	4	5
62	не в	11	5
63	но не	3	5
64	от этого	5	5
65	со стороны	5	5
66	и потому	6	5
67	в течение	4	5
68	же как	4	5
69	в частности	3	5
70	как мы	4	5
71	одной из	3	5
72	но если	11	5
73	и по	2	5
74	в самом	9	4
75	бы то	3	4
76	то в	5	4
77	мы не	11	4
78	даже в	1	4
79	ни было	1	4
80	того или	6	4
81	для нас	2	4
82	не на	7	4
83	чем в	2	4
84	и притом	10	4
85	само по	8	4
86	в некотором	1	4
87	именно в	5	4
88	в процессе	2	4
89	по себе	31	4
90	не имеет	18	4
91	в каком	9	4
92	тем более	5	4
93	той или	3	4
94	вопрос о	9	4
95	но даже	4	4
96	то ни	4	4
97	или иного	3	4
98	как совокупность	1	4
99	как это	8	4
100	россии в	1	4
101	несмотря на	2	4
102	к ней	1	4
103	в ней	4	4
104	сказать что	7	4
105	можно сказать	5	4
