N	2gram	Berdyaev_V	Dialekti
1	не есть	6	181
2	и не	20	120
3	и т	2	82
4	а не	7	78
5	и в	16	77
6	т д	2	75
7	может быть	1	71
8	не только	2	66
9	то что	9	59
10	и есть	4	55
11	это значит	1	54
12	ничего не	1	54
13	что это	1	46
14	так как	9	46
15	потому что	4	45
16	не просто	1	44
17	как бы	5	43
18	и что	3	42
19	ни в	3	42
20	не имеет	3	41
21	вовсе не	1	41
22	в том	3	40
23	в этом	4	39
24	то же	1	39
25	что он	4	37
26	том что	2	37
27	прежде всего	2	37
28	это не	2	36
29	что в	3	34
30	в нем	4	34
31	и все	4	33
32	того что	5	33
33	но и	5	32
34	все это	5	31
35	так и	4	29
36	как и	4	28
37	никогда не	3	27
38	в виду	1	26
39	крайней мере	1	26
40	не в	3	26
41	по крайней	1	26
42	есть и	1	26
43	говорить о	4	25
44	и то	2	25
45	есть не	1	25
46	но это	3	24
47	что оно	1	23
48	и вот	1	23
49	но что	1	22
50	я не	1	22
51	что не	4	21
52	в чем	3	21
53	личности и	3	21
54	должна быть	3	21
55	она не	1	21
56	личность есть	1	21
57	и с	1	20
58	что и	3	20
59	что все	4	20
60	только в	2	20
61	уже не	2	20
62	и вообще	1	20
63	в самом	1	19
64	не существует	1	19
65	в своем	1	19
66	и это	2	19
67	как это	1	19
68	что мы	4	19
69	хотя бы	3	18
70	с другой	1	18
71	жизни и	3	18
72	должно быть	3	17
73	то это	3	16
74	к нему	1	16
75	в своей	3	16
76	да и	2	16
77	нет ничего	3	16
78	конечно не	2	16
79	мы не	2	16
80	же и	1	15
81	все же	1	15
82	так же	1	15
83	и мы	3	15
84	хотя и	5	15
85	в виде	1	15
86	есть то	1	14
87	с ним	2	14
88	не было	3	14
89	д и	1	14
90	и ее	1	14
91	и потому	7	14
92	говорит о	1	13
93	другой стороны	1	13
94	что они	7	13
95	но в	3	13
96	в ней	4	13
97	и нет	1	12
98	вопрос о	1	12
99	нет никакого	1	12
100	но как	1	12
101	но не	2	12
102	могут быть	2	12
103	и стало	1	12
104	не могут	2	12
105	еще не	8	12
106	и если	1	12
107	и тогда	2	12
108	и тут	1	12
109	все равно	2	12
110	все эти	3	12
111	а в	2	12
112	в них	3	11
113	о личности	1	11
114	что я	3	11
115	и тем	1	11
116	думают что	1	11
117	ничем не	1	11
118	его не	2	11
119	во всем	1	10
120	с этой	1	10
121	в результате	1	10
122	в жизни	3	10
123	к тому	3	10
124	во всяком	2	10
125	для того	1	10
126	самоутверждение личности	1	10
127	можно ли	1	10
128	мы видим	1	10
129	в ее	1	10
130	от этого	3	10
131	себе и	1	10
132	а потом	1	10
133	и для	3	10
134	оно не	3	10
135	то и	1	10
136	наука не	1	10
137	в его	4	10
138	в их	1	10
139	и можно	1	10
140	как мы	1	10
141	бытия и	1	10
142	может и	1	10
143	и уже	1	10
144	тому что	3	9
145	быть может	1	9
146	в этих	3	9
147	и на	1	9
148	мир и	2	9
149	в котором	4	9
150	в противоположность	1	9
151	в одном	1	9
152	превращается в	3	9
153	бы в	1	9
154	на этом	1	9
155	и по	1	9
156	с ними	1	9
157	тут не	1	9
158	и от	1	9
159	между собою	1	9
160	лишь как	1	9
161	в истории	8	9
162	от него	2	8
163	в разных	1	8
164	но все	1	8
165	вот почему	2	8
166	уже и	1	8
167	нет и	2	8
168	это мы	2	8
169	не будет	2	8
170	в этой	1	8
171	что есть	5	8
172	один из	2	8
173	но вот	1	8
174	как не	3	8
