1	в первый раз	2	3
2	за то что	6	3
3	то что мы	1	3
4	в том что	27	2
5	в нем нет	2	2
6	не было еще	1	2
7	не в силах	1	2
8	не будет уже	1	2
9	никогда еще не	1	2
10	но и в	15	2
11	бы и не	1	2
12	том что он	2	2
13	а между тем	1	2
14	вместо того чтобы	5	2
15	в вопросе о	3	2
16	на том свете	1	1
17	в человеке и	1	1
18	но прежде всего	4	1
19	в конце концов	10	1
20	и до того	1	1
21	и если за	1	1
22	мы видим что	9	1
23	в словах его	1	1
24	и вместе с	2	1
25	и все это	3	1
26	все это мы	1	1
27	и должна быть	1	1
28	менее всего можно	1	1
29	в этих словах	1	1
30	хотя бы и	1	1
31	но от этого	2	1
32	по сравнению с	5	1
33	вместе с тем	3	1
34	с тем чтобы	1	1
35	так и в	9	1
36	и теперь в	1	1
37	но к счастью	1	1
38	его к жизни	1	1
39	царства и не	1	1
40	не могут быть	2	1
41	в этом мире	1	1
42	но в нем	2	1
43	себя и своих	1	1
44	есть еще и	1	1
45	и что в	1	1
46	что нет у	1	1
47	в мире и	1	1
48	свою роль в	3	1
49	во всех формах	3	1
50	так как она	1	1
51	для него не	1	1
52	видим что все	1	1
53	и в этом	3	1
54	есть прежде всего	1	1
55	это не было	1	1
56	в одном образе	4	1
57	но все же	6	1
58	его и не	1	1
59	и во всяком	1	1
60	жизни в этом	1	1
61	все что было	1	1
62	он говорит что	1	1
63	не имеет никакой	1	1
64	после того как	8	1
65	как бы в	5	1
66	никогда не было	1	1
67	бы то ни	3	1
68	и не было	2	1
69	раз и навсегда	1	1
70	находится в состоянии	1	1
71	с другой стороны	12	1
72	в духе его	1	1
73	другой стороны в	2	1
74	и в другие	1	1
75	его связь с	8	1
76	в известном смысле	2	1
77	роль в нем	2	1
78	человека в его	1	1
79	и в духе	2	1
80	есть то что	1	1
81	конечно ни в	1	1
82	это одна из	6	1
83	и каким образом	1	1
84	проявляется и в	1	1
85	имеет своим предметом	1	1
86	в истории и	1	1
87	самой жизни в	2	1
88	как и в	10	1
89	в них и	2	1
90	и есть то	2	1
91	что я не	1	1
92	в xx веке	1	1
93	в средство для	1	1
94	смысл жизни и	1	1
95	и вообще в	3	1
96	в ней и	3	1
