N	3gram	Ircho_Kome	Stilisti
1	в то же	5	9
2	для того чтобы	3	7
3	в зависимости от	1	7
4	то же время	5	7
5	того или иного	1	5
6	той или иной	1	4
7	с самого начала	2	4
8	то же самое	2	4
9	в общественной жизни	1	3
10	но и в	2	3
11	как мы уже	1	3
12	в конце концов	4	3
13	как мы видели	1	3
14	не только в	1	3
15	но все же	1	3
16	в той же	2	3
17	должны были бы	1	2
18	само собой разумеется	1	2
19	чуть ли не	2	2
20	в так называемой	1	2
21	вместе с тем	4	2
22	по отношению к	5	2
23	о том что	6	2
24	но об этом	1	2
25	в сознании человека	1	2
26	связи с этим	1	2
27	но при этом	1	2
28	не что иное	1	2
29	смысле этого слова	1	2
30	ответить на это	1	2
31	только потому что	2	2
32	тех случаях когда	1	2
33	в связи с	3	2
34	к тому что	3	2
35	что иное как	1	2
36	и на его	1	2
37	в этом отношении	3	2
38	и не только	1	2
39	в значительной степени	1	2
40	или хотя бы	1	2
41	в тех случаях	1	2
42	в том что	13	1
43	благодаря тому что	1	1
44	в одном из	4	1
45	частей из которых	1	1
46	протяжении почти всей	1	1
47	мы уже знаем	1	1
48	происходит и в	1	1
49	в большинстве случаев	2	1
50	но все эти	1	1
51	к одному и	1	1
52	одних и тех	1	1
53	и тому же	1	1
54	до наших дней	1	1
55	как и в	2	1
56	все это как	1	1
57	и во всех	1	1
58	тем не менее	2	1
59	только в том	1	1
60	на протяжении почти	2	1
61	и в каком	1	1
62	и уже в	1	1
63	и тех же	1	1
64	той же мере	1	1
65	более или менее	1	1
66	по сравнению с	1	1
67	независимо от того	3	1
68	в качестве примера	1	1
69	таким образом в	2	1
70	и та же	1	1
71	на те явления	1	1
72	и к тому	1	1
73	их точки зрения	2	1
74	не говоря уже	4	1
75	не является чем-то	1	1
76	и тем что	2	1
77	не свидетельствуют о	1	1
78	из них в	1	1
79	до сих пор	3	1
80	именно потому что	2	1
81	в разговоре с	1	1
82	и здесь мы	1	1
83	и чаще всего	1	1
84	бросается в глаза	1	1
85	чтобы убедиться в	1	1
86	точек зрения в	1	1
87	ответа на вопрос	1	1
88	само по себе	1	1
89	одному и тому	1	1
90	же как мы	1	1
91	в пределах одного	1	1
92	а затем и	2	1
93	хотя бы в	1	1
94	с их точки	2	1
95	в высшей степени	1	1
96	одна и та	1	1
97	одной из сторон	1	1
98	с другой стороны	6	1
99	словам а к	1	1
100	можно было бы	3	1
101	по отдельным строчкам	1	1
102	но там оно	1	1
