N	2gram	Bakhtin_Pr	Myslijsy
1	потому что	8	182
2	то есть	3	142
3	и в	64	121
4	может быть	43	107
5	в том	12	103
6	то что	21	83
7	в слове	3	78
8	для нас	2	75
9	что в	11	73
10	и не	55	73
11	только в	13	72
12	не только	26	67
13	а не	29	67
14	таким образом	15	64
15	в языке	1	60
16	в этом	33	59
17	но и	26	59
18	том что	8	59
19	так как	9	59
20	то же	18	56
21	не в	15	54
22	если бы	12	53
23	в себе	11	53
24	по себе	16	52
25	не может	26	52
26	того что	3	47
27	в сознании	3	46
28	было бы	8	45
29	в нем	28	45
30	не есть	4	42
31	как и	25	42
32	так что	6	39
33	вместе с	1	39
34	что и	7	38
35	мы не	4	38
36	при этом	8	37
37	как в	7	37
38	так и	8	37
39	тогда когда	1	36
40	что мы	1	36
41	точно так	1	35
42	тем что	6	33
43	и что	5	32
44	по отношению	12	30
45	а в	10	30
46	что не	3	29
47	между тем	7	29
48	но не	12	29
49	вовсе не	12	28
50	мы можем	1	28
51	для него	23	28
52	с этим	3	27
53	могут быть	9	27
54	не было	5	26
55	независимо от	1	26
56	и т	14	26
57	то и	3	26
58	отношению к	12	26
59	этого слова	3	25
60	между собою	5	24
61	в то	15	24
62	как бы	33	23
63	того как	3	23
64	от того	4	23
65	а потому	2	22
66	по мере	4	22
67	то это	3	22
68	с другой	7	22
69	не имеет	2	22
70	но в	14	22
71	и потому	7	21
72	не менее	3	21
73	в одном	20	20
74	это не	12	20
75	в ней	2	20
76	мысли и	6	19
77	и как	9	19
78	но это	6	19
79	сказать что	4	19
80	с ним	8	19
81	того же	3	19
82	тем не	2	19
83	что это	2	19
84	из этих	3	19
85	о том	5	19
86	должно быть	8	19
87	в самом	17	18
88	в таком	3	18
89	для того	1	18
90	по поводу	1	18
91	в мысли	1	18
92	не могут	10	18
93	в человеке	6	18
94	бы не	2	18
95	в каком	1	18
96	тогда как	1	18
97	что я	7	18
98	еще не	10	18
99	точки зрения	31	17
100	крайней мере	2	17
101	со стороны	1	17
102	по крайней	2	17
103	слова и	8	17
104	заметить что	2	17
105	что оно	2	17
106	уже в	5	17
107	в его	30	17
108	во всяком	7	17
109	слова в	12	17
110	только что	1	16
111	и на	16	16
112	к тому	4	16
113	так же	8	16
114	в своем	12	16
115	в которой	2	16
116	а только	1	16
117	в них	5	16
118	или же	2	16
119	если б	2	16
120	есть нечто	2	16
121	что если	3	16
122	на то	5	16
123	в этих	5	15
124	уже не	15	15
125	только как	2	15
126	с одной	1	15
127	с другими	8	15
128	и тем	1	15
129	в нас	1	15
130	и по	1	15
131	что он	15	15
132	стало быть	1	15
133	в свою	1	15
134	т д	4	15
135	прежде всего	16	15
136	тому как	3	15
137	все же	11	14
138	в одно	4	14
139	в котором	7	14
140	в действительности	1	14
141	свою очередь	1	14
142	то в	2	14
143	связи с	3	14
144	так сказать	9	14
145	во всех	4	14
146	бы ни	3	14
147	там где	12	14
148	мере того	1	14
149	должны быть	3	14
150	сам по	2	14
151	в истории	2	14
152	же время	13	14
153	мысли в	2	14
154	мы должны	3	14
155	само по	4	14
156	те же	3	13
157	например в	5	13
158	языка в	1	13
159	а между	2	13
160	как на	4	13
161	из них	3	13
162	что все	2	13
163	в смысле	3	13
164	т п	10	13
165	и все	6	13
166	не следует	1	13
167	зависит от	1	13
168	смысле этого	1	13
169	образом в	1	13
170	и его	21	13
171	от него	1	12
172	одно из	2	12
173	другой стороны	6	12
174	до сих	9	12
175	более или	4	12
176	мысли о	1	12
177	это последнее	2	12
178	не то	1	12
179	никогда не	11	12
180	и при	2	12
181	хотя и	5	12
182	быть только	1	12
183	под влиянием	1	12
184	сих пор	9	12
185	в каждом	15	12
