N	4gram	Propp_Russ	Marksizm
1	одного и того же	1	9
2	на самом же деле	2	5
3	одни и те же	1	5
4	как мы уже знаем	2	4
5	одна и та же	1	2
6	так же как и	3	2
7	только по отношению к	1	2
8	привела к тому что	1	2
9	но тем не менее	2	1
10	не что иное как	3	1
11	и в этом случае	2	1
12	не только по отношению	1	1
13	мы не будем останавливаться	2	1
14	одна из основных проблем	1	1
15	вместе с тем и	2	1
16	а в связи с	1	1
17	в тех случаях когда	2	1
18	а может быть и	1	1
19	а вместе с тем	1	1
20	приходит к выводу что	1	1
21	в этом случае с	1	1
22	в данном случае мы	1	1
23	ничего общего не имеет	1	1
24	и связанные с этим	1	1
25	это не совсем так	1	1
26	в том что это	2	1
27	приводит к тому что	1	1
28	не будем останавливаться на	2	1
29	без всякой связи с	1	1
30	мы не будем здесь	2	1
31	самом же деле это	1	1
