N	4gram	Nazirov_Tr	Tvorches
1	в то же время	5	24
2	в преступлении и наказании	2	16
3	но в то же	2	6
4	в униженных и оскорбленных	6	4
5	и не может быть	1	3
6	в окончательном тексте в	1	2
7	то же время он	1	2
8	неточка незванова прошедшая через	1	1
9	достоевский в то же	1	1
10	то же время показывает	1	1
11	в записках из мертвого	2	1
12	униженных и оскорбленных в	2	1
13	в романе униженные и	1	1
14	мечтателя из белых ночей	1	1
15	записках из мертвого дома	2	1
16	сновидения в стихах и	1	1
17	в братьях карамазовых не	1	1
18	преступлении и наказании в	1	1
19	незванова прошедшая через каторгу	1	1
20	и в самом деле	1	1
21	ведет к тому что	1	1
22	как бы неточка незванова	1	1
23	хотя бы и в	1	1
24	бы неточка незванова прошедшая	1	1
25	романе униженные и оскорбленные	1	1
26	к этой теме в	1	1
27	это как бы неточка	1	1
28	и добро и зло	1	1
29	начала и до конца	1	1
30	то же время с	1	1
31	петербургские сновидения в стихах	1	1
32	в стихах и прозе	1	1
33	из униженных и оскорбленных	1	1
34	если так можно выразиться	1	1
35	в году в петербурге	1	1
36	если можно так выразиться	1	1
