N	2gram	Berdyaev_N	Russkaja
1	не может	16	22
2	и не	11	19
3	в этом	7	17
4	в том	8	17
5	и в	16	14
6	то что	4	13
7	но и	3	10
8	в то	2	10
9	не только	5	9
10	том что	2	9
11	во всяком	1	9
12	может быть	7	9
13	в себе	2	9
14	прежде всего	4	8
15	того чтобы	2	8
16	как на	1	8
17	не будет	7	7
18	ни к	2	7
19	россии в	1	7
20	стремление к	2	7
21	к тому	3	7
22	о том	4	7
23	мы должны	1	7
24	и с	2	7
25	к богу	2	7
26	и к	5	6
27	для всех	1	6
28	все это	5	6
29	и для	4	6
30	в россии	3	6
31	с тем	3	6
32	что он	1	6
33	для того	1	6
34	в своем	1	6
35	всяком случае	1	6
36	до сих	1	5
37	и на	2	5
38	только в	1	5
39	по существу	2	5
40	в своей	3	5
41	в последние	1	5
42	во имя	15	5
43	жизни в	3	5
44	себя и	1	5
45	во всех	3	5
46	сих пор	1	5
47	церкви не	2	5
48	и только	1	5
49	вопрос о	3	5
50	хотя бы	2	5
51	потому что	4	5
52	в нем	5	5
53	он не	8	5
54	конечно не	3	5
55	а в	2	5
56	было бы	1	5
57	никогда не	6	5
58	что в	9	4
59	во всем	1	4
60	все что	1	4
61	так как	1	4
62	возможно лишь	1	4
63	к этой	1	4
64	в его	1	4
65	не могут	1	4
66	отказаться от	1	4
67	не в	6	4
68	лишь к	1	4
69	вместе с	2	4
70	как и	7	4
71	в мире	3	4
72	приводит к	1	4
73	к вопросу	1	4
74	себе и	1	4
75	ли это	2	4
76	том случае	1	4
77	можно было	2	4
78	от того	1	4
79	в этой	1	4
80	себя в	2	4
81	жизни и	8	4
82	но не	2	4
83	в самом	1	3
84	был и	1	3
85	и этот	1	3
86	и сейчас	1	3
87	должно быть	4	3
88	вопросу о	1	3
89	для них	1	3
90	в будущем	2	3
91	не было	4	3
92	ни одна	2	3
93	тем что	1	3
94	в конце	1	3
95	советской россии	1	3
96	не есть	3	3
97	но если	1	3
98	культуры в	5	3
99	еще не	3	3
100	все они	2	3
101	и потому	4	3
102	то это	1	3
103	случае если	1	3
104	одна из	2	3
105	в значительной	1	3
106	говорить о	1	3
107	в большинстве	1	3
108	быть признан	1	3
109	россии и	1	3
110	лишь в	6	3
111	россии будет	1	3
112	и во	1	3
113	том чтобы	2	3
114	что все	2	3
115	друг друга	1	3
116	из этих	1	3
117	для этого	2	3
118	из них	1	3
119	что такое	3	2
120	т.е к	1	2
121	зависит от	2	2
122	должна быть	3	2
123	к себе	1	2
124	для себя	1	2
125	совершенно также	1	2
126	и должно	2	2
127	весь смысл	1	2
128	из всех	1	2
129	с ним	1	2
130	политической жизни	1	2
131	от этой	1	2
132	будут не	3	2
133	одному из	1	2
134	ни в	6	2
135	они будут	1	2
136	это есть	7	2
137	том и	2	2
138	в этих	1	2
139	у него	2	2
140	по себе	1	2
141	их не	1	2
142	и даже	2	2
143	а во-вторых	1	2
144	к чему	1	2
145	себя на	1	2
146	что ничего	1	2
147	все эти	2	2
148	на себя	1	2
149	но для	2	2
150	к отрицанию	1	2
151	помнить что	2	2
152	их в	1	2
153	большинстве случаев	1	2
154	и вместе	1	2
155	только для	1	2
156	мировую войну	1	2
157	так же	2	2
158	уже не	2	2
159	к той	1	2
160	чтобы понять	1	2
161	общественной жизни	6	2
162	с этим	2	2
163	стремиться к	2	2
164	и более	1	2
165	в котором	1	2
166	ее он	1	2
167	культуре и	1	2
168	мы уже	1	2
169	она не	3	2
170	от европы	1	2
171	в ней	5	2
172	а не	17	2
173	народов и	1	2
174	но она	2	2
175	есть и	1	2
176	в силу	1	2
177	и что	2	2
178	время когда	1	2
179	этого не	1	2
180	людей и	1	2
181	сами эти	1	2
182	россию и	1	2
183	на это	1	2
184	зависимость от	1	2
185	центр тяжести	2	2
186	культуры и	7	2
187	и от	2	2
188	но в	2	2
189	и есть	10	2
190	место в	2	2
191	самом себе	1	2
192	в зависимость	1	2
193	как будто	2	2
194	всех народов	1	2
195	в области	1	2
196	но это	6	2
197	во время	1	2
198	будет в	1	2
199	понять что	1	2
200	не к	2	2
201	к нему	1	2
202	от всякого	2	1
203	в советской	1	1
204	ближе к	1	1
205	и весь	2	1
206	жизни церкви	2	1
207	государство и	2	1
208	как это	2	1
209	что его	1	1
210	то они	1	1
211	эпохи не	1	1
212	время но	1	1
213	человеческой жизни	1	1
214	и мы	4	1
215	реально не	1	1
216	ничем не	1	1
217	над нами	1	1
218	от религии	2	1
