N	4gram	Voloshinov	DiskursI
1	в то же время	6	8
2	дело в том что	1	5
3	в том что в	1	3
4	одно и то же	1	3
5	и не может быть	3	2
6	одной и той же	3	2
7	и в то же	1	2
8	бы то ни было	2	2
9	если можно так выразиться	1	2
10	какую бы то ни	1	1
11	не что иное как	1	1
12	это как будто бы	1	1
13	одни и те же	1	1
14	не следует упускать из	1	1
15	но в отличие от	1	1
16	ни в чем не	4	1
17	нет и не может	2	1
18	следует упускать из виду	1	1
19	с самых ранних лет	1	1
20	говорит о том что	1	1
21	и того и другого	1	1
22	том что он не	1	1
23	или по крайней мере	1	1
24	заключается в том что	2	1
25	или во всяком случае	1	1
26	в том что он	2	1
27	но так ли это?	1	1
28	начала и до конца	1	1
29	что всякое конкретное высказывание	1	1
30	и прежде всего к	1	1
31	имеет дело только с	1	1
32	от начала и до	1	1
33	есть не что иное	1	1
