N	4gram	Bakhtin_Pr	formyVre
1	в то же время	8	18
2	и в то же	3	8
3	как мы уже сказали	2	6
4	как мы уже говорили	2	6
5	в том числе и	13	5
6	мы имеем в виду	3	5
7	одно и то же	1	5
8	с нашей точки зрения	1	3
9	до сих пор еще	2	3
10	в той или иной	1	3
11	бы он ни был	1	3
12	в средние века и	3	3
13	но в то же	3	3
14	мы еще вернемся в	2	3
15	не может войти в	1	2
16	и до сих пор	2	2
17	мы не касаемся здесь	1	2
18	к себе самому и	1	2
19	беседа с самим собою	1	2
20	все более и более	1	2
21	дело в том что	2	2
22	здесь в большинстве случаев	1	2
23	а также и в	1	2
24	здесь как и в	1	2
25	и не могло быть	1	1
26	никогда не может быть	1	1
27	в разных вариациях и	1	1
28	и почти вовсе не	1	1
29	будем говорить в дальнейшем	1	1
30	с его специфической логикой	1	1
31	не было и не	1	1
32	не вызывает никаких сомнений	1	1
33	то же самое мы	1	1
34	есть все то что	1	1
35	мы не будем останавливаться	1	1
36	человека и его судьбы	2	1
37	уже на античной почве	1	1
38	в себя неограниченное количество	1	1
39	жить и обновляться в	2	1
40	той или иной форме	1	1
41	мы в дальнейшем остановимся	1	1
42	с самим собою в	1	1
43	рядом друг с другом	1	1
44	мы встречаем ее в	1	1
45	и в диалоге в	1	1
46	одну и ту же	1	1
47	мы найдем и у	2	1
48	и др все эти	2	1
49	одной и той же	1	1
50	сделаны из одного куска	2	1
51	в некоторых из них	1	1
52	то же время оно	1	1
53	мы уже говорили что	1	1
54	но и помимо этого	1	1
55	как и во всех	1	1
56	во всех его вариациях	1	1
57	средние века и в	1	1
58	лишена определяющего влияния на	1	1
59	в дальнейшем остановимся подробнее	1	1
60	такой же характер носит	1	1
61	или во всяком случае	1	1
62	в зависимости от ранга	1	1
63	было и не могло	1	1
64	и в последующем развитии	1	1
65	на античной почве в	1	1
66	с точки зрения этого	1	1
67	о которой мы говорили	1	1
68	и его судьбы в	1	1
69	в прямой авторской речи	1	1
70	вплоть до наших дней	1	1
71	отношение к себе самому	3	1
72	и с точки зрения	1	1
73	но дело в том	1	1
74	друг с другом так	1	1
75	к себе самому к	1	1
76	в том что все	1	1
77	проявляется прежде всего в	1	1
78	то есть все то	1	1
79	на этом мы заканчиваем	1	1
