N	2gram	Tiupa_Anal	OGranits
1	и в	30	13
2	и его	9	12
3	прежде всего	8	9
4	может быть	33	8
5	и не	33	8
6	не может	26	8
7	в его	15	7
8	и т.п	13	7
9	и их	2	7
10	эстетический объект	6	7
11	точки зрения	10	7
12	таким образом	5	6
13	не только	30	6
14	мы должны	2	6
15	только в	8	6
16	то что	11	6
17	как бы	15	6
18	языка и	2	5
19	в поэзии	2	5
20	хотя бы	4	5
21	с точки	6	5
22	и т.д	4	5
23	художественного произведения	6	5
24	в процессе	2	5
25	но ведь	1	5
26	все же	4	5
27	и эта	1	5
28	эстетического объекта	11	5
29	и наконец	2	5
30	не является	3	4
31	до тех	1	4
32	произведения как	8	4
33	только и	1	4
34	мы не	1	4
35	то же	12	4
36	еще и	1	4
37	было бы	4	4
38	все это	2	4
39	в сознании	6	4
40	слов и	2	4
41	лишь в	12	4
42	социальной группы	1	4
43	в своей	7	4
44	на фоне	5	4
45	в двух	4	4
46	тех пор	1	4
47	но мы	2	4
48	но в	11	4
49	вопроса о	4	4
50	что в	7	3
51	и то	4	3
52	со всей	1	3
53	т.п и	1	3
54	пор пока	1	3
55	материала и	1	3
56	в искусстве	2	3
57	и уже	1	3
58	так и	16	3
59	не как	2	3
60	говорить о	3	3
61	одно и	2	3
62	в одном	3	3
63	не столько	5	3
64	за пределы	6	3
65	отношению к	9	3
66	по отношению	10	3
67	превращается в	3	3
68	слово в	1	3
69	в пределах	11	3
70	в их	8	3
71	при анализе	1	3
72	в ее	2	3
73	здесь мы	1	3
74	самом деле	3	3
75	не в	17	3
76	в которой	3	3
77	что же	3	3
78	и все	5	3
79	в себе	17	3
80	так как	3	3
81	языка как	1	3
82	да и	2	3
83	но и	29	3
84	и для	3	3
85	как и	23	3
86	точку зрения	1	3
87	никогда не	4	3
88	в области	4	2
89	своего рода	12	2
90	истории литературы	4	2
91	описания и	1	2
92	в самом	12	2
93	во всем	1	2
94	нет ничего	2	2
95	и к	5	2
96	того или	3	2
97	может иметь	2	2
98	мы видим	1	2
99	иное как	6	2
100	в данном	6	2
101	мы уже	2	2
102	творческого сознания	1	2
103	и наиболее	1	2
104	а как	4	2
105	в своих	1	2
106	в этом	31	2
107	что иное	6	2
108	в общем	1	2
109	в целях	1	2
110	данном случае	3	2
111	с одной	7	2
112	в произведении	7	2
113	в течение	1	2
114	входит в	1	2
115	для себя	3	2
116	наконец в	1	2
117	и при	1	2
118	одной стороны	6	2
119	и должно	1	2
120	роль в	3	2
121	в другом	4	2
122	композиции в	1	2
123	при этом	20	2
124	несмотря на	5	2
125	между тем	7	2
126	в полном	2	2
127	для него	5	2
128	замкнутого круга	1	2
129	только его	1	2
130	и тем	4	2
131	и может	1	2
132	смысле слова	1	2
133	те же	3	2
134	ее в	2	2
135	и композиция	1	2
136	в том	36	2
137	полном соответствии	1	2
138	в которую	2	2
139	с этой	2	2
140	произведения мы	1	2
141	и является	4	2
142	в тех	1	2
143	в отношении	2	2
144	но такое	1	2
145	вслед за	3	2
146	литературного произведения	50	2
147	ни одно	2	2
