N	4gram	Potebnia_M	RusskieA
1	состоит в том что	1	26
2	не что иное как	1	4
3	до тех пор пока	2	3
4	в том что это	1	3
5	но вместе с тем	1	3
6	но тем не менее	4	2
7	и в этом случае	1	2
8	выше мы видели что	1	2
9	такое же значение как	1	2
10	вместе с тем и	3	2
11	выводы можно сделать из	1	2
12	в том что этот	1	2
13	друг к другу и	1	1
14	более или менее ясно	1	1
15	и в других случаях	1	1
16	и во многих других	1	1
17	одна и та же	2	1
18	может быть не только	1	1
19	состоять в том чтобы	1	1
20	свое объяснение только в	1	1
21	в то время как	3	1
22	в том что ее	1	1
23	бросается в глаза что	1	1
24	одного и того же	2	1
25	не имеет смысла но	1	1
26	а может быть и	1	1
27	а вместе с тем	1	1
28	как и в других	1	1
29	не только в том	1	1
30	только о том что	1	1
31	сводится к тому что	1	1
32	дело в том что	1	1
33	мы можем предположить что	1	1
34	в то время когда	2	1
35	только после того как	1	1
