N	2gram	Bakhtin_fo	ViktorSh
1	конце концов	1	2
2	в конце	11	2
3	и в	84	2
4	в том	16	2
5	том что	7	2
6	в другом	2	1
7	но это	1	1
8	одно и	4	1
9	том же	4	1
10	по существу	17	1
11	ведь это	2	1
12	главным образом	1	1
13	в самом	9	1
14	в теории	1	1
15	чем больше	1	1
16	и т.д	2	1
17	для них	3	1
18	говорили в	1	1
19	а только	2	1
20	от других	1	1
21	ведь дело	1	1
22	именно в	5	1
23	все то	2	1
24	ни к	3	1
25	имеется в	1	1
26	они на	1	1
27	самом деле	2	1
28	другом месте	2	1
29	и составляет	1	1
30	ясно что	2	1
31	с большой	3	1
32	говоря о	1	1
33	в частности	11	1
34	же все	1	1
35	и то	5	1
36	так в	2	1
37	же месте	1	1
38	к созданию	1	1
39	этом и	1	1
40	время в	7	1
41	и его	26	1
42	сводится к	1	1
43	даже не	2	1
44	как говорили	1	1
45	под влиянием	1	1
46	бы уже	1	1
47	значительной степени	1	1
48	на одном	1	1
49	хотя бы	2	1
50	других и	1	1
51	по поводу	1	1
52	далеко не	3	1
53	тем более	4	1
54	в которых	4	1
55	к этому	5	1
56	только в	12	1
57	одном и	1	1
58	потому что	11	1
59	в значительной	3	1
60	в их	9	1
61	все дело	1	1
62	и почти	2	1
63	и только	3	1
64	то же	18	1
65	и том	2	1
66	и не	19	1
67	гораздо более	1	1
68	я не	1	1
69	старых и	1	1
70	дело в	3	1
71	да и	4	1
72	в этом	41	1
73	так как	12	1
74	все это	10	1
75	совершенно ясно	1	1
