N	3gram	Savitsky_P	Psycholo
1	в том что	4	78
2	для того чтобы	1	70
3	заключается в том	2	36
4	совершенно ясно что	1	33
5	с точки зрения	3	29
6	с одной стороны	3	28
7	не может быть	1	23
8	и т д	1	22
9	с другой стороны	1	20
10	так же как	1	14
11	во всяком случае	1	14
12	само по себе	1	14
13	заключает в себе	2	13
14	и в этом	1	13
15	что в этом	1	12
16	по сравнению с	1	11
17	вместе с тем	1	10
18	и то что	1	10
19	не в том	1	10
20	сами по себе	3	10
21	в отличие от	1	9
22	друг с другом	1	8
23	мы знаем что	1	8
24	в этом смысле	1	7
25	если бы мы	1	7
26	до тех пор	1	6
27	тех пор пока	1	6
28	более или менее	1	6
29	именно потому что	1	6
30	не только в	4	6
31	в собственном смысле	1	5
32	мы видим в	1	5
33	не было бы	1	5
34	и в частности	1	5
35	в том виде	1	5
36	мы все же	1	5
37	в применении к	1	4
38	в настоящее время	1	4
39	о котором говорит	1	4
40	за то что	1	4
41	есть как бы	1	4
42	том что в	1	4
43	и не может	1	4
44	в отношении к	5	3
45	с тем чтобы	1	3
46	между тем в	1	3
47	то же время	7	3
48	да и не	1	3
49	в то же	7	3
50	одной стороны и	2	2
51	к первой половине	1	2
52	в полной мере	2	2
53	и тем самым	1	2
54	во многих случаях	1	2
55	мы не только	1	2
56	что с точки	1	2
57	что то же	1	2
58	но в этом	1	2
59	но и в	2	2
60	если мы не	1	2
61	и как раз	2	2
62	как она есть	1	2
63	и если бы	2	2
64	и есть в	1	2
65	там где он	1	2
66	в значительной мере	2	2
67	в ней и	1	2
68	она не только	1	2
69	как одна из	1	2
70	и именно в	1	2
71	мы можем представить	1	1
72	в россии и	1	1
73	имеет не только	2	1
74	в частности в	1	1
75	начала и конца	1	1
76	что именно на	1	1
77	не в области	1	1
78	том числе и	1	1
79	в этом противоположении	1	1
80	можем представить себе	1	1
81	в ней не	2	1
82	сколько бы ни	1	1
83	одна из важнейших	1	1
84	ее место в	1	1
85	науки и техники	1	1
86	есть не более	1	1
87	чуть ли не	1	1
88	не только это	2	1
89	и тем более	1	1
90	как таковые как	1	1
91	тем и другим	1	1
92	в самом точном	1	1
93	мы не сумеем	1	1
94	одно из важнейших	1	1
95	или что то	1	1
96	как возможность не	1	1
97	а никак не	1	1
98	она должна была	1	1
99	нет ничего более	1	1
100	та или иная	1	1
101	и вслед за	1	1
102	все это в	1	1
103	не только как	1	1
104	творчества и в	1	1
105	же в общем	1	1
106	в этих двух	1	1
107	имеет два основных	1	1
108	в том числе	2	1
109	с тем же	1	1
110	разных точек зрения	1	1
111	сводится к следующему	1	1
112	и в то	2	1
113	между тем при	1	1
114	или хотя бы	1	1
115	эти ценности в	1	1
116	в различных формах	1	1
117	ни к чему	1	1
118	более широкой и	1	1
119	может не только	1	1
120	этого процесса нужно	1	1
121	и мы должны	1	1
122	и есть с	1	1
123	том виде какой	1	1
124	что дело идет	1	1
125	теория исторического материализма	1	1
126	в известном смысле	1	1
127	далеко не все	1	1
128	идет именно о	1	1
129	мы отнюдь не	1	1
130	думается что в	1	1
131	есть прежде всего	1	1
132	не более как	1	1
133	значило бы что	1	1
134	если бы ее	1	1
135	и не только	2	1
136	каждый в отдельности	1	1
137	мы должны его	1	1
