N	2gram	Losev_Vesc	Istorich
1	и в	44	181
2	и т	37	160
3	т д	36	142
4	т е	79	133
5	может быть	37	115
6	не только	48	114
7	что он	7	111
8	мы имеем	8	102
9	что в	11	90
10	но и	19	85
11	в этом	17	81
12	так как	17	75
13	то что	47	73
14	таким образом	16	72
15	вместе с	4	71
16	и не	57	67
17	мы видим	5	65
18	все же	18	65
19	в этих	1	64
20	еще не	12	63
21	не может	44	61
22	так же	4	57
23	то же	12	56
24	никогда не	5	56
25	в том	15	53
26	том что	13	53
27	а в	6	52
28	с другой	8	52
29	потому что	25	52
30	и что	22	51
31	и здесь	5	51
32	что и	11	51
33	мы видели	3	49
34	а не	34	48
35	о том	11	48
36	его в	8	47
37	не в	14	47
38	другой стороны	3	46
39	превращается в	3	45
40	и пр	10	44
41	мы должны	5	44
42	но в	8	44
43	это не	9	43
44	и его	4	43
45	мы знаем	1	42
46	в нем	6	42
47	только в	23	42
48	как в	3	42
49	представление о	1	41
50	или в	3	39
51	тем что	7	38
52	и на	2	38
53	в его	5	38
54	для нас	2	38
55	как и	15	37
56	уже не	15	37
57	мы уже	3	37
58	он не	4	37
59	что здесь	2	37
60	так и	4	37
61	мы увидим	1	36
62	мы можем	4	36
63	что они	12	35
64	с тем	8	35
65	мы не	8	35
66	здесь мы	1	35
67	все эти	5	35
68	не всегда	1	34
69	связи с	1	34
70	но не	9	34
71	а именно	1	34
72	у него	3	34
73	что это	18	34
74	видим что	2	34
75	же как	3	33
76	об этом	5	33
77	сих пор	1	32
78	в качестве	4	32
79	один из	5	31
80	прежде всего	17	31
81	то это	5	31
82	так в	1	31
83	ничего не	12	31
84	с этим	4	30
85	с одной	3	30
86	до сих	1	30
87	к нему	3	30
88	при помощи	4	30
89	этом случае	1	29
90	но все	3	29
91	одной стороны	3	29
92	как мы	6	29
93	но это	14	29
94	и другие	2	28
95	что она	23	28
96	и с	11	28
97	так что	9	27
98	могут быть	1	27
99	того что	16	27
100	как он	2	27
101	как это	4	26
102	на него	3	26
103	в ней	14	26
104	вопрос о	6	25
105	в дальнейшем	1	25
106	и он	1	25
107	не менее	11	24
108	к этому	2	24
109	было бы	24	24
110	в виде	3	24
111	если бы	8	24
112	что мы	17	24
113	их в	6	23
114	как бы	19	23
115	и это	17	23
116	тем не	11	23
117	в этой	4	23
118	все это	7	23
119	когда он	2	23
120	в частности	3	23
121	и по	1	22
122	с ним	8	22
123	при этом	1	22
124	в некоторых	1	22
125	в другом	3	21
126	в одном	6	21
127	сказать что	21	21
128	совершенно ясно	2	21
129	в связи	1	21
130	связан с	1	21
131	здесь не	2	21
132	к тому	3	21
133	они не	1	21
134	ее в	1	21
135	из них	7	20
136	из этих	1	20
137	она не	9	20
138	эта связь	1	20
139	наряду с	2	20
140	одна из	6	20
141	в свете	8	20
142	в других	1	20
143	в силу	4	20
144	видели что	3	20
145	другими словами	9	20
146	а затем	2	19
147	с собой	2	19
148	что у	5	19
149	на том	1	19
150	но он	2	19
151	есть и	13	19
152	все еще	3	19
153	на то	9	19
154	и как	12	19
155	после этого	1	18
156	в то	11	18
157	что этот	1	18
158	не все	3	18
159	в данном	6	18
160	вовсе не	11	18
161	в них	1	17
162	нас к	1	17
163	можно найти	1	17
164	очень много	1	17
165	том как	4	17
166	то и	7	17
167	по существу	3	17
168	дело не	4	17
169	и только	11	17
170	и она	3	16
171	во всех	5	16
172	этот вопрос	6	16
173	всех этих	1	16
174	и они	2	16
175	то мы	3	16
176	в котором	4	16
177	между двумя	1	16
178	не вполне	2	16
179	и действительно	1	16
180	и все	6	16
181	со стороны	9	16
182	перед нами	3	16
183	связана с	1	16
184	даже в	1	15
185	в пределах	1	15
186	но есть	1	15
187	в особенности	3	15
188	и то	14	15
189	в своей	6	15
190	в которых	1	15
191	данном случае	2	15
192	его и	4	15
193	и там	1	15
194	и эти	3	15
195	как будто	2	15
196	и даже	12	15
197	и тем	7	15
198	тот кто	1	15
199	в целом	3	15
200	с этой	6	14
201	но мы	1	14
202	находится в	4	14
203	можно было	6	14
204	мы еще	2	14
205	в него	1	14
206	и ее	19	14
207	одной из	1	14
208	на вопрос	2	14
209	у нас	9	14
210	его на	4	14
211	должна быть	8	14
