N	2gram	Propp_Russ	Morfolog
1	и т	13	62
2	может быть	14	61
3	т д	12	60
4	и пр	4	45
5	в сказке	1	27
6	таким образом	10	26
7	т е	41	25
8	могут быть	3	21
9	так как	25	20
10	мы имеем	7	19
11	не может	6	19
12	в этом	18	18
13	в этих	3	17
14	представляет собой	5	17
15	и в	59	17
16	представляют собой	13	16
17	и не	6	16
18	мы видим	2	15
19	этих случаях	1	15
20	перед нами	2	14
21	с этим	4	14
22	прежде всего	2	14
23	по существу	7	13
24	видим что	1	12
25	связи с	6	12
26	и др	4	12
27	а не	3	11
28	заметить что	3	11
29	чаще всего	3	11
30	что в	35	10
31	то же	6	10
32	а затем	5	10
33	вопрос о	4	10
34	мы увидим	8	10
35	не всегда	4	10
36	но если	2	10
37	этом случае	9	10
38	в том	33	10
39	так и	8	10
40	что и	8	10
41	в связи	4	10
42	составные части	2	10
43	то что	10	10
44	все же	7	9
45	с другой	1	9
46	но и	20	9
47	не только	28	8
48	иногда в	2	8
49	мы не	11	8
50	в качестве	5	8
51	но не	7	8
52	в тех	5	8
53	а в	16	8
54	как мы	11	8
55	во втором	1	7
56	один из	10	7
57	и здесь	3	7
58	если в	3	7
59	не могут	1	7
60	не менее	3	7
61	том что	33	7
62	потому что	15	7
63	этот случай	2	7
64	по отношению	1	7
65	в лес	4	7
66	наряду с	1	7
67	точки зрения	3	7
68	как это	11	7
69	тем не	3	7
70	и этим	1	7
71	или же	2	7
72	а также	6	7
73	отношению к	1	7
74	и другие	24	6
75	подобно тому	3	6
76	о том	14	6
77	большей частью	1	6
78	как бы	18	6
79	не все	4	6
80	увидим ниже	3	6
81	но это	5	6
82	это не	14	6
83	с точки	3	6
84	в образе	3	6
85	в нашем	2	6
86	или в	7	6
87	и как	2	6
88	во всех	6	6
89	может считаться	1	6
90	также и	1	6
91	в форме	3	6
92	во время	23	6
93	они и	2	5
94	этот момент	1	5
95	из которых	2	5
96	в первом	1	5
97	что он	2	5
98	как в	10	5
99	на коне	1	5
100	видно что	8	5
101	то это	1	5
102	в сказку	1	5
103	было бы	3	5
104	в точности	1	5
105	к тому	4	5
106	ничего не	4	5
107	что они	8	5
108	не будем	5	5
109	хотя и	3	5
110	два раза	1	5
111	прежде чем	1	5
112	тому что	4	5
113	все эти	5	5
114	одна из	12	5
115	между собой	4	5
116	в поле	18	5
117	об этом	11	5
118	в других	24	5
119	там где	3	5
120	мы можем	2	5
121	сюда же	2	5
122	тому как	3	5
123	между тем	9	5
124	он не	1	5
125	если же	1	5
126	далеко не	5	5
127	и затем	1	5
128	главным образом	5	5
129	в целом	2	5
130	и ее	3	5
131	раньше чем	2	5
132	и к	3	4
133	в некоторых	11	4
134	есть и	2	4
135	на этом	6	4
136	как и	19	4
137	самом деле	1	4
138	но все	3	4
139	ни одна	2	4
140	показать что	1	4
141	тем что	7	4
142	уже не	9	4
143	еще не	7	4
144	не является	2	4
145	тех же	1	4
146	входит в	4	4
147	того чтобы	6	4
148	говорить о	2	4
149	на пути	1	4
150	так же	7	4
151	и наоборот	1	4
152	сказать что	1	4
153	следующим образом	9	4
154	на него	1	4
155	основные формы	1	4
156	есть формы	2	4
157	и для	3	4
158	из них	12	4
159	но в	5	4
160	несмотря на	4	4
161	на самом	3	4
162	его в	9	4
163	что его	1	4
164	случае не	1	4
165	к этому	7	4
166	в то	3	4
167	мы уже	2	4
168	в руки	2	4
169	можно было	3	4
170	этот вопрос	4	4
171	от того	1	4
172	в иных	2	4
173	могла бы	1	4
174	значит что	2	4
175	независимо от	3	4
176	их по	3	4
177	собственном смысле	1	3
178	то время	3	3
179	в сказках	1	3
180	та же	4	3
181	только что	1	3
182	с этой	2	3
183	и при	2	3
184	по всему	2	3
185	что это	4	3
186	ни в	1	3
187	от другого	2	3
188	этого момента	3	3
189	с собой	4	3
190	только в	4	3
191	и вызывает	1	3
192	здесь мы	3	3
193	время как	1	3
194	или на	11	3
195	можно назвать	1	3
196	и другим	3	3
197	в собственном	1	3
198	имеется в	1	3
199	но мы	1	3
200	на первый	3	3
201	некоторые из	2	3
202	и что	8	3
203	рассматриваться как	2	3
204	для того	6	3
205	но эти	3	3
206	или не	2	3
207	вне связи	1	3
208	целый ряд	1	3
209	ее по	1	3
210	состоит в	18	3
211	настоящее время	3	3
212	так например	7	3
213	же она	1	3
214	здесь не	1	3
215	с его	1	3
216	в отдельных	1	3
217	кроме того	3	3
218	для этой	3	3
219	последовательность событий	1	3
220	в настоящее	3	3
221	что при	2	3
222	с того	1	3
223	он должен	2	3
224	к нему	3	3
225	первый взгляд	1	3
226	что эти	2	3
227	они не	1	3
228	сам он	1	3
229	а и	7	3
230	или с	4	3
231	того что	6	3
232	ее в	7	3
233	у нас	11	3
234	это и	1	3
235	же можно	1	3
236	и есть	1	3
237	в виде	10	3
238	а на	8	3
239	в таких	3	3
240	из приведенных	3	3
241	животных и	4	3
242	но для	1	3
243	в какой	3	3
244	большинстве случаев	2	3
245	даже не	1	3
246	из дому	1	3
247	и у	5	3
248	как уже	6	3
249	для наших	2	3
250	совсем не	1	3
251	если бы	1	3
252	иное чем	1	3
253	друг друга	3	3
254	мы должны	3	3
255	из ряда	2	3
256	и тем	1	3
257	не в	2	3
258	в которой	3	3
259	на нем	1	3
260	а по	1	3
261	и их	4	3
262	в начале	1	3
263	в пределах	2	3
264	пр и	1	3
