N	4gram	Tiupa_Narr	Psycholo
1	с этой точки зрения	1	10
2	в том что он	1	7
3	не что иное как	2	6
4	один и тот же	1	5
5	в том что в	1	4
6	одного и того же	1	4
7	состоит в том что	2	4
8	точно так же как	2	4
9	в то же время	3	3
10	же как и в	1	3
11	друг с другом и	1	3
12	мысль о том что	1	3
13	дело в том что	1	3
14	состоит в том чтобы	1	3
15	в том или ином	2	3
16	не то что он	1	2
17	поскольку речь идет о	1	2
18	может быть сведена к	1	2
19	что все то что	1	2
20	совершенно очевидно что в	1	2
21	в том что оно	1	2
22	не может быть сведена	1	2
23	бы то ни было	3	2
24	есть не что иное	1	2
25	и с точки зрения	1	1
26	в ней не только	1	1
27	той мере в какой	1	1
28	именно в том что	2	1
29	включать в себя и	1	1
30	в той мере в	1	1
31	от начала к концу	1	1
32	и до наших дней	1	1
33	не кто иной как	1	1
34	может быть определена как	1	1
35	в капитанской дочке пушкина	1	1
36	было на самом деле	1	1
37	не входит в область	1	1
38	идет не только о	1	1
39	одного сознания к другому	2	1
40	о том что по	1	1
41	вовсе не то что	1	1
42	от одного сознания к	2	1
43	в том что именно	1	1
44	он сам того не	1	1
45	в том числе и	4	1
46	речь идет не только	1	1
47	но в таком случае	1	1
48	включает в себя и	1	1
49	она все же не	1	1
50	ни на что не	1	1
51	состоит именно в том	2	1
52	то же самое происходит	1	1
53	может включать в себя	2	1
54	какой бы то ни	1	1
55	мы имеем дело с	1	1
