N	2gram	Vinokur_Ku	Retstnzi
1	не может	13	4
2	и в	44	3
3	достоевского и	2	2
4	социального общения	3	2
5	если в	2	2
6	один из	8	2
7	общения и	2	2
8	может и	2	1
9	этой проблемы	1	1
10	в особенности	6	1
11	несмотря на	6	1
12	может быть	25	1
13	не только	29	1
14	и лингвистики	1	1
15	точки зрения	25	1
16	с точки	16	1
17	языка было	1	1
18	для него	2	1
19	первая часть	1	1
20	истории русского	1	1
21	в ней	6	1
22	тех же	2	1
23	себе все	1	1
24	в каждом	3	1
25	связи с	8	1
26	не из	1	1
27	все права	1	1
28	бы на	4	1
29	от контекста	1	1
30	на месте	2	1
31	можно и	1	1
32	его от	1	1
33	в анализе	1	1
34	если бы	21	1
35	конечно и	3	1
36	смысл и	5	1
37	в школе	1	1
38	вещей и	1	1
39	на примере	3	1
40	в его	16	1
41	и тому	1	1
42	ничего кроме	1	1
43	не менее	12	1
44	именно с	3	1
45	деятельности в	1	1
46	и социальной	2	1
47	поэтики и	1	1
48	в языке	16	1
49	речь и	1	1
50	но и	13	1
51	второй части	1	1
52	к тому	8	1
53	во второй	1	1
54	тому что	3	1
55	языка как	7	1
56	понятно не	1	1
57	социальной борьбы	1	1
58	почти с	1	1
59	удовлетворить не	1	1
60	культурной истории	2	1
61	в то	4	1
62	из этих	5	1
63	и больше	1	1
64	ни один	1	1
65	же время	4	1
66	то же	12	1
67	по своим	2	1
68	а не	17	1
69	бы в	8	1
70	нет и	1	1
71	в лингвистике	3	1
72	и должно	2	1
73	в системе	3	1
74	и не	23	1
75	так называемая	2	1
76	язык как	9	1
77	и все	4	1
78	и на	8	1
