N	3gram	Berdyaev_M	Tragedij
1	униженных и оскорбленных	1	16
2	в том что	3	2
3	бросается в глаза	1	2
4	между этими двумя	1	2
5	преступлении и наказании	1	2
6	о том что	3	2
7	в записках из	2	2
8	и в самом	3	2
9	в отличие от	1	2
10	по замыслу достоевского	1	2
11	и не случайно	1	2
12	в преступлении и	1	2
13	сам по себе	1	1
14	достоевский и в	1	1
15	и он сам	1	1
16	но в конце	1	1
17	и не быть	1	1
18	и добро и	1	1
19	ничего подобного нет	1	1
20	у него есть	1	1
21	том что он	1	1
22	одно из самых	2	1
23	один из первых	1	1
24	любовь в которой	1	1
25	что он не	3	1
26	бы и не	1	1
27	уже было в	1	1
28	смысле этого слова	1	1
29	в конце концов	3	1
30	и не могли	1	1
31	своего отца и	1	1
32	она все же	1	1
33	никогда не был	2	1
34	достоевский не раз	1	1
35	с отцом и	1	1
36	и должно быть	1	1
37	но если он	1	1
38	в себе ее	1	1
39	и вместе с	4	1
40	не может быть	22	1
41	записках из подполья	2	1
42	и т п	1	1
43	он понял что	2	1
44	по сравнению с	2	1
45	толстой и достоевский	3	1
46	с того что	1	1
47	петра верховенского как	1	1
48	в xx веке	1	1
49	мы видим уже	1	1
50	как и все	1	1
51	он перестает быть	1	1
52	и петра верховенского	1	1
53	у него нет	4	1
54	у достоевского не	1	1
55	начала в человеке	1	1
56	бунт ивана карамазова	1	1
57	не могут быть	2	1
58	добро и зло	2	1
59	в высшей степени	4	1
60	хотя бы и	2	1
61	как и в	2	1
62	в самом деле	1	1
63	чем он сам	1	1
64	ивана карамазова в	2	1
65	во всяком случае	1	1
66	в этой борьбе	1	1
67	к тому что	1	1
68	в братьях карамазовых	5	1
69	к этой теме	1	1
70	достоевский никогда не	1	1
71	не имеет для	1	1
72	в своей книге	2	1
73	но он сам	2	1
74	может быть свободен	1	1
75	с такой силой	1	1
76	это и есть	7	1
77	он не любил	1	1
78	по природе своей	2	1
79	него есть и	1	1
80	у достоевского в	1	1
81	после того как	2	1
82	и не может	2	1
83	и в этом	1	1
