N	2gram	Bakhtin_Fr	Retstnzi
1	не может	5	4
2	и в	68	3
3	если в	1	2
4	один из	9	2
5	и откликов	1	1
6	в особенности	6	1
7	несмотря на	1	1
8	может быть	10	1
9	и истории	1	1
10	не только	21	1
11	точки зрения	8	1
12	с точки	4	1
13	становится особенно	1	1
14	для него	7	1
15	с теми	1	1
16	в ней	6	1
17	связи с	8	1
18	бы на	1	1
19	на месте	1	1
20	превращается у	1	1
21	с другими	1	1
22	его от	1	1
23	в анализе	1	1
24	если бы	3	1
25	конечно и	3	1
26	смысл и	2	1
27	художественного произведения	1	1
28	литературного произведения	1	1
29	историческому становлению	1	1
30	в его	21	1
31	влияния на	2	1
32	не менее	2	1
33	именно с	1	1
34	в языке	2	1
35	но и	17	1
36	впадает в	1	1
37	мы видим	9	1
38	откликов на	1	1
39	во второй	2	1
40	тому что	1	1
41	в то	14	1
42	из этих	2	1
43	и событий	1	1
44	он в	2	1
45	же время	13	1
46	то же	14	1
47	при анализе	3	1
48	а не	6	1
49	нет и	1	1
50	и должно	1	1
51	в системе	3	1
52	и не	25	1
53	на нее	1	1
54	и все	16	1
55	истории но	1	1
56	и на	16	1
57	вполне понятно	4	1
