N	4gram	Tiupa_Anal	Tvorches
1	в то же время	7	24
2	дело в том что	3	4
3	заключается в том что	1	2
4	идет уже не о	1	1
5	не что иное как	1	1
6	оно никогда не является	1	1
7	мы уже говорили о	1	1
8	два года до этого	1	1
9	речь идет уже не	1	1
10	одного и того же	4	1
11	за два года до	1	1
12	лишь в том что	1	1
13	в войне и мире	2	1
14	это имеет место в	1	1
15	в соответствии с его	1	1
16	но в таком случае	1	1
17	с другой стороны и	1	1
18	как это имеет место	1	1
19	в его собственных глазах	1	1
20	то же время они	1	1
