N	3gram	Tiupa_Hudo	Vvedenie
1	и т д	5	39
2	для того чтобы	2	22
3	в том что	15	15
4	о том что	14	13
5	не может быть	5	10
6	в этом смысле	1	10
7	тем не менее	6	9
8	до сих пор	3	7
9	в самом деле	5	6
10	в то же	11	6
11	в этом случае	1	6
12	то же время	11	6
13	и т п	10	5
14	с другой стороны	1	5
15	во всяком случае	1	5
16	по отношению к	15	4
17	с точки зрения	5	4
18	так или иначе	3	4
19	можно было бы	5	4
20	не только в	4	4
21	в данном случае	3	4
22	в отличие от	1	4
23	но все же	2	4
24	с одной стороны	4	4
25	в этом отношении	4	4
26	и в этом	3	4
27	в конечном итоге	1	3
28	одной стороны и	1	3
29	той или иной	1	3
30	заключается в том	1	3
31	и в самом	4	3
32	в свое время	1	3
33	можно сказать что	1	3
34	именно в этом	1	3
35	дело в том	1	3
36	но в то	3	3
37	и то что	1	3
38	с тем что	1	3
39	то же самое	3	3
40	в известном смысле	1	3
41	как она есть	1	2
42	в свою очередь	1	2
43	как будто бы	3	2
44	не в том	2	2
45	и потому что	1	2
46	мы уже знаем	2	2
47	на том что	2	2
48	не до конца	1	2
49	этой точки зрения	1	2
50	хотя бы и	1	2
51	что же касается	2	2
52	с этой точки	1	2
53	только в том	4	2
54	состоит в том	3	2
55	в центре внимания	1	2
56	xix в но	1	2
57	а между тем	3	2
58	в первом случае	2	2
59	это еще не	1	2
60	в конце концов	1	2
61	потому что он	1	2
62	точно так же	1	2
63	в соответствии с	1	2
64	подобно тому как	4	2
65	же самое что	2	2
66	в связи с	3	2
67	во второй половине	2	2
68	что несмотря на	1	2
69	а также и	1	2
70	никогда не была	1	1
71	лишь в том	1	1
72	разумеется не в	1	1
73	но ведь это	1	1
74	в науке о	1	1
75	человек в центре	1	1
76	совсем не похожи	1	1
77	что он вовсе	1	1
78	себе самому и	1	1
79	как на нечто	1	1
80	на вопрос что	1	1
81	в своем внешнем	2	1
82	человека в его	1	1
83	дело не только	2	1
84	не со стороны	1	1
85	из этих двух	1	1
86	в том как	1	1
87	потому что это	1	1
88	как мы знаем	1	1
89	в xix в	2	1
90	в том смысле	1	1
91	речь идет об	1	1
92	уже в том	1	1
93	не в этом	1	1
94	как он сам	2	1
95	на самом деле	1	1
96	то или иное	1	1
97	легко представить себе	1	1
98	в гораздо большей	1	1
99	что не только	1	1
100	так что даже	1	1
101	т е все	1	1
102	вопрос о природе	1	1
103	он вовсе не	1	1
104	в том числе	1	1
105	нами не как	1	1
106	место в ряду	1	1
107	связи с этим	2	1
108	мысли и чувства	1	1
109	у него в	1	1
110	более или менее	1	1
111	того или иного	4	1
112	в первой половине	2	1
113	всего что было	1	1
114	что он очень	1	1
115	но это только	1	1
116	в таком случае	1	1
117	как мы помним	1	1
118	может быть только	1	1
119	и от того	1	1
120	на этом пути	1	1
121	именно в этой	1	1
122	сказать что они	1	1
123	на том чтобы	1	1
124	вкладывает в уста	1	1
125	и в конце	1	1
126	не потому что	1	1
127	именно потому что	1	1
128	именно в связи	1	1
129	в настоящее время	1	1
130	да и с	1	1
131	не похожи на	1	1
132	и составляет содержание	1	1
133	как раз в	2	1
134	говорит о них	2	1
135	совершенно иного рода	1	1
136	так же как	2	1
137	жизни как она	1	1
138	только потому что	2	1
139	по его словам	1	1
140	наблюдения и выводы	1	1
141	том что в	4	1
142	быть сказано о	1	1
143	а в том	1	1
144	с самого начала	1	1
145	в нем не	1	1
146	том что он	1	1
147	на свои вопросы	1	1
148	не имеет принципиального	1	1
149	не может не	1	1
150	но в этом	1	1
151	так а не	1	1
152	в ней есть	1	1
153	заключает в себе	1	1
154	том например что	1	1
155	к тому что	8	1
156	та или иная	4	1
157	еще и потому	1	1
158	в конце xviii	1	1
159	слова но и	1	1
160	перед собой задачу	1	1
161	все это делает	1	1
162	бы то ни	1	1
163	ту или иную	2	1
164	сказывается и в	1	1
165	в значительной степени	3	1
166	это прежде всего	2	1
167	и о которой	1	1
168	прежде всего в	1	1
169	друг для друга	3	1
170	в чистом виде	1	1
171	что в центре	1	1
172	как уже говорилось	1	1
173	имеем дело с	1	1
174	мы имеем дело	1	1
175	но с другой	1	1
