N	4gram	Bakhtin_Fr	Dialekti
1	не что иное как	1	18
2	в то же время	13	14
3	есть не что иное	1	11
4	в то время как	1	8
5	и в то же	2	6
6	ни в коем случае	1	6
7	одной и той же	2	5
8	в связи с этим	1	4
9	с одной стороны и	2	4
10	на самом же деле	1	3
11	но в то же	7	3
12	так как она есть	1	2
13	дело вовсе не в	2	2
14	дело в том что	2	2
15	ничего не говорят о	1	2
16	о том что у	1	2
17	как мы уже сказали	2	1
18	некоторые из них в	1	1
19	и до сих пор	2	1
20	все более и более	1	1
21	в данном случае в	1	1
22	что на самом деле	1	1
23	но важно то что	1	1
24	мы видим теперь что	1	1
25	бы то ни было	1	1
26	мы имеем в виду	2	1
27	до сих пор не	1	1
28	на том же самом	1	1
29	не может быть в	1	1
30	в том случае если	1	1
31	и не может быть	1	1
32	о том что в	1	1
33	ровно ничего не дает	1	1
34	в первом случае мы	1	1
35	в одном из самых	1	1
