N	2gram	Medvedev_U	VeschiIm
1	не есть	2	79
2	и не	8	57
3	не только	10	48
4	то что	7	48
5	не может	7	46
6	и в	14	45
7	может быть	6	39
8	а не	10	37
9	это значит	1	30
10	было бы	3	24
11	только в	2	23
12	по себе	2	23
13	что она	2	23
14	в себе	2	23
15	сказать что	1	22
16	и что	1	22
17	что такое	4	20
18	что же	1	19
19	но и	4	19
20	в этом	7	18
21	все же	3	18
22	что мы	2	17
23	прежде всего	8	17
24	и это	1	17
25	таким образом	2	16
26	того что	1	16
27	как раз	2	16
28	как и	3	15
29	уже не	1	15
30	в том	2	15
31	в ней	1	15
32	но это	2	14
33	и то	3	14
34	не в	2	14
35	в самом	2	13
36	том что	2	13
37	и для	2	13
38	то ни	3	13
39	что в	1	12
40	и с	2	12
41	бы то	3	12
42	то же	5	12
43	и даже	1	12
44	о том	1	12
45	но если	1	12
46	ничего не	2	12
47	ни было	3	12
48	не значит	1	12
49	что и	2	12
50	в то	3	11
51	и только	5	11
52	по крайней	2	10
53	крайней мере	2	10
54	есть ли	1	10
55	бы и	2	9
56	то и	1	9
57	хотя бы	5	9
58	в своем	1	9
59	должно быть	1	9
60	это не	3	9
61	у нас	3	9
62	но что	1	9
63	бы в	1	9
64	она не	1	9
65	но не	2	9
66	на то	1	9
67	должна быть	2	8
68	если бы	2	8
69	с тем	1	8
70	что он	2	8
71	но в	3	8
72	мы не	2	8
73	мы имеем	1	8
74	для него	3	8
75	все это	5	8
76	и потому	1	8
77	даже не	1	8
78	с другой	4	8
79	можно сказать	1	8
80	отнюдь не	1	8
81	самом деле	2	7
82	тем что	2	7
83	относится к	1	7
84	вещи это	1	7
85	ни от	2	7
86	в той	1	6
87	для себя	1	6
88	их в	1	6
89	в своей	3	6
90	в данном	1	6
91	в сфере	1	6
92	тут мы	1	6
93	или иначе	1	6
94	в нем	1	6
95	так или	1	6
96	тех или	2	6
97	независимо от	1	6
98	и все	1	6
99	никогда не	1	6
100	все что	1	5
101	даже и	2	5
102	тогда когда	1	5
103	быть не	1	5
104	нет и	1	5
105	в его	2	5
106	а это	1	5
107	в которой	1	5
108	в понятии	1	5
109	об этом	1	5
110	что для	1	5
111	для этого	3	5
112	переходит в	1	4
113	с самим	1	4
114	сам по	1	4
115	о которой	1	4
116	сводится к	2	4
117	более или	1	4
118	равно как	1	4
119	его на	1	4
120	его и	2	4
121	не существует	1	4
122	в котором	1	4
123	же время	3	4
124	так то	1	4
125	ее как	1	4
126	что все	2	4
127	в отдельности	1	4
128	тот же	1	4
129	не то	1	4
130	в качестве	1	4
131	так и	1	4
132	же не	2	4
133	в их	4	4
134	как таковая	1	4
135	и эта	1	4
136	в конце	2	4
137	смысле и	1	4
138	что только	1	4
139	или менее	1	4
140	и у	2	4
141	о сущности	1	4
142	мы можем	1	4
143	не было	1	4
144	она должна	1	4
145	он не	1	4
146	в этой	4	4
147	явлением и	1	4
148	само по	1	4
149	из которых	1	3
150	нас в	2	3
151	другой стороны	3	3
152	если не	2	3
153	что угодно	1	3
154	из самых	1	3
155	состоит из	1	3
156	перестает быть	5	3
157	но даже	2	3
158	одной стороны	1	3
159	вот почему	7	3
160	превращается в	2	3
161	но именно	1	3
162	есть конечно	1	3
163	не все	2	3
164	вопроса о	2	3
165	и этого	1	3
166	что ему	1	3
167	с одной	1	3
168	он становится	1	3
169	и как-то	1	3
170	у него	1	3
171	без этого	1	3
172	в виде	1	3
173	но он	1	3
174	по существу	2	3
175	же как	1	3
176	понятие не	1	3
177	тем более	1	3
178	для тех	1	3
179	в частности	3	3
180	человека и	1	3
181	существует в	1	3
182	бы ни	1	3
183	является в	2	2
184	еще раз	1	2
185	религии и	1	2
186	то есть	1	2
187	тех кто	1	2
188	или иных	2	2
189	или по	1	2
190	последние годы	1	2
191	это уже	2	2
192	о чем	2	2
193	не как	3	2
194	в последние	1	2
195	одно из	1	2
196	не столько	2	2
197	и делает	1	2
198	в россии	4	2
199	исходить из	1	2
200	и так	1	2
201	приводит к	1	2
202	о котором	1	2
203	было и	1	2
204	чем то	1	2
205	только как	1	2
206	бы только	1	2
207	конечно не	4	2
208	не вполне	1	2
209	еще один	1	2
210	образом на	1	2
211	и формы	3	2
212	отдельности и	1	2
213	от смысла	1	2
214	быть в	1	2
215	с его	2	2
216	к этому	1	2
217	друг с	1	2
218	той же	1	2
219	в свое	1	2
220	находятся в	1	2
221	данном случае	1	2
222	обе эти	1	2
223	этом отношении	2	2
