N	4gram	Tiupa_Anal	KulturaY
1	и в самом деле	1	10
2	той мере в какой	2	7
3	в той мере в	2	7
4	до тех пор пока	1	7
5	в то же время	7	6
6	с этой точки зрения	2	5
7	не в том чтобы	3	5
8	не говоря уже о	1	5
9	состоит в том что	6	4
10	одного и того же	2	4
11	заключается в том что	1	4
12	в том случае если	1	3
13	большей или меньшей степени	1	3
14	в большей или меньшей	1	3
15	и вместе с тем	1	3
16	лишь в том случае	1	3
17	в том что он	2	3
18	в тех случаях когда	1	3
19	обращает на себя внимание	3	2
20	в том смысле что	1	2
21	для того чтобы быть	1	2
22	в той или иной	3	2
23	не что иное как	5	2
24	одной и той же	1	2
25	в собственном смысле слова	1	2
26	один и тот же	1	2
27	в самом деле не	1	2
28	не только в том	1	2
29	в самом деле в	1	2
30	одним и тем же	1	2
31	лишь в том чтобы	1	1
32	т п таким образом	1	1
33	в виду не только	1	1
34	ни в коем случае	2	1
35	и в этом случае	1	1
36	той или иной форме	1	1
37	не сам по себе	1	1
38	одно и то же	2	1
39	по крайней мере в	1	1
40	который не может быть	1	1
41	и не может быть	4	1
42	широком смысле этого слова	1	1
43	на тех же основаниях	1	1
44	только в том что	1	1
45	то же самое что	1	1
46	свидетельствует о том что	1	1
47	хотя бы и в	1	1
48	сама по себе ничего	1	1
49	есть не более чем	1	1
50	том и состоит что	1	1
51	и на тех же	1	1
52	сами по себе они	1	1
53	в том или ином	3	1
54	в широком смысле этого	1	1
55	мы имеем в виду	1	1
56	несмотря на то что	1	1
57	а то и просто	1	1
58	в самом деле как	1	1
59	бы то ни было	3	1
60	и т п таким	1	1
61	ответ на этот вопрос	1	1
62	иметь дело не с	1	1
63	по себе ничего не	1	1
64	не следует думать что	1	1
65	во всех этих случаях	1	1
66	приводит к тому что	1	1
67	никак не может быть	1	1
68	какой бы то ни	2	1
69	в том и состоит	1	1
70	имеем в виду не	1	1
71	и если бы он	1	1
72	есть не что иное	4	1
