N	3gram	Berdyaev_O	StatiiOP
1	в том что	1	47
2	о том что	1	29
3	в этом отношении	1	24
4	для того чтобы	3	19
5	во всяком случае	1	13
6	не может быть	2	11
7	в самом деле	1	9
8	на то что	1	9
9	не в том	1	7
10	и в этом	2	7
11	том что в	1	6
12	с тем что	2	5
13	но и в	2	5
14	то что в	1	5
15	после того как	1	5
16	как например в	1	4
17	в другом месте	1	4
18	и в самом	1	4
19	и в том	1	4
20	он должен был	1	3
21	о том как	1	3
22	что у него	2	3
23	а иногда и	1	3
24	и не в	1	3
25	а вовсе не	1	3
26	прежде всего в	1	3
27	может быть назван	1	2
28	не потому ли	1	2
29	я имею в	1	2
30	в том-то и	1	2
31	что он был	1	2
32	в иных случаях	1	2
33	а не в	2	2
34	имею в виду	1	2
35	сам по себе	1	2
36	в этих словах	1	2
37	он не только	1	2
38	вот что нужно	1	2
39	или лучше сказать	1	2
40	и то что	1	2
41	нужно искать не	2	2
42	что это за	1	2
43	том-то и дело	1	2
44	как и в	1	2
45	ошибочно было бы	1	1
46	он никогда не	1	1
47	ни у кого	2	1
48	и характер его	1	1
49	действующих лиц в	1	1
50	и дело что	1	1
51	как будто бы	1	1
52	же это за	2	1
53	влагает в уста	1	1
54	и не любя	1	1
55	по сравнению с	1	1
56	всех действующих лиц	1	1
57	в самом начале	1	1
58	и никогда не	2	1
59	не могут и	1	1
60	и все это	1	1
61	это бы еще	1	1
62	потому что в	1	1
63	в том случае	1	1
64	в силе и	1	1
65	хотя бы даже	1	1
66	смысле этого слова	1	1
67	вместо того чтобы	1	1
68	само по себе	1	1
69	но он и	1	1
70	даже и в	1	1
71	в каждом из	1	1
72	не было и	1	1
73	в россии в	1	1
74	что же это	2	1
75	для русского человека	1	1
76	этом никто не	1	1
77	в которую он	1	1
78	никогда не было	2	1
79	нужно отметить что	1	1
80	было не по	1	1
81	и не может	1	1
82	он попал в	1	1
83	отличается от всех	1	1
84	друг к другу	1	1
85	от того что	1	1
86	считать установленным что	1	1
87	может быть он	1	1
88	и не очень	1	1
89	сказать что они	2	1
90	к одной женщине	1	1
91	нужно видеть в	1	1
92	вовсе не так	1	1
93	характере и в	1	1
94	одно из самых	1	1
95	потому что ведь	1	1
96	в этом никто	1	1
97	не могут быть	2	1
98	и все же	1	1
99	ко всему этому	1	1
100	вокруг которого сосредоточивается	1	1
101	все это было	1	1
102	должен был бы	1	1
103	все еще не	1	1
104	все что было	1	1
